from_frame,to_frame,FloLPIPS
0,1,0.18932628631591797
1,2,0.1311875879764557
2,3,0.12914231419563293
3,4,0.12098880857229233
4,5,0.12326045334339142
5,6,0.14950242638587952
6,7,0.13554996252059937
7,8,0.13757455348968506
8,9,0.14772610366344452
9,10,0.1428530067205429
10,11,0.16028331220149994
11,12,0.19391462206840515
12,13,0.17284132540225983
13,14,0.18110308051109314
14,15,0.18424025177955627
15,16,0.20358553528785706
16,17,0.18655268847942352
17,18,0.1741863638162613
18,19,0.17627879977226257
19,20,0.1880534142255783
20,21,0.1672263741493225
21,22,0.1676463484764099
22,23,0.18377900123596191
23,24,0.20159824192523956
24,25,0.16012462973594666
25,26,0.1208251342177391
26,27,0.13938789069652557
27,28,0.1408272087574005
28,29,0.03551247715950012
29,30,0.09048333019018173
30,31,0.08338487148284912
31,32,0.10635902732610703
32,33,0.0628955140709877
33,34,0.07217317819595337
34,35,0.07846996188163757
35,36,0.090796560049057
36,37,0.08112729340791702
37,38,0.08393779397010803
38,39,0.09496863931417465
39,40,0.10463955253362656
40,41,0.09677617996931076
41,42,0.09071169793605804
42,43,0.09272633492946625
43,44,0.0981675535440445
44,45,0.08760733902454376
45,46,0.08924339711666107
46,47,0.08847324550151825
47,48,0.1170966774225235
48,49,0.0949895977973938
49,50,0.08169683814048767
50,51,0.09085661172866821
51,52,0.09756925702095032
52,53,0.09785562753677368
53,54,0.08168072253465652
54,55,0.10095658898353577
55,56,0.10990160703659058
56,57,0.09704715013504028
57,58,0.0921095460653305
58,59,0.09339966624975204
59,60,0.10032032430171967
60,61,0.09676770865917206
61,62,0.06503364443778992
62,63,0.09369412064552307
