candidate,lambda,video,frame,type,nonzero_enhancement_frame,old_packet_bits,new_packet_bits,new_mode,mse,psnr,ms_ssim,lpips,L_image,psnr_minus_ZERO,ms_ssim_minus_ZERO,lpips_minus_ZERO,psnr_minus_ENCODER_QUANTIZED,ms_ssim_minus_ENCODER_QUANTIZED,lpips_minus_ENCODER_QUANTIZED,psnr_minus_ORIGINAL_QP0,ms_ssim_minus_ORIGINAL_QP0,lpips_minus_ORIGINAL_QP0
midpoint_lambda4,0.7545986741148374,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0,I,False,8,8,I,0.028622682989285473,15.432896594361738,0.6808732237864273,0.2725779414176941,0.028895260930703166,,,,,,,,,
midpoint_lambda4,0.7545986741148374,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,P,False,8,8,ZERO,0.014518528168263446,18.380774084844518,0.7843452553097912,0.3777421712875366,0.014896270339550982,0.0,0.0,0.0,-0.5235052816922767,-0.03354199798344426,0.0655442476272583,2.105785976596991,0.008109708347824096,0.1469828337430954
midpoint_lambda4,0.7545986741148374,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,P,False,8,8,ZERO,0.014461303926505544,18.39792546422175,0.790151174481061,0.37269139289855957,0.014833995319404103,0.0,0.0,0.0,-0.4760824548274698,-0.03045276834622168,0.06314551830291748,2.224435312703079,0.010614260176679102,0.1462479531764984
midpoint_lambda4,0.7545986741148374,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,P,False,8,8,ZERO,0.014337797154308224,18.43517568139394,0.792569618828697,0.37328192591667175,0.014711079080224895,0.0,0.0,0.0,-0.4815389645525805,-0.02963578004553613,0.06261512637138367,2.230144057551083,0.011714150161304837,0.1501513421535492
midpoint_lambda4,0.7545986741148374,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,4,P,False,8,8,ZERO,0.014770672740468943,18.30599723996119,0.7901818846568697,0.38248443603515625,0.0151531571765041,0.0,0.0,0.0,-0.4934894614844936,-0.03021309198740485,0.06356018781661987,2.1930421688570263,0.012154577809056932,0.1584969162940979
midpoint_lambda4,0.7545986741148374,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5,P,False,8,8,ZERO,0.014312605644440184,18.442812946826333,0.7920176088177971,0.3723566234111786,0.014684962267851364,0.0,0.0,0.0,-0.5210720669378119,-0.030468023284980994,0.06303521990776062,2.245229163643817,0.013319973543214347,0.1499435305595398
midpoint_lambda4,0.7545986741148374,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,6,P,False,8,8,ZERO,0.01454084282161529,18.374104200128485,0.7908164707434683,0.3756115138530731,0.014916454335468362,0.0,0.0,0.0,-0.5517833989161396,-0.03154981454494332,0.06313976645469666,2.2252654991396312,0.014186372698549388,0.1518806666135788
midpoint_lambda4,0.7545986741148374,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,7,P,False,8,8,ZERO,0.014192229878867148,18.479493629636618,0.7905097082966499,0.3711719214916229,0.01456340180035877,0.0,0.0,0.0,-0.5856233185222628,-0.032222455729849386,0.06281206011772156,2.2820865869442812,0.015240794036659788,0.1472100019454956
midpoint_lambda4,0.7545986741148374,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,P,False,8,8,ZERO,0.014933942283403598,18.258255314628165,0.7864553587050874,0.3857608735561371,0.015319703156959736,0.0,0.0,0.0,-0.5905390812764644,-0.03359375277454313,0.06276246905326843,2.2143641380282446,0.015177654772588811,0.1582702100276947
midpoint_lambda4,0.7545986741148374,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,9,P,False,8,8,ZERO,0.014265616134018307,18.45709466360519,0.7872462612111572,0.3715718686580658,0.014637188002676372,0.0,0.0,0.0,-0.5835199611316959,-0.032231918688066075,0.061040669679641724,2.291179147212837,0.016230866713838,0.1437201201915741
