resolution,qp,video_count,bitrate_kbps,psnr_db,lpips,dists
1280x720,0,8,28.760229875,22.546809500000002,0.209067125,0.111562
1280x720,1,8,35.6156805,23.13040925,0.18724125,0.101225125
1280x720,2,8,44.529193125,23.635033375,0.169821375,0.09411525
1280x720,3,8,55.97456275,24.101906500000002,0.154822125,0.087213625
854x480,0,8,14.093598625,21.296764875,0.217737375,0.12070725
854x480,1,8,17.445946875,21.821773874999998,0.193942125,0.111277875
854x480,2,8,21.40331425,22.29187275,0.17515087499999998,0.10193725000000001
854x480,3,8,26.511193,22.723412125,0.157229375,0.092856
