dataset_group,method,num_operating_points,mean_bitrate_change_percent,mean_LPIPS_change,mean_DISTS_change,mean_PSNR_change
UVG corrected,stage_a,12,5.0920731383215,0.022415379372735817,0.014220722950994968,-0.7896227913565165
UVG corrected,beta_low,12,-9.16708401443429,0.0280781562323682,0.021646955981850624,-1.4546009580366575
UVG corrected,beta_mid,12,-19.853545577108832,0.13237269693248285,0.07821974856778979,-5.673186301159529
UVG corrected,beta_high,12,-39.55945275443887,0.332925987750059,0.19584244396537542,-13.303694311473473
Fresh U-Long original 3,stage_a,12,2.218138990332679,-0.007541353998628135,-0.001967964849124352,-0.6841473951504872
Fresh U-Long original 3,beta_low,12,-8.58161282783186,-0.005125304155323344,-0.000249451103930672,-1.0439803228201943
Fresh U-Long original 3,beta_mid,12,-23.645122778800935,0.04841587176391234,0.030773531024654705,-5.113250214767667
Fresh U-Long original 3,beta_high,12,-38.3898065380537,0.20788781506901918,0.11248506396077573,-12.571077590870916
Fresh U-Long added videos,stage_a,20,2.62915435884438,-0.020430606781155804,-0.0013498939573764802,-0.8326101678278943
Fresh U-Long added videos,beta_low,20,-11.301205562254593,-0.0172027093853103,0.000994717376306653,-1.3455996630924854
Fresh U-Long added videos,beta_mid,20,-26.13691421550076,0.04738959061796777,0.04454614417627454,-5.124007617540626
Fresh U-Long added videos,beta_high,20,-38.290075116743076,0.19777624609996564,0.11749154715798796,-11.07724861854679
Fresh U-Long all,stage_a,32,2.4750235956524924,-0.015597136987707927,-0.0015816705417819321,-0.7769366280738667
Fresh U-Long all,beta_low,32,-10.281358286846068,-0.012673682424065191,0.0005281541962176561,-1.232492410490376
Fresh U-Long all,beta_mid,32,-25.202492426738324,0.04777444604769698,0.0393814142444171,-5.1199735915007665
Fresh U-Long all,beta_high,32,-38.327474399734555,0.20156808446336072,0.11561411595903337,-11.637434483168336
