dataset,video,video_id,metric,original_qp,original_kbps,original_metric,candidate_method,candidate_beta,candidate_qp,candidate_kbps,candidate_metric,rate_saving_percent,metric_difference
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,LPIPS,2,239.97002997002997,0.11544713017065078,stage_a,none,1,197.52497502497502,0.11939814640209079,17.687648307730736,0.003951016231440008
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,DISTS,2,239.97002997002997,0.0836072014644742,stage_a,none,1,197.52497502497502,0.08207730110734701,17.687648307730736,-0.0015299003571271896
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,LPIPS,3,295.9015984015984,0.10236039548180997,stage_a,none,2,241.18381618381616,0.10569063643924892,18.491884637783915,0.0033302409574389458
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,DISTS,3,295.9015984015984,0.07474138494580984,beta_low,beta_low,3,271.6783216783217,0.07554319780319929,8.186260856354279,0.0008018128573894501
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,LPIPS,0,103.50899100899102,0.08790032682009041,beta_low,beta_low,0,94.73901098901099,0.08741293218918145,8.472674629026425,-0.00048739463090896606
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,DISTS,0,103.50899100899102,0.08626880310475826,beta_low,beta_low,1,119.80144855144854,0.08369950205087662,-15.740137531668461,-0.002569301053881645
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,LPIPS,1,132.28771228771228,0.07801714935339987,beta_low,beta_low,1,119.80144855144854,0.07778610300738364,9.438717716357045,-0.0002310463460162282
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,DISTS,1,132.28771228771228,0.07741482742130756,beta_low,beta_low,2,151.58466533466535,0.07684867084026337,-14.587109198006356,-0.0005661565810441971
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,LPIPS,2,170.96403596403596,0.07108415098628029,beta_low,beta_low,2,151.58466533466535,0.07014764891937375,11.335349285651668,-0.0009365020669065416
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,DISTS,2,170.96403596403596,0.07177437469363213,stage_a,none,3,232.012987012987,0.07168775331228971,-35.70865106494872,-8.662138134241104e-05
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,LPIPS,3,226.52472527472526,0.06322736787842587,stage_a,none,3,232.012987012987,0.0638005179935135,-2.4228091355615473,0.0005731501150876284
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,DISTS,3,226.52472527472526,0.06645642593502998,stage_a,none,3,232.012987012987,0.07168775331228971,-2.4228091355615473,0.005231327377259731
fresh_ulong,3ed03b37-46cd-442c-a790-29fd5ed72122,100,LPIPS,0,79.3425,0.29269819892942905,beta_mid,beta_mid,1,91.36125,0.2983311777934432,-15.14793458739011,0.005632978864014149
fresh_ulong,3ed03b37-46cd-442c-a790-29fd5ed72122,100,DISTS,0,79.3425,0.16495357640087605,beta_mid,beta_mid,2,107.6475,0.16672177612781525,-35.67444938084884,0.0017681997269392014
fresh_ulong,3ed03b37-46cd-442c-a790-29fd5ed72122,100,LPIPS,1,104.03625,0.2718278067186475,beta_mid,beta_mid,2,107.6475,0.27936044754460454,-3.4711458746350417,0.00753264082595706
fresh_ulong,3ed03b37-46cd-442c-a790-29fd5ed72122,100,DISTS,1,104.03625,0.14852433372288942,stage_a,none,2,139.78875,0.14927488006651402,-34.36542551274196,0.0007505463436245918
fresh_ulong,3ed03b37-46cd-442c-a790-29fd5ed72122,100,LPIPS,2,135.69375,0.2521602513734251,stage_a,none,0,82.41,0.25696232868358493,39.26765234213072,0.0048020773101598024
fresh_ulong,3ed03b37-46cd-442c-a790-29fd5ed72122,100,DISTS,2,135.69375,0.1400949666276574,beta_low,beta_low,3,163.56375,0.1403906336054206,-20.538897333149098,0.00029566697776317596
fresh_ulong,3ed03b37-46cd-442c-a790-29fd5ed72122,100,LPIPS,3,178.53375,0.24006535904482007,stage_a,none,1,105.94125,0.2379423538222909,40.66037934004075,-0.002123005222529173
fresh_ulong,3ed03b37-46cd-442c-a790-29fd5ed72122,100,DISTS,3,178.53375,0.12822777964174747,beta_low,beta_low,3,163.56375,0.1403906336054206,8.384969228507215,0.012162853963673115
fresh_ulong,ce6f8354-ba57-487f-9f25-1b1271db4511,101,LPIPS,0,130.61625,0.14503708214033395,beta_mid,beta_mid,3,179.4525,0.15465789381414652,-37.38910740432372,0.009620811673812568
fresh_ulong,ce6f8354-ba57-487f-9f25-1b1271db4511,101,DISTS,0,130.61625,0.14316138438880444,stage_a,none,0,133.73625,0.13427649065852165,-2.3886767534667426,-0.008884893730282784
fresh_ulong,ce6f8354-ba57-487f-9f25-1b1271db4511,101,LPIPS,1,187.965,0.12968529714271426,stage_a,none,0,133.73625,0.1264320929767564,28.8504508818131,-0.003253204165957868
fresh_ulong,ce6f8354-ba57-487f-9f25-1b1271db4511,101,DISTS,1,187.965,0.13265275675803423,beta_low,beta_low,0,105.28875,0.13318665511906147,43.98491740483602,0.0005338983610272408
fresh_ulong,ce6f8354-ba57-487f-9f25-1b1271db4511,101,LPIPS,2,268.7025,0.11332689819391817,beta_low,beta_low,1,150.24375,0.11357707297429442,44.08546626845675,0.0002501747803762555
fresh_ulong,ce6f8354-ba57-487f-9f25-1b1271db4511,101,DISTS,2,268.7025,0.12257856503129005,beta_low,beta_low,1,150.24375,0.12262323405593634,44.08546626845675,4.4669024646282196e-05
fresh_ulong,ce6f8354-ba57-487f-9f25-1b1271db4511,101,LPIPS,3,370.47,0.10008981416467577,stage_a,none,2,272.99625,0.09955994179472327,26.310834885415836,-0.0005298723699524999
fresh_ulong,ce6f8354-ba57-487f-9f25-1b1271db4511,101,DISTS,3,370.47,0.11417116690427065,beta_low,beta_low,2,212.21625,0.11337796784937382,42.7170216211839,-0.0007931990548968315
fresh_ulong,259bf3b4-4af4-4e1a-af3e-4b7df23dc061,102,LPIPS,0,71.71875,0.2845525681041181,beta_mid,beta_mid,2,108.4725,0.27508272090926766,-51.24705882352941,-0.009469847194850445
fresh_ulong,259bf3b4-4af4-4e1a-af3e-4b7df23dc061,102,DISTS,0,71.71875,0.15179892908781767,beta_mid,beta_mid,2,108.4725,0.14680504146963358,-51.24705882352941,-0.00499388761818409
fresh_ulong,259bf3b4-4af4-4e1a-af3e-4b7df23dc061,102,LPIPS,1,93.0825,0.26449672039598227,beta_low,beta_low,0,67.05375,0.2568240512628108,27.963097252437354,-0.007672669133171439
fresh_ulong,259bf3b4-4af4-4e1a-af3e-4b7df23dc061,102,DISTS,1,93.0825,0.132149588316679,stage_a,none,0,73.7925,0.13133924454450607,20.723551688018684,-0.0008103437721729279
fresh_ulong,259bf3b4-4af4-4e1a-af3e-4b7df23dc061,102,LPIPS,2,120.00375,0.2455117697827518,stage_a,none,0,73.7925,0.24715367797762156,38.50817161963688,0.0016419081948697567
fresh_ulong,259bf3b4-4af4-4e1a-af3e-4b7df23dc061,102,DISTS,2,120.00375,0.12347044423222542,beta_low,beta_low,1,87.64875,0.11990516632795334,26.961657448204736,-0.0035652779042720795
fresh_ulong,259bf3b4-4af4-4e1a-af3e-4b7df23dc061,102,LPIPS,3,155.41125,0.22789993113838136,stage_a,none,1,95.95875,0.22645911877043545,38.254952585478854,-0.0014408123679459095
fresh_ulong,259bf3b4-4af4-4e1a-af3e-4b7df23dc061,102,DISTS,3,155.41125,0.12158727552741766,beta_low,beta_low,1,87.64875,0.11990516632795334,43.602055835726176,-0.0016821091994643211
fresh_ulong,c46605a6-f6f6-4053-849d-455de2e6edb9,103,LPIPS,0,167.85375,0.1013468625023961,beta_low,beta_low,0,153.18375,0.09527879161760211,8.739751122629066,-0.006068070884793997
fresh_ulong,c46605a6-f6f6-4053-849d-455de2e6edb9,103,DISTS,0,167.85375,0.08589303214102983,beta_low,beta_low,1,191.20875,0.08508140314370394,-13.913898259645686,-0.0008116289973258972
fresh_ulong,c46605a6-f6f6-4053-849d-455de2e6edb9,103,LPIPS,1,209.77125,0.09009590174537152,stage_a,none,0,172.2675,0.09249076095875353,17.878403260694682,0.0023948592133820057
fresh_ulong,c46605a6-f6f6-4053-849d-455de2e6edb9,103,DISTS,1,209.77125,0.07973845582455397,stage_a,none,1,217.485,0.08065865281969309,-3.6772198287420244,0.000920196995139122
fresh_ulong,c46605a6-f6f6-4053-849d-455de2e6edb9,103,LPIPS,2,267.9075,0.0804876679321751,stage_a,none,1,217.485,0.081542634870857,18.82086167800454,0.0010549669386819005
fresh_ulong,c46605a6-f6f6-4053-849d-455de2e6edb9,103,DISTS,2,267.9075,0.07174810487776995,beta_low,beta_low,3,302.025,0.07364238239824772,-12.734805856498959,0.0018942775204777718
fresh_ulong,c46605a6-f6f6-4053-849d-455de2e6edb9,103,LPIPS,3,337.8,0.07214005698915571,stage_a,none,2,274.70625,0.07394871750148013,18.67784191829485,0.0018086605123244226
fresh_ulong,c46605a6-f6f6-4053-849d-455de2e6edb9,103,DISTS,3,337.8,0.06679034605622292,stage_a,none,3,346.39875,0.06953880004584789,-2.5455150976909398,0.002748453989624977
fresh_ulong,f0f6a0ec-d531-4a1b-9d18-d7541bd0132d,104,LPIPS,0,106.4475,0.15110041748266667,beta_low,beta_low,0,96.57,0.14577984577044845,9.279222151764964,-0.005320571712218225
fresh_ulong,f0f6a0ec-d531-4a1b-9d18-d7541bd0132d,104,DISTS,0,106.4475,0.10818523913621902,stage_a,none,0,109.935,0.10739777330309153,-3.276262946522931,-0.0007874658331274986
fresh_ulong,f0f6a0ec-d531-4a1b-9d18-d7541bd0132d,104,LPIPS,1,139.90125,0.12793638068251312,beta_low,beta_low,1,124.40625,0.12665107345674187,11.075669445412393,-0.0012853072257712483
fresh_ulong,f0f6a0ec-d531-4a1b-9d18-d7541bd0132d,104,DISTS,1,139.90125,0.10033024847507477,beta_low,beta_low,2,157.54125,0.09919904824346304,-12.608893773286505,-0.0011312002316117287
fresh_ulong,f0f6a0ec-d531-4a1b-9d18-d7541bd0132d,104,LPIPS,2,182.56875,0.113422283786349,beta_low,beta_low,2,157.54125,0.11385655752383173,13.708534456198011,0.0004342737374827266
fresh_ulong,f0f6a0ec-d531-4a1b-9d18-d7541bd0132d,104,DISTS,2,182.56875,0.09147221129387617,beta_low,beta_low,3,202.33125,0.09271475579589605,-10.824689329362236,0.0012425445020198822
fresh_ulong,f0f6a0ec-d531-4a1b-9d18-d7541bd0132d,104,LPIPS,3,239.70375,0.10218862083274871,beta_low,beta_low,3,202.33125,0.10269750154111534,15.591120289106865,0.0005088807083666325
fresh_ulong,f0f6a0ec-d531-4a1b-9d18-d7541bd0132d,104,DISTS,3,239.70375,0.08630355633795261,stage_a,none,3,244.5675,0.08641970902681351,-2.0290671297382628,0.00011615268886089325
