dataset,video,video_id,metric,original_qp,original_kbps,original_metric,candidate_method,candidate_beta,candidate_qp,candidate_kbps,candidate_metric,rate_saving_percent
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,DISTS,2,170.96403596403596,0.07177437469363213,stage_a,none,3,232.012987012987,0.07168775331228971,-35.70865106494872
fresh_ulong,3ed03b37-46cd-442c-a790-29fd5ed72122,100,LPIPS,0,79.3425,0.29269819892942905,beta_low,beta_low,0,73.7625,0.2573277484625578,7.032800831836655
fresh_ulong,3ed03b37-46cd-442c-a790-29fd5ed72122,100,DISTS,0,79.3425,0.16495357640087605,stage_a,none,1,105.94125,0.1607276275753975,-33.5239625673504
fresh_ulong,3ed03b37-46cd-442c-a790-29fd5ed72122,100,LPIPS,1,104.03625,0.2718278067186475,beta_low,beta_low,0,73.7625,0.2573277484625578,29.099232238762923
fresh_ulong,3ed03b37-46cd-442c-a790-29fd5ed72122,100,DISTS,1,104.03625,0.14852433372288942,beta_low,beta_low,2,125.235,0.14763030409812927,-20.376311141549223
fresh_ulong,3ed03b37-46cd-442c-a790-29fd5ed72122,100,LPIPS,2,135.69375,0.2521602513734251,beta_low,beta_low,1,97.08375,0.23517868178896606,28.453779190272215
fresh_ulong,3ed03b37-46cd-442c-a790-29fd5ed72122,100,LPIPS,3,178.53375,0.24006535904482007,beta_low,beta_low,1,97.08375,0.23517868178896606,45.62162616312042
fresh_ulong,ce6f8354-ba57-487f-9f25-1b1271db4511,101,LPIPS,0,130.61625,0.14503708214033395,beta_low,beta_low,0,105.28875,0.12546950369141996,19.390772587637457
fresh_ulong,ce6f8354-ba57-487f-9f25-1b1271db4511,101,DISTS,0,130.61625,0.14316138438880444,beta_low,beta_low,0,105.28875,0.13318665511906147,19.390772587637457
fresh_ulong,ce6f8354-ba57-487f-9f25-1b1271db4511,101,LPIPS,1,187.965,0.12968529714271426,beta_low,beta_low,0,105.28875,0.12546950369141996,43.98491740483602
fresh_ulong,ce6f8354-ba57-487f-9f25-1b1271db4511,101,DISTS,1,187.965,0.13265275675803423,beta_low,beta_low,1,150.24375,0.12262323405593634,20.068230787646637
fresh_ulong,ce6f8354-ba57-487f-9f25-1b1271db4511,101,LPIPS,2,268.7025,0.11332689819391817,stage_a,none,1,192.77625,0.11243589827790856,28.256622100650343
fresh_ulong,ce6f8354-ba57-487f-9f25-1b1271db4511,101,DISTS,2,268.7025,0.12257856503129005,beta_low,beta_low,2,212.21625,0.11337796784937382,21.02185502553939
fresh_ulong,ce6f8354-ba57-487f-9f25-1b1271db4511,101,LPIPS,3,370.47,0.10008981416467577,stage_a,none,2,272.99625,0.09955994179472327,26.310834885415836
fresh_ulong,ce6f8354-ba57-487f-9f25-1b1271db4511,101,DISTS,3,370.47,0.11417116690427065,beta_low,beta_low,2,212.21625,0.11337796784937382,42.7170216211839
fresh_ulong,259bf3b4-4af4-4e1a-af3e-4b7df23dc061,102,LPIPS,0,71.71875,0.2845525681041181,beta_low,beta_low,0,67.05375,0.2568240512628108,6.504575163398702
fresh_ulong,259bf3b4-4af4-4e1a-af3e-4b7df23dc061,102,DISTS,0,71.71875,0.15179892908781767,beta_low,beta_low,0,67.05375,0.13132139295339584,6.504575163398702
fresh_ulong,259bf3b4-4af4-4e1a-af3e-4b7df23dc061,102,LPIPS,1,93.0825,0.26449672039598227,beta_low,beta_low,0,67.05375,0.2568240512628108,27.963097252437354
fresh_ulong,259bf3b4-4af4-4e1a-af3e-4b7df23dc061,102,DISTS,1,93.0825,0.132149588316679,beta_low,beta_low,0,67.05375,0.13132139295339584,27.963097252437354
fresh_ulong,259bf3b4-4af4-4e1a-af3e-4b7df23dc061,102,LPIPS,2,120.00375,0.2455117697827518,beta_low,beta_low,1,87.64875,0.23007198981940746,26.961657448204736
fresh_ulong,259bf3b4-4af4-4e1a-af3e-4b7df23dc061,102,DISTS,2,120.00375,0.12347044423222542,beta_low,beta_low,1,87.64875,0.11990516632795334,26.961657448204736
fresh_ulong,259bf3b4-4af4-4e1a-af3e-4b7df23dc061,102,LPIPS,3,155.41125,0.22789993113838136,stage_a,none,1,95.95875,0.22645911877043545,38.254952585478854
fresh_ulong,259bf3b4-4af4-4e1a-af3e-4b7df23dc061,102,DISTS,3,155.41125,0.12158727552741766,beta_low,beta_low,1,87.64875,0.11990516632795334,43.602055835726176
fresh_ulong,c46605a6-f6f6-4053-849d-455de2e6edb9,103,LPIPS,0,167.85375,0.1013468625023961,beta_low,beta_low,0,153.18375,0.09527879161760211,8.739751122629066
fresh_ulong,c46605a6-f6f6-4053-849d-455de2e6edb9,103,DISTS,0,167.85375,0.08589303214102983,beta_low,beta_low,1,191.20875,0.08508140314370394,-13.913898259645686
fresh_ulong,c46605a6-f6f6-4053-849d-455de2e6edb9,103,LPIPS,1,209.77125,0.09009590174537152,beta_low,beta_low,1,191.20875,0.08486978558357805,8.848924721571711
fresh_ulong,c46605a6-f6f6-4053-849d-455de2e6edb9,103,DISTS,1,209.77125,0.07973845582455397,beta_low,beta_low,2,240.6675,0.07847941759973764,-14.72854359212713
fresh_ulong,c46605a6-f6f6-4053-849d-455de2e6edb9,103,LPIPS,2,267.9075,0.0804876679321751,beta_low,beta_low,2,240.6675,0.07638444734038785,10.167688474566795
fresh_ulong,c46605a6-f6f6-4053-849d-455de2e6edb9,103,DISTS,2,267.9075,0.07174810487776995,stage_a,none,3,346.39875,0.06953880004584789,-29.297891996304685
fresh_ulong,c46605a6-f6f6-4053-849d-455de2e6edb9,103,LPIPS,3,337.8,0.07214005698915571,beta_low,beta_low,3,302.025,0.06921418767888099,10.590586145648324
fresh_ulong,f0f6a0ec-d531-4a1b-9d18-d7541bd0132d,104,LPIPS,0,106.4475,0.15110041748266667,beta_low,beta_low,0,96.57,0.14577984577044845,9.279222151764964
fresh_ulong,f0f6a0ec-d531-4a1b-9d18-d7541bd0132d,104,DISTS,0,106.4475,0.10818523913621902,stage_a,none,0,109.935,0.10739777330309153,-3.276262946522931
fresh_ulong,f0f6a0ec-d531-4a1b-9d18-d7541bd0132d,104,LPIPS,1,139.90125,0.12793638068251312,beta_low,beta_low,1,124.40625,0.12665107345674187,11.075669445412393
fresh_ulong,f0f6a0ec-d531-4a1b-9d18-d7541bd0132d,104,DISTS,1,139.90125,0.10033024847507477,stage_a,none,1,144.96375,0.09895984642207623,-3.6186238507518693
fresh_ulong,f0f6a0ec-d531-4a1b-9d18-d7541bd0132d,104,LPIPS,2,182.56875,0.113422283786349,stage_a,none,2,186.70125,0.10583960101939738,-2.263530861661699
fresh_ulong,f0f6a0ec-d531-4a1b-9d18-d7541bd0132d,104,DISTS,2,182.56875,0.09147221129387617,stage_a,none,3,244.5675,0.08641970902681351,-33.95912498716237
fresh_ulong,f0f6a0ec-d531-4a1b-9d18-d7541bd0132d,104,LPIPS,3,239.70375,0.10218862083274871,stage_a,none,3,244.5675,0.09667826641816646,-2.0290671297382628
