dataset,video,video_id,video_tag,test_group,method,stage,beta,checkpoint,checkpoint_sha256,qp,num_frames,fps,bytes,bits,bpp,kbps,total_pixel_SSE,aggregate_MSE,PSNR,SSIM,MS_SSIM,LPIPS,DISTS,bitstream_path,bitstream_sha256,state_sync_pass,compression_hash_before,compression_hash_after,bytes_consumed,decode_status,independent_decode_pass,finite
uvg,Beauty,0,uvg_00,original_v2_test,beta_low,rate,beta_low,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/checkpoints/beta_low/step_5000.pt,df342823a9a3952b2784fd8665032eb195834ba52a6cec8ebe6bf1595a7c1241,2,64,120.0,32955,263640,0.0019865813078703705,494.325,1074425.802734375,0.0026986727057170474,25.68849783365,0.9736869689077139,0.8152149617671967,0.3052205047570169,0.18090372253209352,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_00/beta_low_qp2.bin,146a68c6acf6228597c8b16c015c0153b79f5dcbc57ad02d5becc5e7bf8a46d0,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,32955,PASS,True,True
uvg,Beauty,0,uvg_00,original_v2_test,beta_low,rate,beta_low,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/checkpoints/beta_low/step_5000.pt,df342823a9a3952b2784fd8665032eb195834ba52a6cec8ebe6bf1595a7c1241,3,64,120.0,44799,358392,0.0027005570023148147,671.985,1000002.9697265625,0.002511742284268509,26.000249231601053,0.9754130179062486,0.8249987196177244,0.29302857420407236,0.17302879504859447,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_00/beta_low_qp3.bin,85daca55858435bc523e05863de056d6dcf25526006e81da2726cfc53dcc974b,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,44799,PASS,True,True
uvg,Beauty,0,uvg_00,original_v2_test,beta_mid,rate,beta_mid,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/checkpoints/beta_mid/step_5000.pt,c8d76305920bc51d37bccd644481767e4876e59aec827cc92354942fd25902ac,0,64,120.0,15371,122968,0.0009265890239197531,230.565,3861666.24609375,0.009699481593237982,20.132514767865967,0.9269760800525546,0.739337645471096,0.5210474720224738,0.2602019142359495,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_00/beta_mid_qp0.bin,847d3e5780b0e0eab870e760020bca59e557e2caa665e9ec5f9ab537b0ecc56a,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,15371,PASS,True,True
uvg,Beauty,0,uvg_00,original_v2_test,beta_mid,rate,beta_mid,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/checkpoints/beta_mid/step_5000.pt,c8d76305920bc51d37bccd644481767e4876e59aec827cc92354942fd25902ac,1,64,120.0,19468,155744,0.001173562885802469,292.02,3830965.2578125,0.009622368851806892,20.167179994149485,0.9279997078701854,0.7606170969083905,0.46216666465625167,0.23602518253028393,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_00/beta_mid_qp1.bin,a00e24545ba23ac7388d42d50bb1803ec39e8ab669cf999791ed441349c7edd6,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,19468,PASS,True,True
uvg,Beauty,0,uvg_00,original_v2_test,beta_mid,rate,beta_mid,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/checkpoints/beta_mid/step_5000.pt,c8d76305920bc51d37bccd644481767e4876e59aec827cc92354942fd25902ac,2,64,120.0,26455,211640,0.001594750675154321,396.825,3620901.0859375,0.009094743355802057,20.412095517661484,0.9320004535838962,0.7842956203967333,0.4116274453699589,0.22277646884322166,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_00/beta_mid_qp2.bin,907f3c994fa3ebe5f7ee8e92f940a00f35b1f6f1c99255fe9dcfa40c743a774a,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,26455,PASS,True,True
uvg,Beauty,0,uvg_00,original_v2_test,beta_mid,rate,beta_mid,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/checkpoints/beta_mid/step_5000.pt,c8d76305920bc51d37bccd644481767e4876e59aec827cc92354942fd25902ac,3,64,120.0,34801,278408,0.0020978612075617286,522.015,3480964.046875,0.008743258621466994,20.583266751956355,0.9348229533061385,0.7979001207277179,0.38274964038282633,0.20962081756442785,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_00/beta_mid_qp3.bin,dc659114eebe9735fda6ceab1cb37d44ab22b68ad5308b0521e1946c4acba8f2,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,34801,PASS,True,True
uvg,Beauty,0,uvg_00,original_v2_test,beta_high,rate,beta_high,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/checkpoints/beta_high/step_5000.pt,c684b6c161f31d27717dbab24041c6dc952a95235586fb9f2f9f55abad908942,0,64,120.0,9364,74912,0.000564477237654321,140.46,12691879.84375,0.03187863659956818,14.965002609881573,0.6586876010987908,0.5652332538738847,0.6952106524258852,0.3899143263697624,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_00/beta_high_qp0.bin,eb0f8c65688e6c8e3d81e6b1949374548e0c0cfe388d21deb25c2f1c839094eb,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,9364,PASS,True,True
uvg,Beauty,0,uvg_00,original_v2_test,beta_high,rate,beta_high,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/checkpoints/beta_high/step_5000.pt,c684b6c161f31d27717dbab24041c6dc952a95235586fb9f2f9f55abad908942,1,64,120.0,11591,92728,0.0006987244405864197,173.865,11469930.3125,0.028809423407409416,15.40465433614285,0.7037874748930335,0.5935506923124194,0.6757156848907471,0.37595868296921253,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_00/beta_high_qp1.bin,2fa807c92cb30552e6142b1a55ebd1728c0a9b0a96cb76eff2bd0ef00ff236c2,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,11591,PASS,True,True
uvg,Beauty,0,uvg_00,original_v2_test,beta_high,rate,beta_high,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/checkpoints/beta_high/step_5000.pt,c684b6c161f31d27717dbab24041c6dc952a95235586fb9f2f9f55abad908942,2,64,120.0,15860,126880,0.0009560667438271604,237.9,10482850.1015625,0.0263301396664278,15.795468372024002,0.7355209137313068,0.6172298043966293,0.64653748460114,0.3624944658949971,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_00/beta_high_qp2.bin,ca9e61838aa8aa89501e3b8e2fc23ca0d38741af9fe479a180761afb7121d368,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,15860,PASS,True,True
uvg,Beauty,0,uvg_00,original_v2_test,beta_high,rate,beta_high,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/checkpoints/beta_high/step_5000.pt,c684b6c161f31d27717dbab24041c6dc952a95235586fb9f2f9f55abad908942,3,64,120.0,21007,168056,0.001266336323302469,315.105,9699343.80078125,0.024362179605068004,16.132838593844696,0.7638981933705509,0.6346758818253875,0.6248905519023538,0.34743070136755705,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_00/beta_high_qp3.bin,c455f327cd815c8035e5d7c09efdd675477bdb4a03555c4779a0901f62510c9a,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,21007,PASS,True,True
