dataset,video,video_id,qp,granularity,frame,trajectory_id,parent_trajectory_id,cumulative_actual_bytes,baseline_prefix_bytes,prefix_rate_ratio,cumulative_RGB_MSE,number_1x_tiles,number_2x_tiles,modified_frames,beam_rank,bitstream_hash,DPB_state_hash
uvg,HoneyBee,2,1,G4,46,BASELINE_PATH,BASELINE_PATH,22790,22790,1.0,0.04952935397159308,23460,0,0,-1,2e646ce17711d59914ee0b2010f948881bd4e59787e37315b33978149fce65ea,dc140916d979b0fed6a6e316ff67492a67ee91e69e08b37342f81fa578b71759
uvg,HoneyBee,2,1,G4,47,uvg_02_qp1_G4_T3762,uvg_02_qp1_G4_T3749,22810,22835,0.9989051894022334,0.050612517225090414,22848,1122,3,0,7b30b171927657de69864c9d4866f982d613be0aca15c5b803da6cb6b36523b1,0059d676a79ac2cf1b13b3c89e5d86a6344e251ecda8c6b1b32c502aa2d5c085
uvg,HoneyBee,2,1,G4,47,uvg_02_qp1_G4_T3771,uvg_02_qp1_G4_T3750,23042,22835,1.0090650317495073,0.050556914298795164,23103,867,3,1,169406003feb9eb9a0880a3953447e1fc241e1c9ac3d853494e9b1945897d508,0831c2360aaa7b59538e01b242a5643598dac31e35af6ff7d712d75c3029b1cf
uvg,HoneyBee,2,1,G4,47,uvg_02_qp1_G4_T3764,uvg_02_qp1_G4_T3751,23017,22835,1.0079702211517407,0.05055938119767234,23307,663,3,2,bf9f5ce28e8abb530b7c88037f44a28f3e0009caba51184c0f464e54d3038f76,b3f178f4cf12a13954388a6b00ea744c53b185181955f9bf0453cac94c642ab4
uvg,HoneyBee,2,1,G4,47,uvg_02_qp1_G4_T3765,uvg_02_qp1_G4_T3753,22859,22835,1.0010510181738559,0.050560244475491345,23460,510,1,3,e2a1058bcdb386901c95054be780063b7715b27fafd38520763a915268679d9d,c7a6f9eaa2af323808f78564733d4cf4171271b66d2036e5be92c189ef9be1d0
uvg,HoneyBee,2,1,G4,47,uvg_02_qp1_G4_T3766,uvg_02_qp1_G4_T3754,22727,22835,0.9952704182176484,0.050616794964298606,22261,1709,4,4,3ee268d293620f528a28085864997b683c16ec61635c38df53b8df5081a86d95,40ff021a7599a64c1e0bf3a298703a5a7da292cef652226f8e5713e832789c03
uvg,HoneyBee,2,1,G4,47,uvg_02_qp1_G4_T3767,uvg_02_qp1_G4_T3755,22666,22835,0.9925990803590978,0.05062550195725635,22440,1530,3,5,ab963c82859ee4c6295e7556a833ec98c7fc782f431728f748aa4c9dafc05a81,d48238b057ad109e545c18f1dd3656cc8e603b08dbe9daf25145ee68e6d4b424
uvg,HoneyBee,2,1,G4,47,uvg_02_qp1_G4_T3768,uvg_02_qp1_G4_T3756,22442,22835,0.9827895774031092,0.05071452015545219,21930,2040,4,6,cb105ffc91ce4a8f74b1ba2bc80052a75e62601e8db9906a44daf4ebba9a2b1e,b484db7f77656da80b48a5b8fb9cddf4afa413c58a4770fdd991afed9075cffb
uvg,HoneyBee,2,1,G4,47,uvg_02_qp1_G4_T3769,uvg_02_qp1_G4_T3757,22336,22835,0.978147580468579,0.05318326118867844,19941,4029,11,7,2aae22d1e08a7dd67e78594a161dbccbfe0a92251e69e3a243a1aafca4eb4169,ae3cb65f991e21921aa5a1c3bab20577a260e32a3934f758d2bc532ce82ba867
uvg,HoneyBee,2,1,G4,47,uvg_02_qp1_G4_T3770,uvg_02_qp1_G4_T3760,23111,22835,1.012086708999343,0.050556999107357115,23128,842,4,8,dfd8641a1f7a4a5e796152df6a326df97a893ccf21deb79426a43ef73f754a67,75c18d22ad8fc631b0dd95909363a25fb9aa55c70372a82b830e4d29a080785c
uvg,HoneyBee,2,1,G4,47,uvg_02_qp1_G4_T3763,uvg_02_qp1_G4_T3758,23042,22835,1.0090650317495073,0.05055704154074192,23179,791,3,9,60083056de8e8bd67f210fb891a2e7ff76d73f8b4cb1cc9c08e9bfe043c02f03,17194857cf892bad399e64a13b4f24ebb462ee9db52b35597b715c1bb5dccb56
uvg,HoneyBee,2,1,G4,47,uvg_02_qp1_G4_T3772,uvg_02_qp1_G4_T3759,23083,22835,1.0108605211298445,0.05056822136975825,22822,1148,4,10,4ac0d6e2036802e11a72f18239fa06b0288f0d7a0c97729ea2ac944e7dc81a15,a7e8f56d0f6f4a7f513c1b5990d59428150719ef2b3c632bcdaac80d7a7e0262
uvg,HoneyBee,2,1,G4,47,uvg_02_qp1_G4_T3773,uvg_02_qp1_G4_T3752,22989,22835,1.0067440332822422,0.05056899972259998,23001,969,3,11,e4666000a4ce944aa5cdbb9796b77abf01864c36810c53586a4fe84137f3f3d4,3fd82919b0ff1a5448beec6fa5ed8dc7ca02042d0cf12c734d952b71c5795d53
uvg,HoneyBee,2,1,G4,47,BASELINE_PATH,BASELINE_PATH,22835,22835,1.0,0.05061846494209021,23970,0,0,-1,a0233aa4e0b1ccaca08103690d27e8f4ede9e5d81e285dee508a7df1944cdfe2,476310c94f3e28e35b63182b833e4f037151c4abc406fee97cd720e8b2809d4e
uvg,HoneyBee,2,1,G4,48,uvg_02_qp1_G4_T3794,uvg_02_qp1_G4_T3765,23693,23722,0.9987775061124694,0.0515506761148572,23613,867,2,0,773a00ccad3c7c978e80aa5d1bb99d4278fff9687ed43ec0576854ce9c3ba359,8d81445641b929f0f8759b6ae210cf8e619c9557d683c2183ef289c8cfe417fd
uvg,HoneyBee,2,1,G4,48,uvg_02_qp1_G4_T3782,uvg_02_qp1_G4_T3771,23945,23722,1.0094005564454935,0.05153746297582984,23562,918,4,1,3c07561afdd9bb5ff1af70f0be3ed91ac55cf805bfad111b51ff629f6c624734,d0bb5d09db7ecf90ad27ae03787740545686723cae1296a8d612e42404165dbf
uvg,HoneyBee,2,1,G4,48,uvg_02_qp1_G4_T3783,uvg_02_qp1_G4_T3771,23916,23722,1.008178062557963,0.05153901071753353,23434,1046,4,2,031761429b4f5f7487b19b2de9dad2d2f4fbcbd41f344433eda8f7d879c2af11,1e6d3845a86b1102362d0d0f44fe717079235859b4f020d1fe05e887ea713263
uvg,HoneyBee,2,1,G4,48,uvg_02_qp1_G4_T3784,uvg_02_qp1_G4_T3771,23902,23722,1.0075878930950173,0.05154069641139358,23358,1122,4,3,a456db56d0be8cff133988a766352e888ffa68525333777f57c64ae43e693436,cd5aa8b49a7553cf3ae2b43a5c78e84742abaf5ac32a52b271aabe03b31daed3
uvg,HoneyBee,2,1,G4,48,uvg_02_qp1_G4_T3790,uvg_02_qp1_G4_T3765,23732,23722,1.0004215496163897,0.05154147662688047,23970,510,1,4,cb7978e945809f77a3718d2839db4896126f1e572c58e3fb92f4a21ab3dcdec2,a0a3e94bf7d55544c9c39d20cf85f4f2240f923f457e1d0dd667b8d40564d607
uvg,HoneyBee,2,1,G4,48,uvg_02_qp1_G4_T3795,uvg_02_qp1_G4_T3766,23685,23722,0.9984402664193576,0.051590003015007824,22771,1709,4,5,35ca17882a3aade93be08fb0da3245d597acddacb16294da4b683c03d577c507,bffd31dd4df266e87bbe9f0200351e8322114b5ec931e1d5428d44fb33338576
uvg,HoneyBee,2,1,G4,48,uvg_02_qp1_G4_T3799,uvg_02_qp1_G4_T3766,23637,23722,0.9964168282606863,0.051599860773421824,22414,2066,5,6,05af16272c55813ca28a763a005342d584774efd89b4b77498b535a220b9f7d2,bc7e26c2b19da7f7164b5950b415cca8826a04e3d27f0301753fcf0a35877a00
