step,method,eligible,reason,real_bitrate_reduction_percent,checkpoint,used_final_test,FloLPIPS_gate,FID_gate,LPIPS_BD_rate,LPIPS_BD_status,LPIPS_BD_reason,mean_equal_rate_delta_LPIPS,LPIPS_equal_rate_status,DISTS_BD_rate,DISTS_BD_status,DISTS_BD_reason,mean_equal_rate_delta_DISTS,DISTS_equal_rate_status,FloLPIPS_BD_rate,FloLPIPS_BD_status,FloLPIPS_BD_reason,mean_equal_rate_delta_FloLPIPS,FloLPIPS_equal_rate_status
10000,v4_10000,True,,13.72892128564086,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/checkpoints/beta_high/step_10000.pt,False,False,False,-40.55669147974838,valid,,-0.030875102430038426,valid,-16.672720553006336,valid,,-0.004830622815474927,valid,-37.02354000114095,valid,,-0.030088867195129872,valid
15000,v4_15000,True,,13.704719822559818,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/checkpoints/beta_high/step_15000.pt,False,False,False,-44.00510064861912,valid,,-0.03406471487936384,valid,-22.74193291580098,valid,,-0.006627233381690048,valid,-42.36965676645982,valid,,-0.03505274113025105,valid
20000,v4_20000,True,,15.765317089739817,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/checkpoints/beta_high/step_20000.pt,False,False,False,-46.76571213450692,valid,,-0.03706155506184149,valid,-17.875834503068468,valid,,-0.00521525319682266,valid,-44.951932289960276,valid,,-0.03806354270478746,valid
