step,mean_real_kbps,mean_LPIPS,mean_DISTS,mean_FloLPIPS,same_qp_mean_rate_change_percent,same_qp_LPIPS_change,same_qp_DISTS_change,same_qp_FloLPIPS_change,LPIPS_BD_rate,LPIPS_BD_status,LPIPS_BD_reason,mean_equal_rate_delta_LPIPS,LPIPS_equal_rate_status,LPIPS_better_fraction,DISTS_BD_rate,DISTS_BD_status,DISTS_BD_reason,mean_equal_rate_delta_DISTS,DISTS_equal_rate_status,DISTS_better_fraction,FloLPIPS_BD_rate,FloLPIPS_BD_status,FloLPIPS_BD_reason,mean_equal_rate_delta_FloLPIPS,FloLPIPS_equal_rate_status,FloLPIPS_better_fraction,previous_step,rate_change_from_previous_percent,LPIPS_change_from_previous,DISTS_change_from_previous,FloLPIPS_change_from_previous
10000,170.44191371128872,0.17699726392553808,0.11061651484730343,0.1859366656881907,-13.72892128564086,-0.022372247690024494,-0.0013199352348844118,-0.020414450341054546,-40.55669147974838,valid,,-0.030875102430038426,valid,1.0,-16.672720553006336,valid,,-0.004830622815474927,valid,1.0,-37.02354000114095,valid,,-0.030088867195129872,valid,1.0,,,,,
15000,170.48972746003994,0.17350657670370614,0.10881589989488323,0.18048304711438476,-13.704719822559818,-0.025862934911856428,-0.003120550187304616,-0.025868068914860487,-44.00510064861912,valid,,-0.03406471487936384,valid,1.0,-22.74193291580098,valid,,-0.006627233381690048,valid,1.0,-42.36965676645982,valid,,-0.03505274113025105,valid,1.0,10000,0.0280528114887435,-0.003490687221831934,-0.0018006149524202042,-0.005453618573805941
20000,166.41869755244758,0.17209228616169034,0.11062785238027573,0.17928854370569833,-15.765317089739817,-0.027277225453872234,-0.0013085977019121203,-0.02706257232354692,-46.76571213450692,valid,,-0.03706155506184149,valid,1.0,-17.875834503068468,valid,,-0.00521525319682266,valid,1.0,-44.951932289960276,valid,,-0.03806354270478746,valid,1.0,15000,-2.387844692019081,-0.0014142905420158058,0.0018119524853924956,-0.0011945034086864315
