dataset,video,video_id,video_tag,test_group,method,stage,beta,checkpoint,checkpoint_sha256,qp,num_frames,fps,bytes,bits,bpp,kbps,total_pixel_SSE,aggregate_MSE,PSNR,SSIM,MS_SSIM,LPIPS,DISTS,bitstream_path,bitstream_sha256,state_sync_pass,compression_hash_before,compression_hash_after,bytes_consumed,decode_status,independent_decode_pass,finite,reconstruction_sha256,FloLPIPS,feature_path,feature_sha256,num_transitions,metric_decode_pass,split,step,video_index,real_bytes,provenance,metric_audit_sha256
fresh_ulong,fresh_ulong_10,10,fresh_ulong_10,original_v2_test,original,original,none,,,3,64,29.97002997002997,60467,483736,0.0036450496720679014,226.52472527472526,461321.74169921875,0.0011587178842030435,29.36022289875874,0.9822438303381205,0.9672644753009081,0.06322736787842587,0.06645642593502998,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_10/original_qp3.bin,82b908f356f29f8f863419425c34dd515975b41a82dd596afdd27679a2f7e911,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,60467,PASS,True,True,982dd018e2633bc056e7bc617050ebc82b6d80d759ee4598315925be856f54d0,0.04913221879137887,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/features/final/original/video_2_qp3.npz,c46732818695d4c267f372ebd62254f103c76413e388eaec16e9c255305ffe09,63,True,final,0,2,60467,reused verified V4 spatial/RANS results; new independent metric decode,cedbc8f5f3f2d187b7a139b611a7eb2e51b5262f9ec9780fc23a0ead0d665513
fresh_ulong,fresh_ulong_100,100,fresh_ulong_100,added_ulong_validation,original,original,none,,,0,64,30.0,21158,169264,0.001275438850308642,79.3425,3213911.8828125,0.008072494400872125,20.929922475398108,0.9067962029948831,0.7001095088198781,0.29269819892942905,0.16495357640087605,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_100/original_qp0.bin,88916fb5df665d5c60008552550a85432d8ed887f09a106175575c3b6bd7f113,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,21158,PASS,True,True,287138b9b260a505cf5c6dfddbac3407e9e9e2eb6ee253866fd720bd67573ae9,0.32024859577890424,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/features/final/original/video_3_qp0.npz,8c886d01575c4070de3a07d2ff090e087abebe40dde765154191eca7dac1b99c,63,True,final,0,3,21158,reused verified V4 spatial/RANS results; new independent metric decode,cedbc8f5f3f2d187b7a139b611a7eb2e51b5262f9ec9780fc23a0ead0d665513
fresh_ulong,fresh_ulong_100,100,fresh_ulong_100,added_ulong_validation,original,original,none,,,1,64,30.0,27743,221944,0.0016723934220679011,104.03625,2954344.3125,0.007420529495050877,21.29565104347083,0.9142786068841815,0.7340603908523917,0.2718278067186475,0.14852433372288942,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_100/original_qp1.bin,7df4015fa0ccacfe58491e9399b5fd63821e57825e0b1954759798027c3ac0f4,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,27743,PASS,True,True,b5a9145f8574229b422bc0c3c3534e8ee1e480a7ba0314496d4267113019553e,0.27357889108714606,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/features/final/original/video_3_qp1.npz,56f54427a49efb07da42cfbf9a4e6a98355f3bdd9f57a97d7ab198a7765e0fce,63,True,final,0,3,27743,reused verified V4 spatial/RANS results; new independent metric decode,cedbc8f5f3f2d187b7a139b611a7eb2e51b5262f9ec9780fc23a0ead0d665513
fresh_ulong,fresh_ulong_100,100,fresh_ulong_100,added_ulong_validation,original,original,none,,,2,64,30.0,36185,289480,0.0021812909915123455,135.69375,2738773.97265625,0.006879073965206068,21.624700209024628,0.9208585396409035,0.7638975642621517,0.2521602513734251,0.1400949666276574,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_100/original_qp2.bin,0db9e90531dd5cbca3203970cc714292cb65d11ff98ac4115a939f7176682db1,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,36185,PASS,True,True,b78df99fcc7ad1d781d092b0269fb0678d103d5f8e38adf5367ca4462e9fdf58,0.24219509385644444,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/features/final/original/video_3_qp2.npz,e213c9812cd49c561acad6991dbdf248707eb80cb52b92d2865c1120044f4822,63,True,final,0,3,36185,reused verified V4 spatial/RANS results; new independent metric decode,cedbc8f5f3f2d187b7a139b611a7eb2e51b5262f9ec9780fc23a0ead0d665513
fresh_ulong,fresh_ulong_100,100,fresh_ulong_100,added_ulong_validation,original,original,none,,,3,64,30.0,47609,380872,0.002869948398919753,178.53375,2542173.7822265625,0.006385266420281963,21.9482097742258,0.9266397971659899,0.7901640450581908,0.24006535904482007,0.12822777964174747,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_100/original_qp3.bin,33a563980060a03fec688bd9a4f5c89d28877fbd70675aab7d373eabcc44a213,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,47609,PASS,True,True,5e36d1afe7a5b9147c87506bfc8c98bdc44eb7316f215e62e9d5b903ea4e4081,0.22730098561280304,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/features/final/original/video_3_qp3.npz,3c550cd867df1769cf34090f7e11727111bf942251f05f34689163397fd93d10,63,True,final,0,3,47609,reused verified V4 spatial/RANS results; new independent metric decode,cedbc8f5f3f2d187b7a139b611a7eb2e51b5262f9ec9780fc23a0ead0d665513
fresh_ulong,fresh_ulong_101,101,fresh_ulong_101,added_ulong_validation,original,original,none,,,0,64,30.0,34831,278648,0.0020996696566358023,130.61625,589902.263671875,0.0014816780590716702,28.292461501741,0.9426215039566159,0.9458505567163229,0.14503708214033395,0.14316138438880444,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_101/original_qp0.bin,9050d503a0f1288339ade063d05ec6a1502d1f9c3228d9a3319de8a8894e9dd0,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,34831,PASS,True,True,1e0d0c5740bfd0d47100d82e3ea9ba24ab1e28eb060feaeb88184971e664b8dd,0.12029401094667495,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/features/final/original/video_4_qp0.npz,23c88ea19243b55bd4d0e1a817b261aa9ed600a654ce19fc700a6d536a5a4f57,63,True,final,0,4,34831,reused verified V4 spatial/RANS results; new independent metric decode,cedbc8f5f3f2d187b7a139b611a7eb2e51b5262f9ec9780fc23a0ead0d665513
fresh_ulong,fresh_ulong_101,101,fresh_ulong_101,added_ulong_validation,original,original,none,,,1,64,30.0,50124,400992,0.003021556712962963,187.965,550482.4614257812,0.0013826659689714878,28.592827261482057,0.9464549412950873,0.9511626828461885,0.12968529714271426,0.13265275675803423,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_101/original_qp1.bin,3bc77b5bbac6d7fea59e157d5d14cbd43bb883dce500100fc25254b06ad661b4,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,50124,PASS,True,True,61db28ae58da385212801d07d7fd1858d83409d553af3e42153bd1ab9b4f7e41,0.10697216623359257,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/features/final/original/video_4_qp1.npz,03339e3d48ab688189ae57dd5c047fc773a14680f0346ece32c768876ff9dbf8,63,True,final,0,4,50124,reused verified V4 spatial/RANS results; new independent metric decode,cedbc8f5f3f2d187b7a139b611a7eb2e51b5262f9ec9780fc23a0ead0d665513
fresh_ulong,fresh_ulong_101,101,fresh_ulong_101,added_ulong_validation,original,original,none,,,2,64,30.0,71654,573232,0.004319420331790123,268.7025,489124.73779296875,0.0012285516377339148,29.10606584799209,0.9520424110814929,0.9572458202019334,0.11332689819391817,0.12257856503129005,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_101/original_qp2.bin,bd9e92d92a2abdea285fa32c38661d845eefbca7534ec598aec31947b82b1bd8,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,71654,PASS,True,True,e927fa2e18932162edd1e800b9f1689756767cdbabd8fbcaf388468123d29105,0.09360870127640074,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/features/final/original/video_4_qp2.npz,3faa26e4da18591cf50c12f65e8c452a1b4a1a70ce98e0eb2fe2833b78bd10f5,63,True,final,0,4,71654,reused verified V4 spatial/RANS results; new independent metric decode,cedbc8f5f3f2d187b7a139b611a7eb2e51b5262f9ec9780fc23a0ead0d665513
fresh_ulong,fresh_ulong_101,101,fresh_ulong_101,added_ulong_validation,original,original,none,,,3,64,30.0,98792,790336,0.005955343364197531,370.47,443390.48828125,0.0011136793305353864,29.53239840604697,0.9562005028128624,0.9617009432986379,0.10008981416467577,0.11417116690427065,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_101/original_qp3.bin,7dfc67138bc385f91cba8545aeddba71c1b4ac1af7838951047ac233bec4dd9c,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,98792,PASS,True,True,d82ac5a7e27da528531f1d8d7a2a36e87d008e483ae22d337dee567212e7d4d1,0.08153981951967118,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/features/final/original/video_4_qp3.npz,85f2f347f272f8654fa3fa58d331178e777eda1411d091a46f5b7f73d65ef708,63,True,final,0,4,98792,reused verified V4 spatial/RANS results; new independent metric decode,cedbc8f5f3f2d187b7a139b611a7eb2e51b5262f9ec9780fc23a0ead0d665513
fresh_ulong,fresh_ulong_102,102,fresh_ulong_102,added_ulong_validation,original,original,none,,,0,64,30.0,19125,153000,0.0011528862847222222,71.71875,2305606.314453125,0.005791071672989017,22.372410600034232,0.9313685428351164,0.7518388433381915,0.2845525681041181,0.15179892908781767,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_102/original_qp0.bin,3445488afafea1ca1d941081a3292e054922957efcb58efcfc442fe0943ebbe2,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,19125,PASS,True,True,5032eb9ee263d1d0d76051f292a03ce1f9d786a6abeaf0ebe181e697789edf58,0.27923062727564857,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/features/final/original/video_5_qp0.npz,f03a76f93f237a3cb29e5c62f41a13dee596299ca4e6b7d576d8a065148dfe90,63,True,final,0,5,19125,reused verified V4 spatial/RANS results; new independent metric decode,cedbc8f5f3f2d187b7a139b611a7eb2e51b5262f9ec9780fc23a0ead0d665513
