branch,frame,payload_bytes,packet_bytes,MSE,PSNR,w1_hash,rgb_hash,state_hash,predictor_equal
FULL,1,7146,7150,0.005262201651930809,22.78832513406759,b9229f4e66991a1d42dd7ddebfc81b8697818ff941f62383b0beea0b786d8222,eb977c5b6f4802ba286ca82952674f9aeedd0f9c575ed1d576124c64afd8ff80,6be896edb617723e547c07ef5c5e843a932ecbdef69164d9a782b4e8a61378a2,True
FULL,2,1774,1778,0.005041272845119238,22.974597969234782,ac2c3582435896cba991b23a4b8a415e9d300e966995bece15a3f21d037d2595,09b9fa5f826f2f990b7ae562fcd9dec187fab860711340cceb5feb0230fcb46d,ffa45a87510735cf24298123d7fc96f7b9c16758ca7c6e86dfef33ec12816e68,True
FULL,3,1378,1382,0.005070102401077747,22.949832691136265,172fea75d25917261bc698404db0f8f12127b94e962487b1809786876395677b,888c5764fc77bfc6643fb07d84d142fdcdcca26a8041d0ece22d3ea7066abf55,5fb4385f29f009d9d6d8a2729f792112bd93195718d49d9f9842c097b3333a1f,True
FULL,4,2187,2191,0.00482646469026804,23.163708666991603,f4634bce6dcdca09efdbc4240e4e37aa1047d11e6ecab672c671740cb6a09ab6,49c529bc3c7ce2064cee8f1007b4149c171acab088a8583d2e6d2ddac6804b42,7877e660c62f8cba08c99e285965d6bfc1f771194a998f1b76a6184c7b4ac1b7,True
FULL,5,2586,2590,0.004579960834234953,23.391382358713205,c29b341c5b73c91b07832c6c9bc2403bf322cabacb43f40bcc5901935b52f1b9,08420f2c2ca4402889312b9166fc028ade18ea879206a9345c74afaa0dff784a,889a2d5bf981a12971ab4a0c656db7893bb3d7ffbcd0b533ffa962eba8020be6,True
FULL,6,2023,2027,0.004483984317630529,23.483359149839412,c447c10f576291d8a236714693319c19d9efc80326f3599f1119981bf2f6c028,5848531db20fb6ae1f58f1dcc48125a5d41132e1d484c4ced7c18dcaaf2ff60f,cb0ccf01727d7914bf4d0100a821fbf40fbce0f731660a823a36892983256498,True
FULL,7,2045,2049,0.004290883429348469,23.674532838076647,0bfd8a7c99ae5c80b647c7367914618b2c1eaf65370d79a47d38a15e22198157,6226f454dee8f701ea77c5ba8032f7019e8250f3e0cf8b5b2423574bd79057b0,2c1dec1a86c4c6636264a8a7ef161b4af1463acfa7e88828636775e0fa8e675f,True
PRED_ONLY,1,5806,5810,0.005805617664009333,22.36151568552305,f62e0f02a1fde7c69411b888b4054fa5bf465693a429cb9f283bd6a0ccdee290,62aef0453630a8b89e183bb108d319ea8ee1231db79791d81de2789a8deb09d6,08ac70b736345796e53a006366e8a41d6e182bd29b637326dc1a097d359fc18c,True
PRED_ONLY,2,1404,1408,0.005592185538262129,22.52418427944297,f62e0f02a1fde7c69411b888b4054fa5bf465693a429cb9f283bd6a0ccdee290,38a32923ceea7c9c44126ef228b9be189c5766447268df987a2cf38f01565049,9854b07034ce052d8135603ce687160bf5dbda845c09a3d4005d30dea4245037,True
PRED_ONLY,3,1220,1224,0.005594739690423012,22.522201153273784,f62e0f02a1fde7c69411b888b4054fa5bf465693a429cb9f283bd6a0ccdee290,6b76e66b8f62eb2920eb9e3ee3ec33e617b246627eda5be270275f0e3424041e,ee08324f0c5d070a02c94e8a24a1d06a0e5d9dcde33d80a55ca6d813c6591c7c,True
PRED_ONLY,4,1896,1900,0.005289846565574408,22.765569246927463,f62e0f02a1fde7c69411b888b4054fa5bf465693a429cb9f283bd6a0ccdee290,eef315c7066948853db994351408cea51ff0a5bbb3f3779220f7a8e92a0d2eb4,7713fd62133b7394b306ad5a9c27359848f474437211f1911d89d8e79de36d24,True
PRED_ONLY,5,2364,2368,0.005057023838162422,22.961049991540886,f62e0f02a1fde7c69411b888b4054fa5bf465693a429cb9f283bd6a0ccdee290,a303096d8b9cdaa82df1dd3512eb2215ada97387f8e2e49a0a8f714a1277e0e7,e8f5bb4b87d0fe6d21969ccc501d40f24bc180a29ac6b42cbdd96a288a35dc75,True
PRED_ONLY,6,1891,1895,0.004961525090038776,23.04384808110214,f62e0f02a1fde7c69411b888b4054fa5bf465693a429cb9f283bd6a0ccdee290,83f2df8ca919a25c8e6139afe94f8b5e56d5e780b556a70944fe0c72e70d812a,fbf54bfcc85f3f76c858427bc044228e6d412487ada16260ca9a164f5882ea80,True
PRED_ONLY,7,1871,1875,0.0047721536830067635,23.21285578705158,f62e0f02a1fde7c69411b888b4054fa5bf465693a429cb9f283bd6a0ccdee290,067fc0414d3b61a155d193b95f0f147729b4528993cfef678bd347da84125074,2c102c8a5a6b8043525d1d1ed7189df9bdd956ba87d2c6eac2ad5b78429d2f9e,True
CORR1,1,7208,7212,0.005262201651930809,22.78832513406759,b9229f4e66991a1d42dd7ddebfc81b8697818ff941f62383b0beea0b786d8222,eb977c5b6f4802ba286ca82952674f9aeedd0f9c575ed1d576124c64afd8ff80,6be896edb617723e547c07ef5c5e843a932ecbdef69164d9a782b4e8a61378a2,True
CORR1,2,1820,1824,0.005041272845119238,22.974597969234782,ac2c3582435896cba991b23a4b8a415e9d300e966995bece15a3f21d037d2595,09b9fa5f826f2f990b7ae562fcd9dec187fab860711340cceb5feb0230fcb46d,ffa45a87510735cf24298123d7fc96f7b9c16758ca7c6e86dfef33ec12816e68,True
