step,beta,qp,video,start,crop_x,crop_y,loss,LPIPS,DISTS,R_est_bpp,proxy_L1,PSNR,MS_SSIM,wrapper_gradient_norm,bridge_gradient_norm,generator_gradient_norm,all_finite
10001,17.302782275540444,1,clips_long_1920/4f31c0c6-a754-4503-a007-9f75410d8147.mp4,27,2,319,0.3286442905664444,0.1278646339972814,0.11221537987391153,0.005081856705752822,0.06340106825033824,26.589072219596265,0.8363053599993386,0.4839507056831666,1.4387315719274731,0.6697789970394912,True
10002,17.302782275540444,0,clips_long_1920/2b61aaf2-9d06-4970-9c04-288b1d97b6d4.mp4,537,151,819,0.28987374156713486,0.07681633035341899,0.17230337858200073,0.002317509982579698,0.06546579549709955,34.84733210231835,0.9650458097457886,1.0821068638973694,1.4902685053176858,1.1500890682862206,True
10003,17.302782275540444,2,clips_long_1920/0b4e043b-6cb3-4fd7-953f-648c435e3c6e.mp4,116,1114,423,0.23031418770551682,0.04829675952593486,0.11889884869257611,0.0036170865641906857,0.05329037830233574,33.85492571848256,0.9739028811454773,1.1589239736444235,1.5046097615357232,0.908303038791785,True
10004,17.302782275540444,1,clips_long_1920/a7f7a203-324e-45a5-9097-186b2269477a.mp4,170,1561,693,0.4782254099845886,0.19483413298924762,0.18987466891606647,0.005378888124444832,0.044684781382481255,19.890976965873584,0.6487964789072672,0.412180490060941,1.4748645390757735,0.6911038386311102,True
10005,17.302782275540444,1,clips_long_1920/1473760a-f7d7-467b-aa45-37324bc54417.mp4,151,1262,719,0.38550905138254166,0.12591507037480673,0.15018826723098755,0.006282730144448578,0.06969955811897914,24.68925478396084,0.8617435495058696,0.566280936267052,1.4781211826035954,0.5488065649437691,True
10006,17.302782275540444,2,clips_long_1920/1334a8f6-4959-4ca6-a529-c251787ee346.mp4,339,97,613,0.25693491101264954,0.07567678143580754,0.11543204387029012,0.0037696728638062873,0.06002605209747951,33.45566895848505,0.9617464939753215,1.232557411995708,1.5188121294296428,1.0730691495326539,True
10007,17.302782275540444,0,clips_long_1920/8d2286f3-f02a-4b68-9e9f-ddf2ab643f39.mp4,966,499,818,0.4514404237270355,0.2081531236569087,0.17911040782928467,0.0036858587433622842,0.04012610390782356,24.707713398142452,0.6380863189697266,0.822522408993133,2.912808154699559,1.2944983898541087,True
10008,17.302782275540444,3,clips_long_1920/b5949523-e7dd-44f4-8e92-7490abb2ca2a.mp4,472,1270,361,0.41950201988220215,0.11232586453358334,0.15000106890996298,0.009055460647990305,0.049042007575432464,26.542909731784047,0.9166365067164104,0.4315621112666156,0.9368111464612283,0.4933531715392184,True
10009,17.302782275540444,1,clips_long_1920/b84ec8f0-8c5f-4609-af10-70e876a5aea0.mp4,263,1119,283,0.31931235641241074,0.08445778985818227,0.13330129782358804,0.005847508233273402,0.03751078248023987,28.438668772692445,0.9073311686515808,0.672587669864236,0.8963024299100302,0.5431581562104506,True
10010,17.302782275540444,3,clips_long_1920/73513826-f910-4e65-9a21-23232b9d63a7.mp4,6,193,212,0.1849009171128273,0.04547561456759771,0.08990180492401123,0.0028416911372914915,0.0354317252834638,39.87591564922914,0.9815886219342549,0.49750270735006186,0.69983999388496,1.8108871707682608,True
