branch,clip_length,position,num_samples,LPIPS,DISTS,R_est_bpp,proxy_L1,PSNR,MS_SSIM
clip4_control,4,1,7000,0.1298311156125939,0.1639241396188736,0.010886600552405331,0.078776008831071,27.351320087189404,0.8358478769361973
clip4_control,4,2,7000,0.12756533056790276,0.16338849430424826,0.0031618384910034364,0.07880676803950752,27.565070511429013,0.8383752271043403
clip4_control,4,3,7000,0.13068695325421037,0.16597637074334282,0.0010574424380839836,0.07880114889091679,27.38825637120691,0.8336483394365225
clip8,8,1,3000,0.1277612291960783,0.16019184239705403,0.011287447251505607,0.06532802657783031,27.604694546872977,0.8410113858878613
clip8,8,2,3000,0.12531574348862826,0.15942031919956207,0.003312045116717248,0.06535538506383697,27.815222042911333,0.8438921965559324
clip8,8,3,3000,0.12818432955160583,0.16192713952064514,0.001137804826561478,0.06534266798074047,27.645287823431573,0.8391958203713099
clip8,8,4,3000,0.13043418679764726,0.16443568271398545,0.0010573695774874067,0.0653330910510073,27.522976971223635,0.8359161185473204
clip8,8,5,3000,0.1267098012494389,0.16204258290926615,0.003809846963042219,0.06534708595772584,27.853460471804826,0.8426531933099032
clip8,8,6,3000,0.12719366178510244,0.1627093850771586,0.001987288369319382,0.06537865622155369,27.874721824528088,0.8426000662793716
clip8,8,7,3000,0.12912717120085532,0.16371103896697362,0.0015499276443806593,0.06537849321899315,27.77610067472569,0.8406924557685852
