sample,video,frame,group,split,stage,initialization,step,lambda,quantized,code_domain,code_l2,code_rms,residual_l2,gradient_l2,R_est_bpp,estimated_symbol_bits,elapsed_seconds,symbol_nonzero_fraction,diagnostic_container_bits,actual_frame_packet_bits,actual_frame_share_bits,R_actual_bpp,zero_grid_skip,roundtrip_exact,diagnostic_stream,mse,psnr,ms_ssim,lpips,L_image,selection_objective,psnr_minus_ZERO,ms_ssim_minus_ZERO,lpips_minus_ZERO,psnr_minus_ENCODER_CONTINUOUS,ms_ssim_minus_ENCODER_CONTINUOUS,lpips_minus_ENCODER_CONTINUOUS,psnr_minus_ENCODER_QUANTIZED,ms_ssim_minus_ENCODER_QUANTIZED,lpips_minus_ENCODER_QUANTIZED,selected,nondominated_psnr_lpips
c227e33d-910e-4e39-a325-0fe1d1116436_f0012,c227e33d-910e-4e39-a325-0fe1d1116436,12,Train2_rest24,Train2,Bfull_lambda3,ZERO_START,0,0.18864966852870935,True,z = u/delta,0.0,0.0,0.0,4.114438213025461e-05,0.0010046811075881124,2083.30674469471,0.43971626460552216,0.0,816,8,54.4,2.6234567901234566e-05,True,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_3_code_optimization_diagnosis/results_v1/optimizations/Bfull_lambda3/c227e33d-910e-4e39-a325-0fe1d1116436_f0012/step_000.orc,0.0011115127748623948,29.540855414936793,0.9011635556575097,0.17763149738311768,0.0012891442722455125,0.0012940934147840743,0.0,0.0,0.0,-0.6536321618281491,-0.011465623805678171,0.04305736720561981,-0.5827400942610694,-0.010461089648913346,0.04164329171180725,True,False
c227e33d-910e-4e39-a325-0fe1d1116436_f0012,c227e33d-910e-4e39-a325-0fe1d1116436,12,Train2_rest24,Train2,Bfull_lambda3,ZERO_START,25,0.18864966852870935,True,z = u/delta,0.0,0.0,0.0,4.1144379768343195e-05,0.0010046811075881124,2083.30674469471,2.5885663256049156,0.0,816,8,54.4,2.6234567901234566e-05,True,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_3_code_optimization_diagnosis/results_v1/optimizations/Bfull_lambda3/c227e33d-910e-4e39-a325-0fe1d1116436_f0012/step_025.orc,0.0011115127748623948,29.540855414936793,0.9011635556575097,0.17763149738311768,0.0012891442722455125,0.0012940934147840743,0.0,0.0,0.0,-0.6536321618281491,-0.011465623805678171,0.04305736720561981,-0.5827400942610694,-0.010461089648913346,0.04164329171180725,False,False
c227e33d-910e-4e39-a325-0fe1d1116436_f0012,c227e33d-910e-4e39-a325-0fe1d1116436,12,Train2_rest24,Train2,Bfull_lambda3,ZERO_START,50,0.18864966852870935,True,z = u/delta,334.4558026704114,5.236108698164826,22.441632596127576,2.478915044365694e-05,0.0024891996290534735,5161.604350805283,7.931310035288334,0.33529412746429443,6080,5272,5318.4,0.0025648148148148145,False,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_3_code_optimization_diagnosis/results_v1/optimizations/Bfull_lambda3/c227e33d-910e-4e39-a325-0fe1d1116436_f0012/step_050.orc,0.0011051600572640934,29.56574819759208,0.9073691279941135,0.14785534143447876,0.001253015398698572,0.00173686686335091,0.024892782655285828,0.006205572336603793,-0.029776155948638916,-0.6287393791728633,-0.005260051469074378,0.013281211256980896,-0.5578473116057836,-0.0042555173123095535,0.011867135763168335,False,True
c227e33d-910e-4e39-a325-0fe1d1116436_f0012,c227e33d-910e-4e39-a325-0fe1d1116436,12,Train2_rest24,Train2,Bfull_lambda3,ZERO_START,100,0.18864966852870935,True,z = u/delta,199.14369263161004,3.1177154435577226,18.016993935034673,1.5169521214766644e-05,0.001464780536480248,3037.368920445442,19.73612830042839,0.11887255311012268,3952,3144,3190.4,0.0015385802469135802,False,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_3_code_optimization_diagnosis/results_v1/optimizations/Bfull_lambda3/c227e33d-910e-4e39-a325-0fe1d1116436_f0012/step_100.orc,0.0010069431929375274,29.969950296347267,0.9080444647711716,0.14874063432216644,0.001155683827259694,0.0014459364808447606,0.42909488141047447,0.006880909113661904,-0.028890863060951233,-0.22453728041767462,-0.004584714692016267,0.014166504144668579,-0.15364521285059496,-0.0035801805352514426,0.012752428650856018,False,True
c227e33d-910e-4e39-a325-0fe1d1116436_f0012,c227e33d-910e-4e39-a325-0fe1d1116436,12,Train2_rest24,Train2,Bfull_lambda3,ZERO_START,150,0.18864966852870935,True,z = u/delta,191.39680927383344,2.9964332800866478,18.316758691140702,1.6538899389595266e-05,0.0014596279943361878,3026.684609055519,31.609164275228977,0.1098039299249649,3944,3136,3182.4,0.0015347222222222223,False,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_3_code_optimization_diagnosis/results_v1/optimizations/Bfull_lambda3/c227e33d-910e-4e39-a325-0fe1d1116436_f0012/step_150.orc,0.0009989808027437853,30.00442857462255,0.9078650396708133,0.1534157544374466,0.001152396557181232,0.0014419213956870984,0.4635731596857582,0.006701484013303616,-0.02421574294567108,-0.1900590021423909,-0.004764139792374555,0.01884162425994873,-0.11916693457531125,-0.0037596056356097307,0.01742754876613617,False,True
