dataset,video,video_id,frame,candidate,current_pipeline_conversion,PSNR,MAE,R_MAE,G_MAE,B_MAE,max_abs_diff
uvg,Bosphorus,1,1,BT.709_full,"none; Y,Cb,Cr saved as R,G,B",29.879833678414926,7.292489872685185,6.436901523919753,6.8593812692901235,8.581186824845679,35.0
uvg,Bosphorus,1,8,BT.601_limited,"none; Y,Cb,Cr saved as R,G,B",46.630883457669405,1.028827160493827,0.9273476080246914,1.4430155285493826,0.7161183449074074,3.0
uvg,Bosphorus,1,8,BT.601_full,"none; Y,Cb,Cr saved as R,G,B",29.822652890789414,7.1593587641460905,5.445736400462963,6.51284481095679,9.519495081018519,20.0
uvg,Bosphorus,1,8,BT.709_limited,"none; Y,Cb,Cr saved as R,G,B",43.728169496349814,1.362345518261317,1.136175250771605,1.149657600308642,1.8012037037037036,18.0
uvg,Bosphorus,1,8,BT.709_full,"none; Y,Cb,Cr saved as R,G,B",29.858876962680586,7.317384741512345,6.459527874228395,6.884410204475309,8.608216145833333,34.0
uvg,Bosphorus,1,16,BT.601_limited,"none; Y,Cb,Cr saved as R,G,B",46.6273223691547,1.0289265046296296,0.9271402391975309,1.4433752893518519,0.7162639853395062,3.0
uvg,Bosphorus,1,16,BT.601_full,"none; Y,Cb,Cr saved as R,G,B",29.796093827938343,7.1891216563786005,5.47122299382716,6.546757330246914,9.549384645061728,20.0
uvg,Bosphorus,1,16,BT.709_limited,"none; Y,Cb,Cr saved as R,G,B",43.719673251999815,1.3635765496399177,1.1421465084876543,1.1447800925925926,1.8038030478395062,18.0
uvg,Bosphorus,1,16,BT.709_full,"none; Y,Cb,Cr saved as R,G,B",29.82765991345869,7.351443544238683,6.491405285493827,6.92311149691358,8.639813850308641,33.0
uvg,HoneyBee,2,0,BT.601_limited,"none; Y,Cb,Cr saved as R,G,B",46.03303022423508,1.1501252250514404,0.9686911651234568,1.4406819058641975,1.0410026041666667,3.0
uvg,HoneyBee,2,0,BT.601_full,"none; Y,Cb,Cr saved as R,G,B",30.38404804795929,6.851521508487655,6.260345775462963,7.039410204475309,7.254808545524692,18.0
uvg,HoneyBee,2,0,BT.709_limited,"none; Y,Cb,Cr saved as R,G,B",35.14896874759887,3.27782327031893,1.593389274691358,5.852787905092592,2.3872926311728393,17.0
uvg,HoneyBee,2,0,BT.709_full,"none; Y,Cb,Cr saved as R,G,B",29.436858434878843,7.360865322788066,6.223115837191358,9.3965340470679,6.462946084104939,25.0
uvg,HoneyBee,2,1,BT.601_limited,"none; Y,Cb,Cr saved as R,G,B",46.03046495493919,1.150415541409465,0.9685310570987654,1.4416695601851852,1.0410460069444445,3.0
uvg,HoneyBee,2,1,BT.601_full,"none; Y,Cb,Cr saved as R,G,B",30.385270972681884,6.850477269804527,6.2590509259259255,7.039639756944444,7.25274112654321,18.0
uvg,HoneyBee,2,1,BT.709_limited,"none; Y,Cb,Cr saved as R,G,B",35.15050387278444,3.2773324974279836,1.592586323302469,5.852586323302469,2.3868248456790124,17.0
uvg,HoneyBee,2,1,BT.709_full,"none; Y,Cb,Cr saved as R,G,B",29.437766252707263,7.360495273919753,6.223283179012346,9.39643180941358,6.4617708333333335,26.0
uvg,HoneyBee,2,8,BT.601_limited,"none; Y,Cb,Cr saved as R,G,B",46.02897763783336,1.150627411265432,0.9692563657407407,1.4417452739197532,1.0408805941358024,3.0
uvg,HoneyBee,2,8,BT.601_full,"none; Y,Cb,Cr saved as R,G,B",30.387680572931835,6.8493349729938275,6.259914158950617,7.0388676697530865,7.249223090277778,19.0
uvg,HoneyBee,2,8,BT.709_limited,"none; Y,Cb,Cr saved as R,G,B",35.15216682560761,3.2764035172325103,1.5916039737654322,5.851140528549383,2.386466049382716,16.0
uvg,HoneyBee,2,8,BT.709_full,"none; Y,Cb,Cr saved as R,G,B",29.43941111128889,7.359555844907407,6.222958140432099,9.396114004629629,6.459595389660493,26.0
uvg,HoneyBee,2,16,BT.601_limited,"none; Y,Cb,Cr saved as R,G,B",46.03544532122492,1.1497085583847737,0.9676548032407407,1.4408246527777777,1.0406462191358026,3.0
uvg,HoneyBee,2,16,BT.601_full,"none; Y,Cb,Cr saved as R,G,B",30.38599383912098,6.850381462191358,6.259455054012346,7.0421383101851855,7.249551022376544,19.0
uvg,HoneyBee,2,16,BT.709_limited,"none; Y,Cb,Cr saved as R,G,B",35.14695759656088,3.2791661844135804,1.594353298611111,5.855675636574074,2.3874696180555555,16.0
uvg,HoneyBee,2,16,BT.709_full,"none; Y,Cb,Cr saved as R,G,B",29.436615657933444,7.361055330504115,6.222692901234568,9.400688657407407,6.459784432870371,26.0
