candidate,lambda,format,video,total_bpp,within_original_qp0_qp3_overlap,interpolation,psnr_original_interpolated,psnr_minus_original_interpolated,ms_ssim_original_interpolated,ms_ssim_minus_original_interpolated,lpips_original_interpolated,lpips_minus_original_interpolated
historical_lambda1,0.011790604283044334,old,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.005287905092592592,True,"piecewise linear metric vs log(total bpp), per video, no extrapolation",16.959536323695875,1.4325502623971076,0.8234371261461542,-0.03489884604147708,0.19011631043327293,0.17247732548343697
historical_lambda1,0.011790604283044334,new,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.005287905092592592,True,"piecewise linear metric vs log(total bpp), per video, no extrapolation",16.959536323695875,1.4325502623971076,0.8234371261461542,-0.03489884604147708,0.19011631043327293,0.17247732548343697
historical_lambda1,0.011790604283044334,old,c227e33d-910e-4e39-a325-0fe1d1116436,0.005783902391975309,False,"piecewise linear metric vs log(total bpp), per video, no extrapolation",,,,,,
historical_lambda1,0.011790604283044334,new,c227e33d-910e-4e39-a325-0fe1d1116436,0.005783902391975309,False,"piecewise linear metric vs log(total bpp), per video, no extrapolation",,,,,,
historical_lambda3,0.18864966852870935,old,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.004864486882716049,True,"piecewise linear metric vs log(total bpp), per video, no extrapolation",16.8683511168219,1.499503563078008,0.8170192072280491,-0.02984719991887852,0.19489738522174632,0.1702070274382564
historical_lambda3,0.18864966852870935,new,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.004864486882716049,True,"piecewise linear metric vs log(total bpp), per video, no extrapolation",16.8683511168219,1.499503563078008,0.8170192072280491,-0.02984719991887852,0.19489738522174632,0.1702070274382564
historical_lambda3,0.18864966852870935,old,c227e33d-910e-4e39-a325-0fe1d1116436,0.00318287037037037,True,"piecewise linear metric vs log(total bpp), per video, no extrapolation",27.63106028089546,1.7425065122768046,0.8912047776443492,0.005133923606885249,0.1506397638034365,0.02815642789636638
historical_lambda3,0.18864966852870935,new,c227e33d-910e-4e39-a325-0fe1d1116436,0.00318287037037037,True,"piecewise linear metric vs log(total bpp), per video, no extrapolation",27.63106028089546,1.7425065122768046,0.8912047776443492,0.005133923606885249,0.1506397638034365,0.02815642789636638
historical_lambda5,3.0183946964593495,old,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.002826485339506173,True,"piecewise linear metric vs log(total bpp), per video, no extrapolation",16.078558351573346,2.0702679365199863,0.7660904436775,0.0121961106000682,0.23001842867153446,0.1419369176445647
historical_lambda5,3.0183946964593495,new,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.002826485339506173,True,"piecewise linear metric vs log(total bpp), per video, no extrapolation",16.078558351573346,2.0702679365199863,0.7660904436775,0.0121961106000682,0.23001842867153446,0.1419369176445647
historical_lambda5,3.0183946964593495,old,c227e33d-910e-4e39-a325-0fe1d1116436,0.00318287037037037,True,"piecewise linear metric vs log(total bpp), per video, no extrapolation",27.63106028089546,1.7425065122768046,0.8912047776443492,0.005133923606885249,0.1506397638034365,0.02815642789636638
historical_lambda5,3.0183946964593495,new,c227e33d-910e-4e39-a325-0fe1d1116436,0.00318287037037037,True,"piecewise linear metric vs log(total bpp), per video, no extrapolation",27.63106028089546,1.7425065122768046,0.8912047776443492,0.005133923606885249,0.1506397638034365,0.02815642789636638
encoder_l3,,old,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.008314766589506173,False,"piecewise linear metric vs log(total bpp), per video, no extrapolation",,,,,,
encoder_l3,,new,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.008314766589506173,False,"piecewise linear metric vs log(total bpp), per video, no extrapolation",,,,,,
encoder_l3,,old,c227e33d-910e-4e39-a325-0fe1d1116436,0.005343605324074074,True,"piecewise linear metric vs log(total bpp), per video, no extrapolation",29.10757538942141,0.8435654312435226,0.9282970000639085,-0.02165376930006191,0.10767457514797617,0.03225630548055004
encoder_l3,,new,c227e33d-910e-4e39-a325-0fe1d1116436,0.005343605324074074,True,"piecewise linear metric vs log(total bpp), per video, no extrapolation",29.10757538942141,0.8435654312435226,0.9282970000639085,-0.02165376930006191,0.10767457514797617,0.03225630548055004
midpoint_lambda2,0.04716241713217734,old,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.005193142361111111,True,"piecewise linear metric vs log(total bpp), per video, no extrapolation",16.939779553188284,1.4485203737990062,0.8220465787586095,-0.03395821431375334,0.19115220869587204,0.1727652165789769
midpoint_lambda2,0.04716241713217734,new,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.005193142361111111,True,"piecewise linear metric vs log(total bpp), per video, no extrapolation",16.939779553188284,1.4485203737990062,0.8220465787586095,-0.03395821431375334,0.19115220869587204,0.1727652165789769
midpoint_lambda2,0.04716241713217734,old,c227e33d-910e-4e39-a325-0fe1d1116436,0.005184461805555556,True,"piecewise linear metric vs log(total bpp), per video, no extrapolation",29.03736568582154,0.9558067127033496,0.9266712386098207,-0.021173839320655974,0.10971580538016686,0.03533266485619417
midpoint_lambda2,0.04716241713217734,new,c227e33d-910e-4e39-a325-0fe1d1116436,0.005184461805555556,True,"piecewise linear metric vs log(total bpp), per video, no extrapolation",29.03736568582154,0.9558067127033496,0.9266712386098207,-0.021173839320655974,0.10971580538016686,0.03533266485619417
midpoint_lambda4,0.7545986741148374,old,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.002826485339506173,True,"piecewise linear metric vs log(total bpp), per video, no extrapolation",16.078558351573346,2.0702679365199863,0.7660904436775,0.0121961106000682,0.23001842867153446,0.1419369176445647
midpoint_lambda4,0.7545986741148374,new,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.002826485339506173,True,"piecewise linear metric vs log(total bpp), per video, no extrapolation",16.078558351573346,2.0702679365199863,0.7660904436775,0.0121961106000682,0.23001842867153446,0.1419369176445647
midpoint_lambda4,0.7545986741148374,old,c227e33d-910e-4e39-a325-0fe1d1116436,0.00318287037037037,True,"piecewise linear metric vs log(total bpp), per video, no extrapolation",27.63106028089546,1.7425065122768046,0.8912047776443492,0.005133923606885249,0.1506397638034365,0.02815642789636638
midpoint_lambda4,0.7545986741148374,new,c227e33d-910e-4e39-a325-0fe1d1116436,0.00318287037037037,True,"piecewise linear metric vs log(total bpp), per video, no extrapolation",27.63106028089546,1.7425065122768046,0.8912047776443492,0.005133923606885249,0.1506397638034365,0.02815642789636638
adaptive_lambda1,0.09432483426435467,old,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.005088011188271605,True,"piecewise linear metric vs log(total bpp), per video, no extrapolation",16.91743477543721,1.4649030255187725,0.8204738787915233,-0.03272569980558204,0.19232380283073364,0.1722600526641232
adaptive_lambda1,0.09432483426435467,new,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.005088011188271605,True,"piecewise linear metric vs log(total bpp), per video, no extrapolation",16.91743477543721,1.4649030255187725,0.8204738787915233,-0.03272569980558204,0.19232380283073364,0.1722600526641232
adaptive_lambda1,0.09432483426435467,old,c227e33d-910e-4e39-a325-0fe1d1116436,0.003987509645061728,True,"piecewise linear metric vs log(total bpp), per video, no extrapolation",28.329390380368242,1.3318311841967976,0.9097765135776521,-0.009205733075523082,0.1278065677890714,0.03601422140652577
adaptive_lambda1,0.09432483426435467,new,c227e33d-910e-4e39-a325-0fe1d1116436,0.003987509645061728,True,"piecewise linear metric vs log(total bpp), per video, no extrapolation",28.329390380368242,1.3318311841967976,0.9097765135776521,-0.009205733075523082,0.1278065677890714,0.03601422140652577
adaptive_lambda2,0.06669772994262241,old,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.005146846064814815,True,"piecewise linear metric vs log(total bpp), per video, no extrapolation",16.92999591607228,1.454312568907305,0.821357973754714,-0.03346699414336707,0.1916651899387566,0.17264484368064723
adaptive_lambda2,0.06669772994262241,new,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.005146846064814815,True,"piecewise linear metric vs log(total bpp), per video, no extrapolation",16.92999591607228,1.454312568907305,0.821357973754714,-0.03346699414336707,0.1916651899387566,0.17264484368064723
adaptive_lambda2,0.06669772994262241,old,c227e33d-910e-4e39-a325-0fe1d1116436,0.00502025462962963,True,"piecewise linear metric vs log(total bpp), per video, no extrapolation",28.96262580056532,1.0079282439985633,0.9249405772011784,-0.019839869919067055,0.11188874310121073,0.03496776418521867
adaptive_lambda2,0.06669772994262241,new,c227e33d-910e-4e39-a325-0fe1d1116436,0.00502025462962963,True,"piecewise linear metric vs log(total bpp), per video, no extrapolation",28.96262580056532,1.0079282439985633,0.9249405772011784,-0.019839869919067055,0.11188874310121073,0.03496776418521867
