candidate,video,integer_roundtrip_exact,independent_receiver_rgb_exact,source_access_guard,base_state_unchanged,zero_input_exact_frames,old_base_decode_seconds,new_base_decode_seconds,old_parse_seconds,new_parse_seconds,old_synthesis_seconds,new_synthesis_seconds
midpoint_lambda2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,True,True,True,True,0,3.155446782708168,3.2820525839924812,0.10138064622879028,0.09661927074193954,1.520855963230133,1.5389249175786972
midpoint_lambda2,c227e33d-910e-4e39-a325-0fe1d1116436,True,True,True,True,0,3.279605910181999,3.1626139134168625,0.08957339823246002,0.09235488623380661,1.545059360563755,1.51011623442173
midpoint_lambda4,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,True,True,True,True,15,3.2835642844438553,3.191814847290516,0.001847580075263977,0.0018199756741523743,2.7512094154953957,2.7431916296482086
midpoint_lambda4,c227e33d-910e-4e39-a325-0fe1d1116436,True,True,True,True,15,3.040839083492756,3.2091407626867294,0.0018368661403656006,0.001957736909389496,2.7532228976488113,2.753420241177082
adaptive_lambda1,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,True,True,True,True,0,3.0838805362582207,3.1424074545502663,0.11919162422418594,0.09935837239027023,1.525030940771103,1.5233418866991997
adaptive_lambda1,c227e33d-910e-4e39-a325-0fe1d1116436,True,True,True,True,8,3.161476381123066,3.338940292596817,0.042229026556015015,0.042280420660972595,2.1822066232562065,2.210139326751232
adaptive_lambda2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,True,True,True,True,0,3.052742876112461,3.1841024681925774,0.09282244741916656,0.14586638659238815,1.5135374069213867,1.5718430876731873
adaptive_lambda2,c227e33d-910e-4e39-a325-0fe1d1116436,True,True,True,True,0,3.17624431848526,3.098339021205902,0.08813800662755966,0.08823889493942261,1.5176782011985779,1.5201142132282257
