candidate,video,integers_exact,rgb_exact,source_access_guard,base_state_unchanged,old_base_decode_seconds,new_base_decode_seconds,old_parse_seconds,new_parse_seconds,old_synthesis_seconds,new_synthesis_seconds
ENCODER_l3,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,True,True,True,True,3.1951196119189262,3.268599160015583,0.14936719834804535,0.19060373306274414,1.5179088115692139,1.5457008630037308
ENCODER_l3,c227e33d-910e-4e39-a325-0fe1d1116436,True,True,True,True,3.17912969738245,3.4753019362688065,0.09422914683818817,0.09574748575687408,1.5309798642992973,1.5575197711586952
OPT_lambda1,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,True,True,True,True,3.428679659962654,3.3943919241428375,0.10446053743362427,0.10084791481494904,1.5456190779805183,1.56936427205801
OPT_lambda1,c227e33d-910e-4e39-a325-0fe1d1116436,True,True,True,True,3.2377450838685036,3.536414846777916,0.10279905050992966,0.12610552459955215,1.5494286194443703,1.599162518978119
OPT_lambda3,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,True,True,True,True,3.289069540798664,3.3638539388775826,0.09662684053182602,0.09628838300704956,1.5269874408841133,1.5620864555239677
OPT_lambda3,c227e33d-910e-4e39-a325-0fe1d1116436,True,True,True,True,3.2834427729249,3.1348306015133858,0.0036984235048294067,0.0018487051129341125,2.7759164050221443,2.776359513401985
OPT_lambda5,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,True,True,True,True,3.110029511153698,3.089288167655468,0.0017753392457962036,0.002504400908946991,2.7942415922880173,2.7759319841861725
OPT_lambda5,c227e33d-910e-4e39-a325-0fe1d1116436,True,True,True,True,3.228117786347866,3.48000355809927,0.002474546432495117,0.0018521398305892944,2.7943756952881813,2.822606772184372
