dataset,video,video_id,qp,frame,trajectory_id,parent_trajectory_id,cumulative_bytes,baseline_cumulative_bytes,rate_gap_bytes,rate_gap_percent_of_final_baseline,cumulative_RGB_MSE,average_RGB_MSE,num_single_edits,num_pair_edits,num_no_edit_frames,beam_rank,pareto_dominated,is_baseline_path
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,1,fresh_ulong_00_qp1_BASELINE,,10901,10901,0,0.0,0.015937924850732088,0.007968962425366044,0,0,2,0,False,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,1,fresh_ulong_00_qp1_T38,fresh_ulong_00_qp1_ROOT,10900,10901,-1,-0.0017345151162992385,0.015936540439724922,0.007968270219862461,0,1,1,1,False,False
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,1,fresh_ulong_00_qp1_T35,fresh_ulong_00_qp1_ROOT,10902,10901,1,0.0017345151162992385,0.015936535317450762,0.007968267658725381,1,0,1,2,False,False
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,1,fresh_ulong_00_qp1_T36,fresh_ulong_00_qp1_ROOT,10899,10901,-2,-0.003469030232598477,0.015941584017127752,0.007970792008563876,1,0,1,3,False,False
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,2,fresh_ulong_00_qp1_BASELINE,,12157,12157,0,0.0,0.02188777271658182,0.007295924238860607,0,0,3,0,False,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,2,fresh_ulong_00_qp1_T74,fresh_ulong_00_qp1_T38,12156,12157,-1,-0.0017345151162992385,0.02188385184854269,0.007294617282847564,0,2,1,1,False,False
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,2,fresh_ulong_00_qp1_T75,fresh_ulong_00_qp1_T38,12154,12157,-3,-0.005203545348897716,0.021885935217142105,0.007295311739047368,0,2,1,2,False,False
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,2,fresh_ulong_00_qp1_T154,fresh_ulong_00_qp1_T36,12153,12157,-4,-0.006938060465196954,0.021887289360165596,0.007295763120055199,1,1,1,3,False,False
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,3,fresh_ulong_00_qp1_BASELINE,,13089,13089,0,0.0,0.02791308192536235,0.006978270481340587,0,0,4,0,False,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,3,fresh_ulong_00_qp1_T270,fresh_ulong_00_qp1_T154,13085,13089,-4,-0.006938060465196954,0.027900047600269318,0.006975011900067329,2,1,1,1,False,False
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,3,fresh_ulong_00_qp1_T272,fresh_ulong_00_qp1_T154,13083,13089,-6,-0.010407090697795432,0.027901140972971916,0.006975285243242979,1,2,1,2,False,False
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,3,fresh_ulong_00_qp1_T271,fresh_ulong_00_qp1_T154,13081,13089,-8,-0.013876120930393908,0.027905988041311502,0.006976497010327876,2,1,1,3,False,False
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,3,fresh_ulong_00_qp1_T191,fresh_ulong_00_qp1_T74,13080,13089,-9,-0.015610636046693147,0.02791202813386917,0.006978007033467293,0,3,1,4,False,False
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,4,fresh_ulong_00_qp1_BASELINE,,14511,14511,0,0.0,0.03373121563345194,0.006746243126690388,0,0,5,0,False,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,4,fresh_ulong_00_qp1_T414,fresh_ulong_00_qp1_T191,14499,14511,-12,-0.020814181395590863,0.03372269123792648,0.0067445382475852965,0,3,2,1,False,False
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,4,fresh_ulong_00_qp1_T415,fresh_ulong_00_qp1_T191,14498,14511,-13,-0.0225486965118901,0.03372321045026183,0.006744642090052366,1,3,1,2,False,False
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,5,fresh_ulong_00_qp1_BASELINE,,15916,15916,0,0.0,0.039329493418335915,0.0065549155697226524,0,0,6,0,False,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,5,fresh_ulong_00_qp1_T449,fresh_ulong_00_qp1_T414,15883,15916,-33,-0.05723899883787487,0.039287157356739044,0.006547859559456508,1,3,2,1,False,False
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,5,fresh_ulong_00_qp1_T448,fresh_ulong_00_qp1_T414,15881,15916,-35,-0.060708029070473346,0.03928719088435173,0.006547865147391955,0,3,3,2,False,False
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,5,fresh_ulong_00_qp1_T488,fresh_ulong_00_qp1_T415,15880,15916,-36,-0.062442544186772586,0.03929153876379132,0.0065485897939652205,2,3,1,3,False,False
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,5,fresh_ulong_00_qp1_T490,fresh_ulong_00_qp1_T415,15879,15916,-37,-0.06417705930307183,0.039291716646403074,0.006548619441067179,1,4,1,4,False,False
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,5,fresh_ulong_00_qp1_T491,fresh_ulong_00_qp1_T415,15878,15916,-38,-0.06591157441937107,0.03929200163111091,0.006548666938518484,2,3,1,5,False,False
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,5,fresh_ulong_00_qp1_T489,fresh_ulong_00_qp1_T415,15877,15916,-39,-0.0676460895356703,0.03929506102576852,0.006549176837628086,1,4,1,6,False,False
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,6,fresh_ulong_00_qp1_BASELINE,,17082,17082,0,0.0,0.044977786019444466,0.006425398002777781,0,0,7,0,False,True
