dataset,video,video_id,video_tag,method,qp,frame,actual_qp,payload_bytes,pixel_SSE,MSE,PSNR,SSIM,MS_SSIM,LPIPS,DISTS
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,original,0,0,0,4101,67969.796875,0.01092621497809887,19.61530258801889,0.9588194489479065,0.7824254035949707,0.24506929516792297,0.07140505313873291
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,original,0,1,2,4665,49632.2265625,0.00797843188047409,20.980824585964783,0.9694794416427612,0.8419265747070312,0.19613017141819,0.06616616249084473
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,original,0,2,0,1046,50210.5703125,0.00807140115648508,20.930510672966285,0.9681491851806641,0.8434889316558838,0.18846789002418518,0.06702232360839844
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,original,0,3,1,686,52671.8984375,0.008467061445116997,20.722672885597,0.9652416706085205,0.8401075601577759,0.19239845871925354,0.06964373588562012
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,original,0,4,0,1104,52342.62109375,0.008414129726588726,20.74990796442231,0.9623815417289734,0.8363704681396484,0.19706614315509796,0.06840121746063232
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,original,0,5,1,1077,51579.27734375,0.008291421458125114,20.813710088345054,0.9599331021308899,0.8340980410575867,0.1979268491268158,0.07062608003616333
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,original,0,6,0,1046,51475.3046875,0.008274707943201065,20.82247325757023,0.9563207030296326,0.8309167623519897,0.2012772411108017,0.07174038887023926
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,original,0,7,1,759,52665.1484375,0.00846597645431757,20.72322943725719,0.9517531394958496,0.8271024227142334,0.210147425532341,0.07689571380615234
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,original,0,8,0,593,54568.1328125,0.008771883323788643,20.569071535758823,0.9456584453582764,0.8173422813415527,0.2224504053592682,0.08121395111083984
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,original,0,9,2,1018,53630.15625,0.008621103130280972,20.64437159611307,0.9418960809707642,0.8162108659744263,0.22886072099208832,0.0845024585723877
