dataset,video,video_id,video_tag,method,qp,num_frames,fps,checkpoint,bytes,bits,bpp,kbps,total_pixel_SSE,aggregate_MSE,sequence_PSNR,mean_PSNR,SSIM,MS_SSIM,LPIPS,DISTS,bitstream_path,bitstream_sha256,state_sync_pass,model_hash_before,model_hash_after,independent_decode_pass,bytes_consumed,finite
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,beta_mid,2,64,30.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/checkpoints/beta_mid/step_0000.pt,76829,614632,0.004631377797067901,288.10875,1614713.5146484375,0.004055732167306751,23.919307326937993,24.173003372312415,0.9761974522843957,0.893662822432816,0.1305051976814866,0.07781535759568214,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_00/beta_mid_qp2.bin,8803aa44de557839d7f6f3261007e8c5e0919f7bf1a25e1f86abac81ae8c9e83,True,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,True,76829,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,beta_mid,3,64,30.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/checkpoints/beta_mid/step_0000.pt,96549,772392,0.005820131655092592,362.05875,1422782.962890625,0.003573653516455442,24.46887556806852,24.711729744258577,0.9791335090994835,0.9062660690397024,0.11635798751376569,0.07021369971334934,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_00/beta_mid_qp3.bin,fe8dd2743db63b635b729536ecd5c81795c802d91ab11c161be16d2344a08dcb,True,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,True,96549,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,beta_high,0,64,30.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/checkpoints/beta_high/step_2000.pt,47206,377648,0.002845654899691358,177.0225,2160136.58203125,0.005425690280066596,22.65545001119412,22.95344876473959,0.9676052462309599,0.859771003946662,0.1674851708812639,0.09510765876621008,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_00/beta_high_qp0.bin,e9b6d776eac64fc7563551921019e5d2940984c7a6cc1694b2be6fa4520ee4d9,True,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,True,47206,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,beta_high,1,64,30.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/checkpoints/beta_high/step_2000.pt,57584,460672,0.0034712577160493827,215.94,1898763.767578125,0.004769191079669529,23.21555277024374,23.494111582557032,0.9714976670220494,0.872296454384923,0.1544615285238251,0.09058835450559855,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_00/beta_high_qp1.bin,ee997b39a929381c71dd9679c86d9fbddc7dfce0e7e33235107f4dae6768a5b2,True,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,True,57584,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,beta_high,2,64,30.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/checkpoints/beta_high/step_2000.pt,76726,613808,0.004625168788580247,287.7225,1600798.5859375,0.004020781556274665,23.9568952089896,24.24075880955433,0.9761385638266802,0.893075224943459,0.13081539003178477,0.07868506666272879,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_00/beta_high_qp2.bin,d7f469f6b02b20731ff39be771f7ea1feab8033e89b01c9ab9f7fa152219ca56,True,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,True,76726,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,beta_high,3,64,30.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/checkpoints/beta_high/step_2000.pt,96493,771944,0.005816755883487654,361.84875,1406616.859375,0.0035330485512690287,24.518503944351377,24.803214100985773,0.9790819603949785,0.9058932913467288,0.11638645804487169,0.0710995476692915,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_00/beta_high_qp3.bin,32d3293ea13d8f394bbc39c168950c2c77a62e4f41ee527a80c48be2264799f8,True,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,True,96493,True
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,fresh_ulong_01,original,0,64,29.97002997002997,,41938,335504,0.002528091242283951,157.1103896103896,633371.3994140625,0.001590861001132447,27.983677644629733,28.003034530314835,0.9740485977381468,0.898619906976819,0.15226008952595294,0.104271843098104,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_01/original_qp0.bin,7f739f71db1a1ee125aa4731ee337c022cbb99fe12dfaa13f5b963b99765e835,True,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,True,41938,True
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,fresh_ulong_01,original,1,64,29.97002997002997,,52078,416624,0.0031393470293209877,195.0974025974026,533011.6313476562,0.0013387838766408065,28.732895266160924,28.749918442329797,0.9780091196298599,0.9124371213838458,0.13170657213777304,0.09059106092900038,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_01/original_qp1.bin,932734fe8a30e69316f35209b55ab123a58e5f55a0a3e5567bbbc63a7173ad02,True,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,True,52078,True
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,fresh_ulong_01,original,2,64,29.97002997002997,,64056,512448,0.0038614004629629627,239.97002997002997,463097.66748046875,0.001163178538834607,29.343536193389646,29.356551225387456,0.9808490825816989,0.9224591692909598,0.11544713017065078,0.0836072014644742,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_01/original_qp2.bin,aecf25a645ae859999c9339f55b2b2dc923d6530be3a40c81f106d257f2b76da,True,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,True,64056,True
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,fresh_ulong_01,original,3,64,29.97002997002997,,78986,631888,0.004761405285493827,295.9015984015984,397163.10986328125,0.000997568414289765,30.01057310248065,30.020081517892393,0.983530942350626,0.9319492587819695,0.10236039548180997,0.07474138494580984,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_01/original_qp3.bin,699f95510983015cc3b7bbb1ea4601d1a9a953dcd901daad6ad324131fa05c0d,True,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,True,78986,True
