beta_label,beta,checkpoint,checkpoint_name,step,qp,bytes,bits,bpp,kbps,total_pixel_SSE,aggregate_MSE,sequence_PSNR,mean_PSNR,SSIM,MS_SSIM,LPIPS,DISTS,bitstream_path,bitstream_sha256,state_sync_pass,model_hash_before,model_hash_after,independent_decode_pass,bytes_consumed,finite
beta_low,0.7887782752368402,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/checkpoints/beta_low/step_5000.pt,step_5000.pt,5000,1,12534,100272,0.006044560185185185,376.02,358973.751953125,0.007213174992628058,21.418735316376246,21.555600429049917,0.9170823320746422,0.73377376049757,0.2765169069170952,0.15741446614265442,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/validation/beta_low_step_5000_qp1.bin,06f205a1479e3248ad48de1367e70e48a335d4fb48f041ead1dab2939c2b15d3,True,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,True,12534,True
beta_low,0.7887782752368402,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/checkpoints/beta_low/step_5000.pt,step_5000.pt,5000,3,21012,168096,0.010133101851851851,630.36,311480.6630859375,0.006258854630552692,22.035051353426887,22.21340381941518,0.9282628521323204,0.7910520136356354,0.23983390629291534,0.1480969861149788,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/validation/beta_low_step_5000_qp3.bin,a82fc5ff3b9d072e457af39afc6c919a0019abaf97a4efc790b464356a112de0,True,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,True,21012,True
beta_mid,2.629260917456134,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/checkpoints/beta_mid/final.pt,final.pt,5000,1,12429,99432,0.005993923611111111,372.87,349700.03125,0.0070268299746415255,21.53240554783304,21.67724900469024,0.9181443527340889,0.7312864661216736,0.27539461478590965,0.1640169769525528,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/validation/beta_mid_final_qp1.bin,07f81e7cbc091559cf9f70918cd8e69f3d30a38153643077f679d1793c4681f8,True,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,True,12429,True
beta_mid,2.629260917456134,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/checkpoints/beta_mid/final.pt,final.pt,5000,3,20743,165944,0.010003375771604938,622.29,295944.556640625,0.005946673993711118,22.257258695742305,22.451130369177626,0.930499404668808,0.7912786602973938,0.24179545044898987,0.14030195772647858,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/validation/beta_mid_final_qp3.bin,56409c6eb4736053e67f4bdd7f13ac48c13a6172f2e8e74ac4e0d7db17b55455,True,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,True,20743,True
beta_mid,2.629260917456134,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/checkpoints/beta_mid/step_0000.pt,step_0000.pt,0,1,12183,97464,0.005875289351851852,365.49,340472.87109375,0.006841420538631487,21.648537128946074,21.79148467469291,0.9212493896484375,0.7346656918525696,0.27775608003139496,0.15123480558395386,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/validation/beta_mid_step_0000_qp1.bin,73e2ddbbe1d975c2a8d4de12b6b525f190aa6dbe9792387f37eeb0f74ddfcd66,True,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,True,12183,True
beta_mid,2.629260917456134,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/checkpoints/beta_mid/step_0000.pt,step_0000.pt,0,3,20176,161408,0.009729938271604939,605.28,289370.3681640625,0.005814573048564141,22.354821690628,22.540847033705035,0.9329980462789536,0.793661579489708,0.2393733114004135,0.12848497182130814,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/validation/beta_mid_step_0000_qp3.bin,7f279930f89e078ae837e2ef1672e01b24120eaa770ab9362f69ee3ebd952c8d,True,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,True,20176,True
beta_mid,2.629260917456134,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/checkpoints/beta_mid/step_0500.pt,step_0500.pt,500,1,12283,98264,0.0059235146604938275,368.49,352695.384765625,0.007087018244551042,21.495364492057977,21.641018579882097,0.9183334410190582,0.731877826154232,0.27954449504613876,0.15174171328544617,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/validation/beta_mid_step_0500_qp1.bin,6ce3d41f833c99751316cff4f8e9bc124c55d30926545b6854935ab91197cedc,True,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,True,12283,True
beta_mid,2.629260917456134,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/checkpoints/beta_mid/step_0500.pt,step_0500.pt,500,3,20517,164136,0.009894386574074075,615.51,300999.8798828125,0.006048255045227553,22.183699036180364,22.37108217799532,0.9300755485892296,0.7901122197508812,0.24269353784620762,0.13166214525699615,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/validation/beta_mid_step_0500_qp3.bin,e10a93bfe065f23a08eb1892af2f7badf1957d71bdb394fca46dd97e17eb3d05,True,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,True,20517,True
beta_mid,2.629260917456134,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/checkpoints/beta_mid/step_1000.pt,step_1000.pt,1000,1,12454,99632,0.006005979938271605,373.62,353851.939453125,0.00711025791403688,21.481146455977317,21.621575022032864,0.918625682592392,0.7339066341519356,0.2768055945634842,0.15413156896829605,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/validation/beta_mid_step_1000_qp1.bin,67a9acdbdb293940e3f7ba39b9a9282c86d6075ef5bf25b041b0cc235acf212a,True,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,True,12454,True
beta_mid,2.629260917456134,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/checkpoints/beta_mid/step_1000.pt,step_1000.pt,1000,3,20791,166328,0.010026523919753087,623.73,300331.345703125,0.006034821600580412,22.19335563848103,22.372632293817336,0.9308380335569382,0.7926769331097603,0.2383191715925932,0.12906812131404877,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/validation/beta_mid_step_1000_qp3.bin,82d4fd682c55b6b00688c6986f1d89973b3bffec4f44a3dbdc6ba1c001fcc392,True,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,True,20791,True
