dataset,video,video_id,qp,frame,round,edit_type,symbol_family_1,symbol_index_1,old_value_1,new_value_1,symbol_family_2,symbol_index_2,old_value_2,new_value_2,frame_bytes_before,frame_bytes_after,delta_frame_bytes,cumulative_bytes_after,baseline_cumulative_bytes,budget_bank,RGB_MSE_before,RGB_MSE_after,PSNR_before,PSNR_after,LPIPS_before,LPIPS_after,DISTS_before,DISTS_after
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,1,0,pair,w1,24480,1,0,z,62858,0,-1,5792,5792,0,10901,10901,0,0.006142152938991785,0.006132064387202263,22.116793738692998,22.123932936643943,0.17551560699939728,0.17552322149276733,0.0611228346824646,0.06117326021194458
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,1,1,single,w0,24497,0,-1,,,,,5792,5792,0,10901,10901,0,0.006132064387202263,0.006130673922598362,22.123932936643943,22.124917824508444,0.17552322149276733,0.17552711069583893,0.06117326021194458,0.06119430065155029
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,1,2,pair,w1,29066,-1,0,w0,224907,0,1,5792,5792,0,10901,10901,0,0.006130673922598362,0.00612915912643075,22.124917824508444,22.12599103263048,0.17552711069583893,0.17554819583892822,0.06119430065155029,0.06119990348815918
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,1,3,single,w0,392679,-1,0,,,,,5792,5792,0,10901,10901,0,0.00612915912643075,0.00612738449126482,22.12599103263048,22.127248669839435,0.17554819583892822,0.17560654878616333,0.06119990348815918,0.06120783090591431
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,3,0,single,z,17349,1,2,,,,,927,928,1,13089,13089,0,0.006023137364536524,0.00601468188688159,22.20177232134094,22.207873373059066,0.1712120920419693,0.17118805646896362,0.05747783184051514,0.05744749307632446
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,3,1,single,w0,173789,0,1,,,,,928,928,0,13089,13089,0,0.00601468188688159,0.006014185957610607,22.207873373059066,22.208231477161142,0.17118805646896362,0.17123395204544067,0.05744749307632446,0.05744880437850952
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,1,0,pair,w0,43229,1,0,z,62857,0,-1,7146,7146,0,15131,15131,0,0.005262201651930809,0.005250505171716213,22.78832513406759,22.79798909406599,0.14591661095619202,0.14604006707668304,0.050594449043273926,0.05062723159790039
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,1,1,single,w1,494777,0,1,,,,,7146,7146,0,15131,15131,0,0.005250505171716213,0.005249560344964266,22.79798909406599,22.798770675943132,0.14604006707668304,0.1460767239332199,0.05062723159790039,0.05063498020172119
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,1,2,single,w0,24515,1,0,,,,,7146,7146,0,15131,15131,0,0.005249560344964266,0.00524899223819375,22.798770675943132,22.799240694326816,0.1460767239332199,0.14606399834156036,0.05063498020172119,0.05065971612930298
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,1,3,pair,w1,24552,1,0,w0,24491,-1,-2,7146,7146,0,15131,15131,0,0.00524899223819375,0.0052476003766059875,22.799240694326816,22.800392454393847,0.14606399834156036,0.14607568085193634,0.05065971612930298,0.05065363645553589
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,1,0,single,w1,24490,0,-1,,,,,5748,5748,0,10834,10834,0,0.0011714575812220573,0.0011702508199959993,29.312734326963167,29.31721045889806,0.13120678067207336,0.13121140003204346,0.07020002603530884,0.07017552852630615
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,1,1,pair,w1,24550,1,0,w1,24592,0,-1,5748,5748,0,10834,10834,0,0.0011702508199959993,0.0011701909825205803,29.31721045889806,29.317432528811217,0.13121140003204346,0.13121654093265533,0.07017552852630615,0.07016897201538086
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,1,2,single,w0,24531,0,-1,,,,,5748,5748,0,10834,10834,0,0.0011701909825205803,0.0011696448782458901,29.317432528811217,29.31945976568988,0.13121654093265533,0.13120649755001068,0.07016897201538086,0.0701833963394165
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,2,0,pair,w1,24490,1,0,w1,24592,0,-1,1508,1508,0,12346,12347,1,0.0012320803944021463,0.0012296944623813033,29.093609531244425,29.10202782695037,0.12828627228736877,0.12832622230052948,0.06764447689056396,0.0676947832107544
