dataset,video,video_id,qp,frame,frame_type,actual_qp,actual_bytes,MSE,PSNR,SSIM,LPIPS,DISTS
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,0,I,1,5095,0.009795771911740303,20.089613356977736,0.9629908800125122,0.22526639699935913,0.06786137819290161
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,1,P,3,5792,0.00612738449126482,22.127248669839435,0.9748445749282837,0.17560654878616333,0.06120783090591431
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,2,P,1,1252,0.005944831762462854,22.258604313174306,0.974625825881958,0.16916367411613464,0.05732971429824829
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,3,P,2,928,0.006014185957610607,22.208231477161142,0.9731351733207703,0.17123395204544067,0.05744880437850952
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,0,I,3,7971,0.007518589496612549,21.238636263357993,0.9715078473091125,0.17397786676883698,0.055849432945251465
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,1,P,5,7146,0.0052476003766059875,22.800392454393847,0.9784035086631775,0.14607568085193634,0.05065363645553589
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,0,I,1,5072,0.0015977397561073303,27.964939582452626,0.9731715321540833,0.1798853576183319,0.08330947160720825
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,1,P,3,5748,0.0011696448782458901,29.31945976568988,0.9804883599281311,0.13120649755001068,0.0701833963394165
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,2,P,1,1509,0.0012283208779990673,29.106881663050814,0.979396641254425,0.12830397486686707,0.06765848398208618
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,0,I,3,7833,0.0010920932982116938,29.617402579978716,0.9816411137580872,0.12984858453273773,0.062172114849090576
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,P,5,7101,0.0009526765206828713,30.210545381134907,0.9841756820678711,0.10315592586994171,0.057557642459869385
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,0,I,1,3259,0.0010389668168500066,29.83398322980907,0.9722991585731506,0.07660476118326187,0.07413256168365479
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,1,P,3,1713,0.0015878543490543962,27.991893371123368,0.9710007309913635,0.07475720345973969,0.07804697751998901
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,2,P,1,886,0.001475107274018228,28.311763954010033,0.9750909805297852,0.06964503228664398,0.07391554117202759
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,3,P,2,781,0.001327297417446971,28.77031750622166,0.9788994789123535,0.06289513409137726,0.06651711463928223
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,4,P,1,673,0.0013315249234437943,28.756507000378026,0.9786308407783508,0.0639818012714386,0.06845611333847046
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,5,P,2,724,0.0013374645495787263,28.7371772042926,0.980201780796051,0.06114303320646286,0.06013697385787964
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,0,I,3,4887,0.0007229101029224694,31.409157057927732,0.9807173013687134,0.05474057048559189,0.055563509464263916
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,1,P,5,2090,0.0013406489742919803,28.726849197503853,0.9768548607826233,0.061563827097415924,0.06167793273925781
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,2,P,3,1197,0.0014013992622494698,28.534381154717202,0.9783425331115723,0.058503229171037674,0.057204484939575195
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,3,P,4,1320,0.0012365113943815231,29.078018772855224,0.9815165996551514,0.05394689738750458,0.052540600299835205
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,4,P,3,916,0.0012715603224933147,28.95663032181497,0.9814870357513428,0.05466120317578316,0.05457925796508789
uvg,Beauty,0,1,0,I,1,3019,0.001436280319467187,28.4276079037446,0.9736337065696716,0.16387248039245605,0.1347396969795227
uvg,Beauty,0,1,1,P,3,1372,0.0026547375600785017,25.75978405596914,0.9589807391166687,0.16341270506381989,0.1330946683883667
uvg,Beauty,0,1,2,P,1,454,0.002490550745278597,26.03704605037818,0.9645586013793945,0.15802307426929474,0.14092481136322021
uvg,Beauty,0,3,0,I,3,4622,0.0011271408293396235,29.480218181295296,0.97940993309021,0.11917467415332794,0.12276226282119751
uvg,Beauty,0,3,1,P,5,1473,0.0017513144994154572,27.566358567172248,0.9738982319831848,0.1382831633090973,0.12631547451019287
uvg,Beauty,0,3,2,P,3,685,0.0018070591613650322,27.43027628826018,0.9748796820640564,0.13589362800121307,0.13163834810256958
uvg,Beauty,0,3,3,P,4,702,0.0015262577217072248,28.163721258406035,0.9792202115058899,0.1264750361442566,0.12509685754776
uvg,Beauty,0,3,4,P,3,534,0.0016743314918130636,27.761585542203946,0.9779129028320312,0.13303862512111664,0.13219928741455078
