video,frame,delta,packet_bytes,header_bits,estimated_float_bits,ideal_quantized_cdf_bits,symbol_coding_bits,deferred_symbol_bits_at_flush,termination_decision_bits,lookahead_bits,alignment_bits,arithmetic_payload_bits,replay_matches_file
46da3cc3-6beb-425c-a870-c8d7bae89311,3,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
46da3cc3-6beb-425c-a870-c8d7bae89311,4,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
46da3cc3-6beb-425c-a870-c8d7bae89311,5,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
46da3cc3-6beb-425c-a870-c8d7bae89311,6,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
46da3cc3-6beb-425c-a870-c8d7bae89311,7,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
46da3cc3-6beb-425c-a870-c8d7bae89311,8,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
46da3cc3-6beb-425c-a870-c8d7bae89311,9,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
46da3cc3-6beb-425c-a870-c8d7bae89311,10,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
46da3cc3-6beb-425c-a870-c8d7bae89311,11,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
46da3cc3-6beb-425c-a870-c8d7bae89311,12,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
46da3cc3-6beb-425c-a870-c8d7bae89311,13,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
46da3cc3-6beb-425c-a870-c8d7bae89311,14,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
46da3cc3-6beb-425c-a870-c8d7bae89311,15,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
2996c286-14c5-4157-95ba-f2a73fae0187,1,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
2996c286-14c5-4157-95ba-f2a73fae0187,2,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
2996c286-14c5-4157-95ba-f2a73fae0187,3,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
2996c286-14c5-4157-95ba-f2a73fae0187,4,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
2996c286-14c5-4157-95ba-f2a73fae0187,5,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
2996c286-14c5-4157-95ba-f2a73fae0187,6,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
2996c286-14c5-4157-95ba-f2a73fae0187,7,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
2996c286-14c5-4157-95ba-f2a73fae0187,8,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
2996c286-14c5-4157-95ba-f2a73fae0187,9,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
2996c286-14c5-4157-95ba-f2a73fae0187,10,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
2996c286-14c5-4157-95ba-f2a73fae0187,11,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
2996c286-14c5-4157-95ba-f2a73fae0187,12,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
2996c286-14c5-4157-95ba-f2a73fae0187,13,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
2996c286-14c5-4157-95ba-f2a73fae0187,14,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
2996c286-14c5-4157-95ba-f2a73fae0187,15,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
