sample,video,frame,qp,initialization,objective,step,lambda_p,checkpoint,zero_start_delta,mse,psnr,ms_ssim,lpips,delta_latent_mean,delta_latent_std,delta_latent_l2,delta_latent_rms,delta_latent_max_abs,ell_start_l2,relative_delta_l2,objective_value,transmittable,single_frame_diagnostic,kind,nondominated_psnr_lpips,dominated_by_count,mode
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,2,ZERO_START,MSE_ONLY,25,0.0,run_v1/stage_c/checkpoint.pt,2.0,0.013382558503469985,18.73460849369627,0.8004305568189422,0.36371663212776184,-0.001280360675266941,0.020205718990250567,7.759358223928157,0.020246244179396394,0.026812272146344185,153.30805039200612,0.05061285564644262,0.013382558710873127,False,True,ORACLE,False,9,
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,2,ZERO_START,MSE_ONLY,50,0.0,run_v1/stage_c/checkpoint.pt,2.0,0.012536230751113313,19.018330225212075,0.8180940089488816,0.3519921600818634,-0.0010252381576344183,0.036874589351815125,14.13762052956289,0.036888839140651566,0.058729108422994614,153.30805039200612,0.09221707857749956,0.012536231428384781,False,True,ORACLE,False,7,
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,2,ZERO_START,MSE_ONLY,100,0.0,run_v1/stage_c/checkpoint.pt,2.0,0.011115778139300096,19.54060129926266,0.8474416985065778,0.32632800936698914,0.0004459079739449486,0.06702187806162611,25.68665406955683,0.06702336139607373,0.13250070810317993,153.30805039200612,0.16754928396699642,0.011115778237581253,False,True,ORACLE,False,3,
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,2,ZERO_START,MSE_ONLY,150,0.0,run_v1/stage_c/checkpoint.pt,2.0,0.009957188819605807,20.018632572048304,0.8700977986194415,0.30263909697532654,0.002644261408326818,0.09383310943267352,35.97574670040977,0.09387036030717923,0.2084762454032898,153.30805039200612,0.23466312831205138,0.009957188740372658,False,True,ORACLE,False,1,
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,2,ZERO_START,MSE_LPIPS,0,0.001,run_v1/stage_c/checkpoint.pt,2.0,0.014440766016754236,18.40409768814457,0.78209286898127,0.37016910314559937,0.0,0.0,0.0,0.0,0.0,153.30805039200612,0.0,0.014810934662818909,False,True,ORACLE,False,13,
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,2,ZERO_START,MSE_LPIPS,25,0.001,run_v1/stage_c/checkpoint.pt,2.0,0.01338192900016452,18.73481278665119,0.8007924774090611,0.3549211323261261,-0.0008736607086088942,0.020344368808891414,7.804150505920829,0.020363119242050337,0.02680385112762451,153.30805039200612,0.05090502740049036,0.013736850582063198,False,True,ORACLE,False,8,
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,2,ZERO_START,MSE_LPIPS,50,0.001,run_v1/stage_c/checkpoint.pt,2.0,0.012533933008704177,19.019126308445895,0.8184482193159734,0.3361847996711731,-0.00017216198415560862,0.03725517884226665,14.2781724046853,0.037255576633814985,0.05906355008482933,153.30805039200612,0.09313387241032843,0.012870117090642452,False,True,ORACLE,False,6,
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,2,ZERO_START,MSE_LPIPS,100,0.001,run_v1/stage_c/checkpoint.pt,2.0,0.011106806462949212,19.54410795684911,0.8476938705369889,0.30001115798950195,0.0020960247878925526,0.06786420764045936,26.021310007593016,0.06789656838588266,0.1333303153514862,153.30805039200612,0.16973218262874626,0.011406817473471165,False,True,ORACLE,False,1,
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,2,ZERO_START,MSE_LPIPS,150,0.001,run_v1/stage_c/checkpoint.pt,2.0,0.00994525675896065,20.023840001151765,0.870163815891346,0.2697720527648926,0.00488310825255108,0.09495847886974461,36.44085387389048,0.09508394951547745,0.21475304663181305,153.30805039200612,0.2376969362059711,0.010215029120445251,False,True,ORACLE,True,0,
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,2,ORIGINAL_FP16,NONE,0,,,,0.023577686519407757,16.274988108247527,0.7762355469619671,0.23075933754444122,,,,,,,,,,,REFERENCE,False,9,ORIGINAL_FP16
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,2,REFERENCE_FP32,NONE,0,,,,0.023577595796089666,16.275004819264613,0.7762273742593582,0.23075713217258453,,,,,,,,,,,REFERENCE,False,6,REFERENCE_FP32
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,2,BASE_ONLY_C,NONE,0,,,,0.014343504881564844,18.433447144466722,0.7837662299861788,0.36778345704078674,,,,,,,,,,,REFERENCE,False,12,BASE_ONLY_C
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,2,ZERO_START_C_DELTA2,NONE,0,,,,0.014440766016754236,18.40409768814457,0.78209286898127,0.37016910314559937,,,,,,,,,,,REFERENCE,False,13,ZERO_START_C_DELTA2
