sample,initialization,objective,step,psnr,lpips,ms_ssim,relative_delta_l2,psnr_minus_BASE_ONLY_C,lpips_minus_BASE_ONLY_C,dominates_BASE_ONLY_C,psnr_minus_REFERENCE_FP32,lpips_minus_REFERENCE_FP32,dominates_REFERENCE_FP32,psnr_minus_ORIGINAL_FP16,lpips_minus_ORIGINAL_FP16,dominates_ORIGINAL_FP16
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,ORIGINAL_START,MSE_ONLY,0.0,16.275004819264613,0.23075713217258453,0.7762273742593582,0.0,-2.1584423252021097,-0.1370263248682022,False,0.0,0.0,False,1.67110170856688e-05,-2.205371856689453e-06,True
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,ORIGINAL_START,MSE_ONLY,25.0,17.136401971319653,0.22849641740322113,0.7915723065710116,0.05752409623033495,-1.297045173147069,-0.1392870396375656,False,0.8613971520550407,-0.0022607147693634033,True,0.8614138630721264,-0.0022629201412200928,True
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,ORIGINAL_START,MSE_ONLY,50.0,17.803012122349877,0.22955463826656342,0.8034019401607951,0.10560160985176327,-0.6304350221168455,-0.13822881877422333,False,1.5280073030852641,-0.0012024939060211182,True,1.5280240141023498,-0.0012046992778778076,True
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,ORIGINAL_START,MSE_ONLY,100.0,18.67006425596751,0.2344648391008377,0.8231957305362463,0.17603418721511427,0.236617111500788,-0.13331861793994904,True,2.3950594367028977,0.003707706928253174,False,2.3950761477199833,0.0037055015563964844,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,ORIGINAL_START,MSE_ONLY,150.0,19.220755775999653,0.2344711571931839,0.840389209555546,0.2256208572608987,0.7873086315329303,-0.13331229984760284,True,2.94575095673504,0.0037140250205993652,False,2.9457676677521256,0.0037118196487426758,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,ORIGINAL_START,MSE_LPIPS,0.0,16.275004819264613,0.23075713217258453,0.7762273742593582,0.0,-2.1584423252021097,-0.1370263248682022,False,0.0,0.0,False,1.67110170856688e-05,-2.205371856689453e-06,True
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,ORIGINAL_START,MSE_LPIPS,25.0,17.13606064039014,0.22563189268112183,0.791647548660933,0.057507136228726524,-1.2973865040765808,-0.14215156435966492,False,0.8610558211255288,-0.0051252394914627075,True,0.8610725321426145,-0.005127444863319397,True
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,ORIGINAL_START,MSE_LPIPS,50.0,17.802289100474514,0.22376815974712372,0.8036009306962009,0.10551451069914816,-0.6311580439922082,-0.14401529729366302,False,1.5272842812099015,-0.006988972425460815,True,1.5273009922269871,-0.006991177797317505,True
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,ORIGINAL_START,MSE_LPIPS,100.0,18.668884708007674,0.22293823957443237,0.8236248257387352,0.1757394799237483,0.2354375635409518,-0.14484521746635437,True,2.3938798887430615,-0.00781889259815216,True,2.393896599760147,-0.00782109797000885,True
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,ORIGINAL_START,MSE_LPIPS,150.0,19.220575361778096,0.21796998381614685,0.8409744226878638,0.22518126146055253,0.7871282173113734,-0.1498134732246399,True,2.945570542513483,-0.012787148356437683,True,2.9455872535305687,-0.012789353728294373,True
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,ZERO_START,MSE_ONLY,0.0,18.40409768814457,0.37016910314559937,0.78209286898127,0.0,-0.029349456322151468,0.002385646104812622,False,2.129092868879958,0.13941197097301483,False,2.129109579897044,0.13940976560115814,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,ZERO_START,MSE_ONLY,25.0,18.73460849369627,0.36371663212776184,0.8004305568189422,0.05061285564644262,0.30116134922954885,-0.004066824913024902,True,2.4596036744316585,0.1329594999551773,False,2.459620385448744,0.13295729458332062,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,ZERO_START,MSE_ONLY,50.0,19.018330225212075,0.3519921600818634,0.8180940089488816,0.09221707857749956,0.5848830807453531,-0.01579129695892334,True,2.7433254059474628,0.12123502790927887,False,2.7433421169645484,0.12123282253742218,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,ZERO_START,MSE_ONLY,100.0,19.54060129926266,0.32632800936698914,0.8474416985065778,0.16754928396699642,1.1071541547959391,-0.04145544767379761,True,3.265596479998049,0.0955708771944046,False,3.2656131910151345,0.09556867182254791,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,ZERO_START,MSE_ONLY,150.0,20.018632572048304,0.30263909697532654,0.8700977986194415,0.23466312831205138,1.5851854275815818,-0.0651443600654602,True,3.7436277527836914,0.071881964802742,False,3.743644463800777,0.07187975943088531,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,ZERO_START,MSE_LPIPS,0.0,18.40409768814457,0.37016910314559937,0.78209286898127,0.0,-0.029349456322151468,0.002385646104812622,False,2.129092868879958,0.13941197097301483,False,2.129109579897044,0.13940976560115814,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,ZERO_START,MSE_LPIPS,25.0,18.73481278665119,0.3549211323261261,0.8007924774090611,0.05090502740049036,0.30136564218446793,-0.012862324714660645,True,2.4598079673865776,0.12416400015354156,False,2.4598246784036633,0.12416179478168488,False
