video,frame,delta,u_equal,u_max_abs,delta_ell_equal,delta_ell_max_abs,generator_latent_equal,generator_latent_max_abs,raw_rgb_equal,raw_rgb_max_abs,valid_rgb_equal,valid_rgb_max_abs
026aa77c-d036-41b7-a998-83c1911fe2bf,12,2.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0
026aa77c-d036-41b7-a998-83c1911fe2bf,13,0.125,False,0.375,False,0.03539474308490753,False,0.03539474308490753,False,0.048003606498241425,False,0.02400180697441101
026aa77c-d036-41b7-a998-83c1911fe2bf,13,0.5,False,0.5,False,0.03695216774940491,False,0.036952197551727295,False,0.03155802935361862,False,0.01577901840209961
026aa77c-d036-41b7-a998-83c1911fe2bf,13,2.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0
026aa77c-d036-41b7-a998-83c1911fe2bf,14,0.125,False,0.375,False,0.035505443811416626,False,0.035505443811416626,False,0.04371095076203346,False,0.021855473518371582
026aa77c-d036-41b7-a998-83c1911fe2bf,14,0.5,False,0.5,False,0.03612750768661499,False,0.036127567291259766,False,0.03442525863647461,False,0.017212629318237305
026aa77c-d036-41b7-a998-83c1911fe2bf,14,2.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0
026aa77c-d036-41b7-a998-83c1911fe2bf,15,0.125,False,0.375,False,0.03528106212615967,False,0.03528106212615967,False,0.046892888844013214,False,0.023446470499038696
026aa77c-d036-41b7-a998-83c1911fe2bf,15,0.5,False,0.5,False,0.03675660490989685,False,0.03675663471221924,False,0.030827365815639496,False,0.01541370153427124
026aa77c-d036-41b7-a998-83c1911fe2bf,15,2.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0
30884276-8cb2-485e-b0ca-a22605c1801f,1,0.125,False,0.25,False,0.020101502537727356,False,0.020101502537727356,False,0.02176809310913086,False,0.01088404655456543
30884276-8cb2-485e-b0ca-a22605c1801f,1,0.5,False,0.5,False,0.01963057368993759,False,0.01963058114051819,False,0.01240067183971405,False,0.00620037317276001
30884276-8cb2-485e-b0ca-a22605c1801f,1,2.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0
30884276-8cb2-485e-b0ca-a22605c1801f,2,0.125,False,0.25,False,0.01889481022953987,False,0.01889479160308838,False,0.03167372941970825,False,0.015836894512176514
30884276-8cb2-485e-b0ca-a22605c1801f,2,0.5,False,0.5,False,0.019556887447834015,False,0.019556887447834015,False,0.012529298663139343,False,0.0062646567821502686
30884276-8cb2-485e-b0ca-a22605c1801f,2,2.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0
30884276-8cb2-485e-b0ca-a22605c1801f,3,0.125,False,0.25,False,0.01915808767080307,False,0.019158095121383667,False,0.02429656684398651,False,0.012148261070251465
30884276-8cb2-485e-b0ca-a22605c1801f,3,0.5,False,0.5,False,0.019384630024433136,False,0.019384630024433136,False,0.01244702935218811,False,0.006223499774932861
30884276-8cb2-485e-b0ca-a22605c1801f,3,2.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0
30884276-8cb2-485e-b0ca-a22605c1801f,4,0.125,False,0.25,False,0.018916981294751167,False,0.018916994333267212,False,0.030401144176721573,False,0.015200555324554443
30884276-8cb2-485e-b0ca-a22605c1801f,4,0.5,False,0.5,False,0.01900765672326088,False,0.01900765672326088,False,0.015249818563461304,False,0.007624924182891846
30884276-8cb2-485e-b0ca-a22605c1801f,4,2.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0
30884276-8cb2-485e-b0ca-a22605c1801f,5,0.125,False,0.25,False,0.018806546926498413,False,0.018806546926498413,False,0.026694774627685547,False,0.013347387313842773
30884276-8cb2-485e-b0ca-a22605c1801f,5,0.5,False,0.5,False,0.018922924995422363,False,0.018922924995422363,False,0.0127788744866848,False,0.006389439105987549
30884276-8cb2-485e-b0ca-a22605c1801f,5,2.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0
30884276-8cb2-485e-b0ca-a22605c1801f,6,0.125,False,0.25,False,0.018943488597869873,False,0.018943488597869873,False,0.03193932771682739,False,0.015969663858413696
30884276-8cb2-485e-b0ca-a22605c1801f,6,0.5,False,0.5,False,0.01890980266034603,False,0.01890980452299118,False,0.013518616557121277,False,0.006759345531463623
30884276-8cb2-485e-b0ca-a22605c1801f,6,2.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0
30884276-8cb2-485e-b0ca-a22605c1801f,7,0.125,False,0.25,False,0.01887458935379982,False,0.01887461543083191,False,0.022119447588920593,False,0.011059761047363281
30884276-8cb2-485e-b0ca-a22605c1801f,7,0.5,False,0.5,False,0.018955521285533905,False,0.018955498933792114,False,0.012864284217357635,False,0.0064321160316467285
30884276-8cb2-485e-b0ca-a22605c1801f,7,2.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0
30884276-8cb2-485e-b0ca-a22605c1801f,8,0.125,False,0.25,False,0.01887558028101921,False,0.018875598907470703,False,0.03141161799430847,False,0.01570582389831543
30884276-8cb2-485e-b0ca-a22605c1801f,8,0.5,False,0.5,False,0.018861982971429825,False,0.018861979246139526,False,0.013302922248840332,False,0.006651461124420166
30884276-8cb2-485e-b0ca-a22605c1801f,8,2.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0
30884276-8cb2-485e-b0ca-a22605c1801f,9,0.125,False,0.25,False,0.0187813900411129,False,0.018781393766403198,False,0.022397801280021667,False,0.011198878288269043
30884276-8cb2-485e-b0ca-a22605c1801f,9,0.5,False,0.5,False,0.01902257651090622,False,0.019022583961486816,False,0.012580931186676025,False,0.006290435791015625
30884276-8cb2-485e-b0ca-a22605c1801f,9,2.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0
30884276-8cb2-485e-b0ca-a22605c1801f,10,0.125,False,0.25,False,0.02016959711909294,False,0.020169585943222046,False,0.029665717855095863,False,0.014832854270935059
30884276-8cb2-485e-b0ca-a22605c1801f,10,0.5,False,0.5,False,0.018995430320501328,False,0.018995434045791626,False,0.01344548910856247,False,0.006722748279571533
30884276-8cb2-485e-b0ca-a22605c1801f,10,2.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0
30884276-8cb2-485e-b0ca-a22605c1801f,11,0.125,False,0.25,False,0.018378645181655884,False,0.018378645181655884,False,0.020720601081848145,False,0.010360300540924072
30884276-8cb2-485e-b0ca-a22605c1801f,11,0.5,False,0.5,False,0.018997643142938614,False,0.018997639417648315,False,0.014141514897346497,False,0.007070720195770264
30884276-8cb2-485e-b0ca-a22605c1801f,11,2.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0
30884276-8cb2-485e-b0ca-a22605c1801f,12,0.125,False,0.25,False,0.0197138749063015,False,0.01971384882926941,False,0.03499743342399597,False,0.01749873161315918
30884276-8cb2-485e-b0ca-a22605c1801f,12,0.5,False,0.5,False,0.019239533692598343,False,0.01923951506614685,False,0.014314234256744385,False,0.00715714693069458
30884276-8cb2-485e-b0ca-a22605c1801f,12,2.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0
30884276-8cb2-485e-b0ca-a22605c1801f,13,0.125,False,0.25,False,0.019416090101003647,False,0.019416064023971558,False,0.023655056953430176,False,0.011827528476715088
30884276-8cb2-485e-b0ca-a22605c1801f,13,0.5,False,0.5,False,0.019509892910718918,False,0.019509881734848022,False,0.01529783196747303,False,0.007648885250091553
30884276-8cb2-485e-b0ca-a22605c1801f,13,2.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0
30884276-8cb2-485e-b0ca-a22605c1801f,14,0.125,False,0.25,False,0.01952100172638893,False,0.019520998001098633,False,0.021636486053466797,False,0.010818243026733398
30884276-8cb2-485e-b0ca-a22605c1801f,14,0.5,False,0.5,False,0.019685499370098114,False,0.01968550682067871,False,0.014230340719223022,False,0.007115155458450317
30884276-8cb2-485e-b0ca-a22605c1801f,14,2.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0
30884276-8cb2-485e-b0ca-a22605c1801f,15,0.125,False,0.25,False,0.019787274301052094,False,0.01978728175163269,False,0.02156728506088257,False,0.010783612728118896
30884276-8cb2-485e-b0ca-a22605c1801f,15,0.5,False,0.5,False,0.019466105848550797,False,0.019466102123260498,False,0.015648826956748962,False,0.00782439112663269
30884276-8cb2-485e-b0ca-a22605c1801f,15,2.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0
66d34721-a96d-4a92-9042-0847e057f3ba,1,0.125,False,0.25,False,0.033325910568237305,False,0.033325910568237305,False,0.037725865840911865,False,0.018862903118133545
66d34721-a96d-4a92-9042-0847e057f3ba,1,0.5,False,0.5,False,0.03811226785182953,False,0.03811226785182953,False,0.031518444418907166,False,0.01575922966003418
66d34721-a96d-4a92-9042-0847e057f3ba,1,2.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0
