video,duration_seconds,file_bytes,container_general_bits,container_valid_shape_bits,container_base_hash_bits,container_frame_length_bits,frame_general_header_bits,frame_shape_quantization_bits,cdf_fingerprint_bits,cdf_table_bits,source_mean_scale_bits,symbol_coding_bits,termination_decision_bits,lookahead_bits,alignment_bits,arithmetic_payload_bits,estimated_float_bits,ideal_quantized_cdf_bits,zero_symbols,nonzero_symbols,coder_initializations,total_header_bits,actual_bits,actual_minus_estimated_bits,actual_kbps,hypothetical_zero_flag_bits,hypothetical_saved_bits
026aa77c-d036-41b7-a998-83c1911fe2bf,0.64,4488,64,32,256,512,1200,1200,480,0,0,31590,30,480,60,32160,31597.68310546875,31597.94155668535,61200,0,15,3744,35904,4306.31689453125,56.1,3864,32040
30884276-8cb2-485e-b0ca-a22605c1801f,0.533333,4488,64,32,256,512,1200,1200,480,0,0,31590,30,480,60,32160,31597.68310546875,31597.94155668535,61200,0,15,3744,35904,4306.31689453125,67.3200420750263,3864,32040
66d34721-a96d-4a92-9042-0847e057f3ba,0.533333,4488,64,32,256,512,1200,1200,480,0,0,31590,30,480,60,32160,31597.68310546875,31597.94155668535,61200,0,15,3744,35904,4306.31689453125,67.3200420750263,3864,32040
b3d4cebf-21ab-41e1-b79a-729d35794681,0.533333,4488,64,32,256,512,1200,1200,480,0,0,31590,30,480,60,32160,31597.68310546875,31597.94155668535,61200,0,15,3744,35904,4306.31689453125,67.3200420750263,3864,32040
46da3cc3-6beb-425c-a870-c8d7bae89311,0.533333,4488,64,32,256,512,1200,1200,480,0,0,31590,30,480,60,32160,31597.68310546875,31597.94155668535,61200,0,15,3744,35904,4306.31689453125,67.3200420750263,3864,32040
2996c286-14c5-4157-95ba-f2a73fae0187,0.533333,4488,64,32,256,512,1200,1200,480,0,0,31590,30,480,60,32160,31597.68310546875,31597.94155668535,61200,0,15,3744,35904,4306.31689453125,67.3200420750263,3864,32040
ALL_VAL6,3.3066649999999997,26928,384,192,1536,3072,7200,7200,2880,0,0,189540,180,2880,360,192960,189586.0986328125,189587.6493401121,367200,0,90,22464,215424,25837.9013671875,65.1484199336794,23184,192240
