sample,optimization_seconds
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0002,26.638755917549133
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0003,26.806551173329353
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0004,26.87325206398964
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0005,27.024757742881775
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0006,27.038360983133316
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0007,27.12389872968197
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0009,27.149328894913197
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0010,27.13111362606287
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0011,27.121720679104328
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0012,27.27806017547846
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0013,27.30874364078045
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0014,27.172786623239517
c227e33d-910e-4e39-a325-0fe1d1116436_f0002,27.198163636028767
c227e33d-910e-4e39-a325-0fe1d1116436_f0003,26.912798568606377
c227e33d-910e-4e39-a325-0fe1d1116436_f0004,26.38591831177473
c227e33d-910e-4e39-a325-0fe1d1116436_f0005,26.67929580807686
c227e33d-910e-4e39-a325-0fe1d1116436_f0006,26.491484940052032
c227e33d-910e-4e39-a325-0fe1d1116436_f0007,27.0304898545146
c227e33d-910e-4e39-a325-0fe1d1116436_f0009,26.637243509292603
c227e33d-910e-4e39-a325-0fe1d1116436_f0010,26.82340808212757
c227e33d-910e-4e39-a325-0fe1d1116436_f0011,26.813240475952625
c227e33d-910e-4e39-a325-0fe1d1116436_f0012,27.03790060430765
c227e33d-910e-4e39-a325-0fe1d1116436_f0013,26.828064188361168
c227e33d-910e-4e39-a325-0fe1d1116436_f0014,27.28362314403057
