dataset,video,video_id,qp,granularity,trajectory_id,total_bytes,cumulative_RGB_MSE,number_1x_tiles,number_2x_tiles,modified_frames,bitstream_path,bitstream_sha256,mode_history_json,is_selected
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,G16,fresh_ulong_10_qp3_G16_T5594,60685,0.07805829535936937,2210,310,19,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/fresh_ulong_10_qp3_G16_T5594.bin,b7046c593b13ce448feccf7b66151a6b78a7feb9d27f209ab4ef04c6cefe5167,"[""F070"", ""F000"", ""F000"", ""F000"", ""F000"", ""F050"", ""F000"", ""F070"", ""F020"", ""F010"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F020"", ""F000"", ""F050"", ""F000"", ""F010"", ""F000"", ""F070"", ""F000"", ""F050"", ""F000"", ""F000"", ""F010"", ""F000"", ""F050"", ""F035"", ""F000"", ""F000"", ""F070"", ""F000"", ""F000"", ""F000"", ""F010"", ""F000"", ""F000"", ""F050"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F100"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F010"", ""F000"", ""F000"", ""F000"", ""F020"", ""F000""]",False
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,G16,fresh_ulong_10_qp3_G16_T5601,60685,0.07805829535936937,2204,316,19,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/fresh_ulong_10_qp3_G16_T5601.bin,dedb41178fa7ed9481614ce89e1b38308b4f0c677dd846b28ca983b5dc6c849c,"[""F070"", ""F000"", ""F000"", ""F000"", ""F000"", ""F050"", ""F000"", ""F070"", ""F020"", ""F010"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F020"", ""F000"", ""F050"", ""F000"", ""F010"", ""F000"", ""F070"", ""F000"", ""F050"", ""F000"", ""F000"", ""F010"", ""F000"", ""F050"", ""F035"", ""F000"", ""F000"", ""F070"", ""F000"", ""F000"", ""F000"", ""F010"", ""F000"", ""F000"", ""F050"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F100"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F010"", ""F000"", ""F000"", ""F000"", ""F035"", ""F000""]",False
uvg,Beauty,0,1,G4,uvg_00_qp1_G4_T5524,22009,0.10826222400646657,31569,561,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/uvg_00_qp1_G4_T5524.bin,425b5d7d2f836dd09ea1cc9f1054955981f17ac8fbf445dd16a318ca9fe4916b,"[""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F100"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F010"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000""]",False
uvg,Beauty,0,1,G4,uvg_00_qp1_G4_T5533,22514,0.10729520698077977,29108,3022,12,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/uvg_00_qp1_G4_T5533.bin,55126e5c79ba40602aac26ed5492773b848041e4f90255096b6aecd4bb2c0544,"[""F010"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F100"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F010"", ""F000"", ""F000"", ""F000"", ""F000"", ""F100"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F100"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F100"", ""F000"", ""F000"", ""F000"", ""F070"", ""F010"", ""F000"", ""F000"", ""F000"", ""F000"", ""F010"", ""F020"", ""F050"", ""F000"", ""F020""]",False
uvg,Beauty,0,1,G4,uvg_00_qp1_G4_T5540,22514,0.10729520698077977,28874,3256,12,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/uvg_00_qp1_G4_T5540.bin,9912fe1e435acda929a4d6e23958175db5259bc0c877f32b64cd585c92c6c166,"[""F010"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F100"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F010"", ""F000"", ""F000"", ""F000"", ""F000"", ""F100"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F100"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F100"", ""F000"", ""F000"", ""F000"", ""F070"", ""F010"", ""F000"", ""F000"", ""F000"", ""F000"", ""F010"", ""F070"", ""F050"", ""F000"", ""F020""]",False
uvg,Beauty,0,1,G4,uvg_00_qp1_G4_T5531,22448,0.1072955607669428,29179,2951,11,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/uvg_00_qp1_G4_T5531.bin,000ca6c6f027a18fb6332bd871b5a07c74282c1ba3b3c2b3c63e163568297027,"[""F010"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F100"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F010"", ""F000"", ""F000"", ""F000"", ""F000"", ""F100"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F100"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F100"", ""F000"", ""F000"", ""F000"", ""F070"", ""F010"", ""F000"", ""F000"", ""F000"", ""F000"", ""F010"", ""F020"", ""F050"", ""F000"", ""F000""]",False
uvg,Beauty,0,1,G4,uvg_00_qp1_G4_T5538,22448,0.1072955607669428,28945,3185,11,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/uvg_00_qp1_G4_T5538.bin,4be8c37f62eef4d2a29f7b1617e8e5b3ea6020b535480b47fe4fa2fe8a4b53b3,"[""F010"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F100"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F010"", ""F000"", ""F000"", ""F000"", ""F000"", ""F100"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F100"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F100"", ""F000"", ""F000"", ""F000"", ""F070"", ""F010"", ""F000"", ""F000"", ""F000"", ""F000"", ""F010"", ""F070"", ""F050"", ""F000"", ""F000""]",False
uvg,Beauty,0,1,G4,uvg_00_qp1_G4_T5547,22423,0.1072986708022654,29363,2767,11,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/uvg_00_qp1_G4_T5547.bin,5c235346eaaa2ddf906137fc1c2c26f126260741fa685040d5e45b576df8921c,"[""F010"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F100"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F010"", ""F000"", ""F000"", ""F000"", ""F000"", ""F100"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F100"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F100"", ""F000"", ""F000"", ""F000"", ""F070"", ""F010"", ""F000"", ""F000"", ""F000"", ""F000"", ""F010"", ""F020"", ""F000"", ""F000"", ""F020""]",False
uvg,Beauty,0,1,G4,uvg_00_qp1_G4_T5554,22423,0.1072986708022654,29129,3001,11,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/uvg_00_qp1_G4_T5554.bin,bceb727b822e488f0259ea24e039cc553b61fcc133655d9720a14cddb3d0aaa6,"[""F010"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F100"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F010"", ""F000"", ""F000"", ""F000"", ""F000"", ""F100"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F100"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F100"", ""F000"", ""F000"", ""F000"", ""F070"", ""F010"", ""F000"", ""F000"", ""F000"", ""F000"", ""F010"", ""F070"", ""F000"", ""F000"", ""F020""]",False
uvg,Beauty,0,1,G4,uvg_00_qp1_G4_T5545,22357,0.10730289004277438,29434,2696,10,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/uvg_00_qp1_G4_T5545.bin,087f7ab266d1e4afa96f055044b8e5123fe8eedea2d9a00b5ae50ca8d1212109,"[""F010"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F100"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F010"", ""F000"", ""F000"", ""F000"", ""F000"", ""F100"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F100"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F000"", ""F100"", ""F000"", ""F000"", ""F000"", ""F070"", ""F010"", ""F000"", ""F000"", ""F000"", ""F000"", ""F010"", ""F020"", ""F000"", ""F000"", ""F000""]",False
