dataset,video,video_id,qp,trajectory,granularity,frame,actual_qp,actual_bytes,MSE,PSNR,MS_SSIM,LPIPS,DISTS,DPB_state_hash,w1_hash,latent_hash,RGB_hash
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,baseline,BASELINE,10,1,617,0.005595530848950148,22.521587055907666,0.9536473751068115,0.21615630388259888,0.07201218605041504,0f307c8c137e14c318fa000580a8f30f40a76057273fd30e85f4238ca33346b9,44b212706285929148ad166ca19b575e63fbab5e9ebee344a8f2ac8c333a8d90,da4b5a20579fe54e41a50e6e9f3cf34aedac20e6a524672dc37f918895c47a95,e8dd1c988c977c708f23038b120386ebe9c706df5065f3cf0867002e3726c8cf
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,baseline,BASELINE,11,2,387,0.005790832918137312,22.372589655065845,0.9482494592666626,0.22306475043296814,0.0727837085723877,f45e25ec0e600721c49c8f48077eecc29257bdda5134f9551cf6f98fb5ce401c,db78ad1372360db54ac6b30264d84ee5f9684d45bbbef7531698d7ad855cc593,423e6df69d1ab57b56d4cd71cba8412907cf5c39ec65bd13b6be405b2b832c87,dd149a4325f96411d7129022d33ca35a6f060ce5e5b65a6f7e2862b69dab6770
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,baseline,BASELINE,12,1,995,0.005596762988716364,22.520630841727936,0.9461625218391418,0.23224490880966187,0.0769658088684082,aeded029639cbd52511a84c82388daf6bc60e88cf88e34c36af6d4c2676fd114,3b5f19bcd90564dd79550a35da6bca6aabd1f294adeab3eaf8b69d2904f0c806,a857f66f51536871315b3da48342c482ce54bfa32454f1a5b70e69bf4f167ef3,6ab011e51a5c59437c3dd3e3688ff60029bcf103d1d75d72160f95a79aac69cd
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,baseline,BASELINE,13,2,625,0.005747426766902208,22.405265537573158,0.9409447312355042,0.24308739602565765,0.07769840955734253,c08c4082a2e52f40caccf4552ca9c102d48ff8b39dc7bcdb428b12efe337327e,06e2a20330c882fe69f0e038c411d61b19bd9e8b16d16a0e21ad019fa02ff56c,e0067a7a0b5a5f883313562586e23f2f817635693f86e847da583cb3fe61ef48,c7ca656c5fcd2f0c1c5d55b6b9383881b2b4dfa0b68b583322b57d78de113984
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,baseline,BASELINE,14,1,1178,0.005229845643043518,22.815111289842957,0.9427881240844727,0.24291962385177612,0.08030688762664795,1fdde06b34b3a5a5ab8cb3855fcd00d8606d84fdb3383ab3cf87296979cf65fc,5901568714bdb95ff2edb6beffeb65375c7394918a1b25dff1f1f1d63a493012,6e5ee79c28b8a5855aa0b720f33be2100f58d9ba411b46885ec642cbafdca28a,bdc4e01585c0f1140b30207a2a0fc9ccf3a5307a07501e3ff4a02f1cb23bd20f
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,baseline,BASELINE,15,2,843,0.0050517236813902855,22.96560412457435,0.9422848224639893,0.24275556206703186,0.08065676689147949,ab68e5a0202e6e100c74ba9fb32c5972adfc62d73fd6f34fd6c412f21459d7c8,0b1abb07c28fe198d6e85b6c7496862c3efa670762cb9b346cf46f2abf3a9c4f,3ad9f79fac5d8b8b31385d781f9e80ba0571616e64d8b82fa6d7a70942113441,1a81eea2bda200725f8820f800ae32bbb61a67f84db990cfff955daa7c803ce6
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,baseline,BASELINE,16,1,1164,0.004604509565979242,23.36816620436005,0.9464746117591858,0.2469002902507782,0.083920419216156,bcb0342736615058d654a9f2342407814f995b0692ca6a3fb08bf54afbc3c4df,650a4f15e6244fc86e6382e5b00a622925fc81d2d1d20c61466c8fa47b445899,a896211f84974d7e513806c109fa066df982d570eb81fd534388163eb52479b3,e444601062c227c344abd4a8692780048f2a362cfff1bbf7caadc621d934a0e3
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,baseline,BASELINE,17,3,2005,0.003903056262061,24.085951883737543,0.9543988108634949,0.22810466587543488,0.07780414819717407,bf8d9d22b50d540c714ba1917b78338be0d3382e82cfebbd76abe5d3a8964895,f9e686a48ed3ebc40724133b4e875f602feeb333e066767532d29acf8186d34e,d6c48efa30252b37183401f8a14aa956a889cf9709cf7216ac83673416caf5f4,f3959216f56ead92644c5e87f5fe4c8fb9340171003bbca285495a85d3681955
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,baseline,BASELINE,18,1,911,0.0036729348357766867,24.349867767224033,0.9577269554138184,0.22655797004699707,0.08060896396636963,e635d7137622eb2586744c1f96c54d505f253b14cb4f603018e6a7160bbe029a,6ae55d69773bff2a33d546851117f9a341adbd45d348010664b1edd2aaca8779,b92ea0f20e9aa5493cbf4bf7eeb519a7a354aecf11d39b69f59387ed6a8fa5c9,3e930aac80f3dc6ed0fcd58685831aaf598694d996ce555f7d96d9fa095349f5
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,baseline,BASELINE,19,2,560,0.0037994468584656715,24.202796254363122,0.9573813080787659,0.23097504675388336,0.0838736891746521,6207006fecd76f007c5a800a87c17a47c21a74faeffdb3826c12ccb481d578d1,ba025fbda33a243ae5630eca0535e37fcf77200477d45cc162c41cf85aaebbba,b266abe679e18ce78885f7eafd0995c221c14a62cd4ac56640ce185ee685278e,287daf024811467bd964a84412ff0e40e535d210bd18b499b20b5ccf1d6c4720
