dataset,video,video_id,qp,control,fraction,global_delta,total_tiles,number_1x_tiles,number_2x_tiles,number_4x_tiles,total_actual_bytes,actual_bits,bpp,kbps,I_bytes,z_bytes,w0_bytes,w1_bytes,mode_map_bits,mode_map_bytes,header_bytes,MSE,PSNR,MS_SSIM,LPIPS,DISTS,bitstream_path,bitstream_sha256,decode_pass
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,uniform_2x,,2.0,32130,0,32130,0,55407,443256,0.0033400245949074072,207.77625,5095,12153,35402,481,0,0,2276,0.004080234870343702,24.12447150905432,0.9736578827723861,0.1613142677815631,0.09986916463822126,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/fresh_ulong_00_qp1_uniform_2x.bin,619687ce5d46f7237accaa36c3789f2d7e9646cace064b6d76109a4f1ceb15d3,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,uniform_4x,,4.0,32130,0,0,32130,55058,440464,0.0033189863040123456,206.4675,5095,12208,35225,252,0,0,2278,0.00412729311210569,24.064110296332057,0.9733696402981877,0.16221944871358573,0.09980969503521919,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/fresh_ulong_00_qp1_uniform_4x.bin,6e4115872afa84eb6cce4223a3e24ec070a5ca71903003cace37bbdd015400de,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,uniform_2x,,2.0,32130,0,32130,0,89377,715016,0.005387791763117284,335.16375,7971,15347,62837,945,0,0,2277,0.0030284959211712703,25.456250876929307,0.9806302823126316,0.12547822028864175,0.07651018910109997,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/fresh_ulong_00_qp3_uniform_2x.bin,d64e873f1015592979bd646a3195cc320d5cd25a278226be61bff6cdf95d184d,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,uniform_4x,,4.0,32130,0,0,32130,89471,715768,0.005393458236882716,335.51625,7971,15381,63559,282,0,0,2278,0.003097741620877059,25.342593696819712,0.9801213834434748,0.1266433943528682,0.07743306737393141,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/fresh_ulong_00_qp3_uniform_4x.bin,a3fd3bb808a28084510867f803f53456ea69e774732743c73c08d22db0b9fdc2,True
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,uniform_2x,,2.0,32130,0,32130,0,50028,400224,0.003015769675925926,187.41758241758242,5072,11886,30351,441,0,0,2278,0.0013406801554083358,28.73517897146518,0.9769074935466051,0.13954198849387467,0.08325092308223248,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/fresh_ulong_01_qp1_uniform_2x.bin,3d708259335f1222e40bf0790921f72a9bee61ab25f528dc48e14b8748333119,True
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,uniform_4x,,4.0,32130,0,0,32130,50122,400976,0.003021436149691358,187.76973026973027,5072,12041,30479,252,0,0,2278,0.0013526876955438638,28.697239447211185,0.9767105104401708,0.13906068517826498,0.08369693160057068,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/fresh_ulong_01_qp1_uniform_4x.bin,ea8c32b67d3b805936accf09423df15cfd766095a1bedf18a0322fec88f45c92,True
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,uniform_2x,,2.0,32130,0,32130,0,74693,597544,0.0045026162229938275,279.8189310689311,7833,15313,48591,678,0,0,2278,0.0010463948756296304,29.811533045766478,0.982150487601757,0.10952601884491742,0.06809387821704149,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/fresh_ulong_01_qp3_uniform_2x.bin,e9cc1fe60a999ce472a0f945f9a1c096be64ca3ed54598a29e5326d1e7fa54a4,True
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,uniform_4x,,4.0,32130,0,0,32130,74049,592392,0.004463794849537037,277.40634365634367,7833,15271,48402,265,0,0,2278,0.001072268682946742,29.705202478769117,0.981667940504849,0.11116397171281278,0.06892978306859732,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/fresh_ulong_01_qp3_uniform_4x.bin,7df850c26076ad013718eb4ebbe883f3f6e5bb21f9a738369265cfb8083f0426,True
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,uniform_2x,,2.0,32130,0,32130,0,35960,287680,0.00216772762345679,134.7152847152847,3259,10501,19527,398,0,0,2275,0.0015210854180622846,28.19768640743492,0.9804984470829368,0.07847328070783988,0.07847821712493896,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/fresh_ulong_10_qp1_uniform_2x.bin,d36d1e9cd85ef97b0895a9c486bf482190a8c3468947a55b5224431da4f4c847,True
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,uniform_4x,,4.0,32130,0,0,32130,35950,287600,0.0021671248070987653,134.67782217782218,3259,10504,19655,256,0,0,2276,0.001545975499539054,28.12644794453499,0.9801452727988362,0.07892402919242159,0.07843425404280424,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/fresh_ulong_10_qp1_uniform_4x.bin,eb86061e3db180558e58cfcc7e38ee7c9e0d5621f39c6a1571aed4eb5a19baed,True
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,uniform_2x,,2.0,32130,0,32130,0,59092,472736,0.0035621624228395063,221.37362637362637,4887,13632,37751,544,0,0,2278,0.0012998627671549912,28.881555841455906,0.9841498648747802,0.06386025913525373,0.06462651304900646,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/fresh_ulong_10_qp3_uniform_2x.bin,2898ffff67b1ad2c740fb3733d89bd908b8e1c4b0a635c10485cb5d3fbc0de87,True
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,uniform_4x,,4.0,32130,0,0,32130,59261,474088,0.0035723500192901235,222.00674325674325,4887,13609,38226,261,0,0,2278,0.0013256501488285721,28.79664756294213,0.9837984144687653,0.0644696272793226,0.06578104291111231,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/fresh_ulong_10_qp3_uniform_4x.bin,a3d634670127e34e714b9127ecfdd7c9c4b62010971bb89b1f3a9e5395300956,True
uvg,Beauty,0,1,uniform_2x,,2.0,32130,0,32130,0,23064,184512,0.0013903356481481481,345.96,3019,7149,10381,256,0,0,2259,0.0017060662412404781,27.703321625172602,0.9765854720026255,0.1560604937840253,0.1452556997537613,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/uvg_00_qp1_uniform_2x.bin,14c8b7e9789c729bb022897c6055a1437fb9848d590c48185f6f1febbb7036de,True
uvg,Beauty,0,1,uniform_4x,,4.0,32130,0,0,32130,23064,184512,0.0013903356481481481,345.96,3019,7161,10373,252,0,0,2259,0.001702961224509636,27.711648537622786,0.9766181707382202,0.1559500868897885,0.14504148997366428,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/uvg_00_qp1_uniform_4x.bin,c52cf151c168f17e1a0db2d075c17d0155f4634daf9d8fbdd93e457748f7c535,True
uvg,Beauty,0,3,uniform_2x,,2.0,32130,0,32130,0,40428,323424,0.0024370659722222224,606.42,4622,9991,23249,288,0,0,2278,0.001579824402142549,28.023038583737566,0.9784889686852694,0.13282702839933336,0.1359382225200534,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/uvg_00_qp3_uniform_2x.bin,04dc86da31acf9bb76e691a816b667aa6b122e335447113b687522ec3559e1ba,True
uvg,Beauty,0,3,uniform_4x,,4.0,32130,0,0,32130,40451,323608,0.002438452449845679,606.765,4622,10036,23263,252,0,0,2278,0.0015746906810818473,28.037675870510494,0.9785525100305676,0.13318717619404197,0.13588015921413898,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/uvg_00_qp3_uniform_4x.bin,b0ecb561d10dad982eb1da7b29470248742ac0c0311219a4d5c9cf19dc6b6fd5,True
uvg,Bosphorus,1,1,uniform_2x,,2.0,32130,0,32130,0,31982,255856,0.0019279272762345678,479.73,3910,5839,19728,256,0,0,2249,0.0008376720516025671,30.77496099531802,0.9523679614067078,0.16241077915765345,0.13913265336304903,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/uvg_01_qp1_uniform_2x.bin,dd12b44c0561f8268883928ee6613a39d6268fdb7687817bfc6833712929b6e5,True
uvg,Bosphorus,1,1,uniform_4x,,4.0,32130,0,0,32130,31929,255432,0.001924732349537037,478.935,3910,5858,19660,252,0,0,2249,0.000841561118249956,30.754857661372792,0.9521135464310646,0.16212995117530227,0.1397468689829111,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/uvg_01_qp1_uniform_4x.bin,41beb8826868c6a85dcf4dfd145220e551c261930aadb563b446aefffdd06fd7,True
uvg,Bosphorus,1,3,uniform_2x,,2.0,32130,0,32130,0,51475,411800,0.0031029972029320988,772.125,6159,7444,35345,276,0,0,2251,0.0007320209897443419,31.360705371349397,0.958704549819231,0.13183656055480242,0.12115009780973196,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/uvg_01_qp3_uniform_2x.bin,7744ba96cd2240fa3421082aed4f75d7bef625103238fac6f69f89cfbfb0a501,True
uvg,Bosphorus,1,3,uniform_4x,,4.0,32130,0,0,32130,51353,410824,0.0030956428433641975,770.295,6159,7416,35274,252,0,0,2252,0.0007355587722486234,31.340761008001802,0.958522466942668,0.13234114437364042,0.12138371169567108,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/uvg_01_qp3_uniform_4x.bin,ef195315e4e4bfda4e492c8fb6a59343c5a1200eda1dd908d2796b3d648c13e6,True
uvg,HoneyBee,2,1,uniform_2x,,2.0,32130,0,32130,0,27831,222648,0.0016776982060185185,417.465,5028,4606,15655,298,0,0,2244,0.0011639311032922706,29.354336798733602,0.969733408652246,0.16347967111505568,0.13508747424930334,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/uvg_02_qp1_uniform_2x.bin,4c8a8010412b5ad8a369c01976272951ddd4129773c81824c1c4ce88fa897ed9,True
uvg,HoneyBee,2,1,uniform_4x,,4.0,32130,0,0,32130,27780,222240,0.0016746238425925926,416.7,5028,4622,15634,252,0,0,2244,0.0011716853823600104,29.326648875109534,0.9696627603843808,0.1639254419133067,0.1346430080011487,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/uvg_02_qp1_uniform_4x.bin,2a499077d2c76a45a29ce2129a248f62e2f44aa17a2b04aeb2e103cfdbf9130e,True
uvg,HoneyBee,2,3,uniform_2x,,2.0,32130,0,32130,0,42691,341528,0.00257348331404321,640.365,8070,5935,26032,405,0,0,2249,0.00094585863280372,30.251507601035478,0.977602256461978,0.1273844710085541,0.11647527292370796,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/uvg_02_qp3_uniform_2x.bin,21c7e93e94e749e284ee8d546504c8de1bbc62a0c419e862500cde04d63ca7c4,True
uvg,HoneyBee,2,3,uniform_4x,,4.0,32130,0,0,32130,42618,340944,0.0025690827546296295,639.27,8070,6015,26032,252,0,0,2249,0.0009513739769317908,30.226268726990718,0.9774924200028181,0.12778026633895934,0.11667852010577917,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/uvg_02_qp3_uniform_4x.bin,3b3ecc6a2c8d44afdc937c2d2376b4fc1b8dda9b81746fe0d467dba5df7d0b8a,True
