dataset,video,video_id,qp,trajectory,granularity,total_actual_bytes,bpp,kbps,MSE,PSNR,MS_SSIM,LPIPS,DISTS
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,baseline,BASELINE,57653,0.003475417148919753,216.19875,0.0037327407699194737,24.52116441850623,0.9759418275207281,0.15588989714160562,0.09348528552800417
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,uniform_2x,GLOBAL,55407,0.0033400245949074072,207.77625,0.004080234870343702,24.12447150905432,0.9736578827723861,0.1613142677815631,0.09986916463822126
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,uniform_4x,GLOBAL,55058,0.0033189863040123456,206.4675,0.00412729311210569,24.064110296332057,0.9733696402981877,0.16221944871358573,0.09980969503521919
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,random_G8_20pct,G8,60053,0.003620093074845679,225.19875,0.003782170872000279,24.455236949172146,0.9756494360044599,0.15636987215839326,0.0944277523085475
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,random_G8_35pct,G8,60060,0.003620515046296296,225.225,0.0037766672030556947,24.4741890647229,0.975622558966279,0.15558225626591593,0.09459027089178562
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,random_G8_50pct,G8,58887,0.0035498046875,220.82625,0.0038339297570928466,24.397177068417548,0.9752754708752036,0.15788493736181408,0.09464486874639988
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,baseline,BASELINE,96549,0.005820131655092592,362.05875,0.002720622742344858,25.9471324105213,0.9826976666226983,0.1200498960679397,0.07413897477090359
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,uniform_2x,GLOBAL,89377,0.005387791763117284,335.16375,0.0030284959211712703,25.456250876929307,0.9806302823126316,0.12547822028864175,0.07651018910109997
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,uniform_4x,GLOBAL,89471,0.005393458236882716,335.51625,0.003097741620877059,25.342593696819712,0.9801213834434748,0.1266433943528682,0.07743306737393141
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,random_G8_20pct,G8,98289,0.005925021701388889,368.58375,0.0027546050641831243,25.890059828307297,0.9824582505971193,0.12085611757356673,0.07402986381202936
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,random_G8_35pct,G8,97135,0.00585545669367284,364.25625,0.002792954801407177,25.827737827909097,0.9821837758645415,0.1214439608156681,0.0749871963635087
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,random_G8_50pct,G8,96223,0.005800479841820988,360.83625,0.002811685757478699,25.792779367456554,0.9820756008848548,0.12144522333983332,0.07449305430054665
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,baseline,BASELINE,52078,0.0031393470293209877,195.0974025974026,0.0012218153824505862,29.142785612015437,0.979019558057189,0.13199148036073893,0.0770218400284648
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,uniform_2x,GLOBAL,50028,0.003015769675925926,187.41758241758242,0.0013406801554083358,28.73517897146518,0.9769074935466051,0.13954198849387467,0.08325092308223248
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,uniform_4x,GLOBAL,50122,0.003021436149691358,187.76973026973027,0.0013526876955438638,28.697239447211185,0.9767105104401708,0.13906068517826498,0.08369693160057068
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,random_G8_20pct,G8,54731,0.0032992742091049383,205.03621378621378,0.00123510227240331,29.095037734499478,0.9787994464859366,0.1323024061275646,0.07753195613622665
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,random_G8_35pct,G8,54308,0.0032737750771604937,203.45154845154843,0.0012434638792910846,29.065848213342317,0.9786438019946218,0.13362149486783892,0.07981905713677406
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,random_G8_50pct,G8,53569,0.003229226948302469,200.68306693306693,0.0012607738717633765,29.004481817856835,0.9783232137560844,0.1341662835329771,0.07994059100747108
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,baseline,BASELINE,78986,0.004761405285493827,295.9015984015984,0.0009682657300800201,30.15030891001539,0.9835106832906604,0.10498300509061664,0.06271296553313732
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,uniform_2x,GLOBAL,74693,0.0045026162229938275,279.8189310689311,0.0010463948756296304,29.811533045766478,0.982150487601757,0.10952601884491742,0.06809387821704149
