dataset,video,video_id,qp,granularity,target_rate_ratio,baseline_bytes,target_bytes,selected_bytes,selected_rate_ratio,selection_type,I_bytes,z_bytes,w0_bytes,w1_bytes,mode_map_bits,mode_map_bytes,header_bytes,modified_frames,total_tiles,number_1x_tiles,number_2x_tiles,PSNR,MS_SSIM,LPIPS,DISTS,decode_audit_pass,bitstream_path,bitstream_sha256
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,G16,0.95,52078,49474,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,G16,0.9,52078,46870,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,G4,0.99,78986,78196,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,G4,0.975,78986,77011,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,G4,0.95,78986,75036,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,G4,0.9,78986,71087,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,G8,0.99,78986,78196,76834,0.9727546653837389,MIXED,7833,15335,45962,5953,3042,401,1350,34,8505,5254,3251,30.025122455837298,0.9830275252461433,0.107453175005503,0.06651467736810446,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/fresh_ulong_01_qp3_G8_target_0.990_fresh_ulong_01_qp3_G8_T5524.bin,270257c5c66bd15d10e07f1974ab3a0c0dc4d4aaadff051cd4f054ed5eca611c
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,G8,0.975,78986,77011,76834,0.9727546653837389,MIXED,7833,15335,45962,5953,3042,401,1350,34,8505,5254,3251,30.025122455837298,0.9830275252461433,0.107453175005503,0.06651467736810446,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/fresh_ulong_01_qp3_G8_target_0.990_fresh_ulong_01_qp3_G8_T5524.bin,270257c5c66bd15d10e07f1974ab3a0c0dc4d4aaadff051cd4f054ed5eca611c
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,G8,0.95,78986,75036,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,G8,0.9,78986,71087,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,G16,0.99,78986,78196,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,G16,0.975,78986,77011,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
