method,split,video,frame,group,type,lambda,diagnostic,zero_no_stream_fallback,symbol_nonzero_fraction,nonzero_enhancement_frame,u_l2,residual_l2,actual_packet_bits,selected_step,mse,psnr,ms_ssim,lpips,L_image,psnr_minus_ZERO,ms_ssim_minus_ZERO,lpips_minus_ZERO,psnr_minus_ENCODER_CONTINUOUS,ms_ssim_minus_ENCODER_CONTINUOUS,lpips_minus_ENCODER_CONTINUOUS,psnr_minus_ENCODER_QUANTIZED,ms_ssim_minus_ENCODER_QUANTIZED,lpips_minus_ENCODER_QUANTIZED,psnr_minus_TEACHER,ms_ssim_minus_TEACHER,lpips_minus_TEACHER,psnr_minus_ORIGINAL_QP0,ms_ssim_minus_ORIGINAL_QP0,lpips_minus_ORIGINAL_QP0
B_Train2_lambda3_WRONG,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0,I,I,0.18864966852870935,True,False,,False,0.0,0.0,,,0.028622682989285473,15.432896594361738,0.6808732237864273,0.2725779414176941,0.028895260930703166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_Train2_lambda3_WRONG,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,network_train6,P,0.18864966852870935,True,False,0.0,False,0.0,0.0,,,0.014518528168263446,18.380774084844518,0.7843452553097912,0.3777421712875366,0.014896270339550982,0.0,0.0,0.0,-0.5474024993127102,-0.03462836908027034,0.06683674454689026,-0.5235052816922767,-0.03354199798344426,0.0655442476272583,-1.643065916307247,-0.08581856058155479,0.10797011852264404,2.105785976596991,0.008109708347824096,0.1469828337430954
B_Train2_lambda3_WRONG,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,Train2_rest24,P,0.18864966852870935,True,False,0.0,False,0.0,0.0,,,0.014461303926505544,18.39792546422175,0.790151174481061,0.37269139289855957,0.014833995319404103,0.0,0.0,0.0,-0.5011885859664318,-0.03170338472488099,0.06376275420188904,-0.4760824548274698,-0.03045276834622168,0.06314551830291748,-1.7053362038090363,-0.085374821848342,0.10896235704421997,2.224435312703079,0.010614260176679102,0.1462479531764984
B_Train2_lambda3_WRONG,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,Train2_rest24,P,0.18864966852870935,True,False,0.0,False,0.0,0.0,,,0.014337797154308224,18.43517568139394,0.792569618828697,0.37328192591667175,0.014711079080224895,0.0,0.0,0.0,-0.5032937998308675,-0.030926224717501838,0.06301560997962952,-0.4815389645525805,-0.02963578004553613,0.06261512637138367,-1.6413930899671918,-0.08183898974043091,0.10803940892219543,2.230144057551083,0.011714150161304837,0.1501513421535492
B_Train2_lambda3_WRONG,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,4,Train2_rest24,P,0.18864966852870935,True,False,0.0,False,0.0,0.0,,,0.014770672740468943,18.30599723996119,0.7901818846568697,0.38248443603515625,0.0151531571765041,0.0,0.0,0.0,-0.5159990511189356,-0.03150396376411091,0.06417283415794373,-0.4934894614844936,-0.03021309198740485,0.06356018781661987,-1.645169097284871,-0.08360159353088514,0.11127907037734985,2.1930421688570263,0.012154577809056932,0.1584969162940979
B_Train2_lambda3_WRONG,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5,Train2_rest24,P,0.18864966852870935,True,False,0.0,False,0.0,0.0,,,0.014312605644440184,18.442812946826333,0.7920176088177971,0.3723566234111786,0.014684962267851364,0.0,0.0,0.0,-0.5465379356867892,-0.03164563196059156,0.06365889310836792,-0.5210720669378119,-0.030468023284980994,0.06303521990776062,-1.662343283447349,-0.08220921673332027,0.10895606875419617,2.245229163643817,0.013319973543214347,0.1499435305595398
B_Train2_lambda3_WRONG,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,6,Train2_rest24,P,0.18864966852870935,True,False,0.0,False,0.0,0.0,,,0.01454084282161529,18.374104200128485,0.7908164707434683,0.3756115138530731,0.014916454335468362,0.0,0.0,0.0,-0.5800894033387891,-0.032667555919895785,0.06386959552764893,-0.5517833989161396,-0.03154981454494332,0.06313976645469666,-1.6745054482344912,-0.08317966779262953,0.10883191227912903,2.2252654991396312,0.014186372698549388,0.1518806666135788
B_Train2_lambda3_WRONG,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,7,Train2_rest24,P,0.18864966852870935,True,False,0.0,False,0.0,0.0,,,0.014192229878867148,18.479493629636618,0.7905097082966499,0.3711719214916229,0.01456340180035877,0.0,0.0,0.0,-0.6119285771229741,-0.033451827161327774,0.06412392854690552,-0.5856233185222628,-0.032222455729849386,0.06281206011772156,-1.6924399652561313,-0.08265261490239217,0.10755914449691772,2.2820865869442812,0.015240794036659788,0.1472100019454956
B_Train2_lambda3_WRONG,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,network_train6,P,0.18864966852870935,True,False,0.0,False,0.0,0.0,,,0.014933942283403598,18.258255314628165,0.7864553587050874,0.3857608735561371,0.015319703156959736,0.0,0.0,0.0,-0.6179713148808368,-0.034848638577891444,0.06409516930580139,-0.5905390812764644,-0.03359375277454313,0.06276246905326843,-1.6235727000260987,-0.08300042787829764,0.10771596431732178,2.2143641380282446,0.015177654772588811,0.1582702100276947
B_Train2_lambda3_WRONG,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,9,Train2_rest24,P,0.18864966852870935,True,False,0.0,False,0.0,0.0,,,0.014265616134018307,18.45709466360519,0.7872462612111572,0.3715718686580658,0.014637188002676372,0.0,0.0,0.0,-0.6119658970672752,-0.0335645347734288,0.06277096271514893,-0.5835199611316959,-0.032231918688066075,0.061040669679641724,-1.6810620003948706,-0.08277946556920845,0.10458865761756897,2.291179147212837,0.016230866713838,0.1437201201915741
B_Train2_lambda3_WRONG,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,10,Train2_rest24,P,0.18864966852870935,True,False,0.0,False,0.0,0.0,,,0.015027104231448502,18.231247012140393,0.7822240124577718,0.3817782402038574,0.01540888247165236,0.0,0.0,0.0,-0.5572705854433444,-0.03290036270689067,0.061977118253707886,-0.5298320333942783,-0.031562311387621333,0.061134904623031616,-1.6246285914329448,-0.08428948718604445,0.10392984747886658,2.2220713440314803,0.015659045090008816,0.15097177028656006
B_Train2_lambda3_WRONG,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,11,Train2_rest24,P,0.18864966852870935,True,False,0.0,False,0.0,0.0,,,0.014645607784354203,18.34292600635568,0.7806586152611237,0.3741006851196289,0.015019708469473831,0.0,0.0,0.0,-0.558537644680051,-0.03265977996382896,0.06122550368309021,-0.5341189380448093,-0.03145025596739037,0.06026256084442139,-1.6798121412893998,-0.08537137010597595,0.10172420740127563,2.2548974502585963,0.01574771226216043,0.14522458612918854
B_Train2_lambda3_WRONG,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,12,Train2_rest24,P,0.18864966852870935,True,False,0.0,False,0.0,0.0,,,0.015128627809520975,18.202004613871544,0.7801243874582853,0.39121079444885254,0.015519838603969827,0.0,0.0,0.0,-0.5039838005026986,-0.03167653337900045,0.06219819188117981,-0.4808599228342949,-0.03050776289550816,0.06127363443374634,-1.6101415611628909,-0.0852923074882117,0.10585856437683105,2.210176761284421,0.01517635549843488,0.1609826236963272
B_Train2_lambda3_WRONG,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,13,Train2_rest24,P,0.18864966852870935,True,False,0.0,False,0.0,0.0,,,0.014726271471247459,18.319071977899117,0.7793700600251098,0.379841685295105,0.015106113156542563,0.0,0.0,0.0,-0.5564842318989847,-0.032437434995923664,0.06282922625541687,-0.5312996458527905,-0.031306609213047176,0.06197565793991089,-1.7057401370744039,-0.08715322747195986,0.10663402080535889,2.264171511992263,0.01614686776032359,0.1492108255624771
B_Train2_lambda3_WRONG,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,14,Train2_rest24,P,0.18864966852870935,True,False,0.0,False,0.0,0.0,,,0.015324659720078933,18.14609160093902,0.7741065822600527,0.3867919147014618,0.015711451634780396,0.0,0.0,0.0,-0.5562406245195106,-0.03316180347559394,0.06279104948043823,-0.5302919799645451,-0.03188324282934252,0.06261008977890015,-1.646926786208283,-0.0878517727608289,0.10373649001121521,2.1891428983354064,0.01563480040575127,0.1533402055501938
B_Train2_lambda3_WRONG,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,15,network_train6,P,0.18864966852870935,True,False,0.0,False,0.0,0.0,,,0.01522176602678956,18.175349578679636,0.7709346461417427,0.38231155276298523,0.015604077579552544,0.0,0.0,0.0,-0.5991311173577394,-0.034332893120329055,0.06317293643951416,-0.5780394240085727,-0.03326684636621435,0.06229326128959656,-1.7018105065591769,-0.08928555043263064,0.10210633277893066,2.184940722076263,0.015541554430574811,0.14853033423423767
B_Train2_lambda3_WRONG,Train2,c227e33d-910e-4e39-a325-0fe1d1116436,0,I,I,0.18864966852870935,True,False,,False,0.0,0.0,,,0.0023100739264783543,26.363741216888563,0.8150404934054553,0.22730228304862976,0.002537376209526984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_Train2_lambda3_WRONG,Train2,c227e33d-910e-4e39-a325-0fe1d1116436,1,network_train6,P,0.18864966852870935,True,False,0.2823529541492462,True,320.5998577598907,23.796873092651367,,,0.0012682886063191303,28.967819090175134,0.8939688616065006,0.17730461061000824,0.0014455932169291385,-0.24697273563106847,-0.0008886524480680169,-0.006672009825706482,-1.2334503575463494,-0.016569948837865223,0.04045860469341278,-1.1492893097087773,-0.01519644270701237,0.037449151277542114,-3.7898631232164703,-0.050395850854554336,0.0854659229516983,1.0751427166652618,-0.001059815391094121,0.02578216791152954
B_Train2_lambda3_WRONG,Train2,c227e33d-910e-4e39-a325-0fe1d1116436,2,Train2_rest24,P,0.18864966852870935,True,False,0.2340686321258545,True,282.06688771870836,25.08793830871582,,,0.0012129522334120445,29.16156301502786,0.8977319962016015,0.1723082959651947,0.0013852605293772392,-0.27710210559725823,-0.0009358708919616765,-0.0020011067390441895,-1.0312987152511894,-0.014182564222790184,0.043152377009391785,-0.9590243669205734,-0.013063906291524208,0.04161554574966431,-3.941572315623006,-0.05079590666087608,0.08847835659980774,1.2957088684309426,0.0009634390791249947,0.027503788471221924
