from_frame,to_frame,FloLPIPS
0,1,0.25375401973724365
1,2,0.19228267669677734
2,3,0.27857518196105957
3,4,0.292475163936615
4,5,0.2915247976779938
5,6,0.27491557598114014
6,7,0.26238372921943665
7,8,0.268263578414917
8,9,0.26995012164115906
9,10,0.25768357515335083
10,11,0.29308149218559265
11,12,0.2716884911060333
12,13,0.27129197120666504
13,14,0.28751105070114136
14,15,0.29242998361587524
15,16,0.29050177335739136
16,17,0.25338882207870483
17,18,0.2565629482269287
18,19,0.2834583520889282
19,20,0.2761976718902588
20,21,0.2627102732658386
21,22,0.2772097885608673
22,23,0.27228158712387085
23,24,0.26681405305862427
24,25,0.26468339562416077
25,26,0.2851024568080902
26,27,0.2944241166114807
27,28,0.2524891495704651
28,29,0.26013270020484924
29,30,0.2675853669643402
30,31,0.26593154668807983
31,32,0.20716777443885803
32,33,0.2546098828315735
33,34,0.27746015787124634
34,35,0.28200632333755493
35,36,0.26490986347198486
36,37,0.2618180513381958
37,38,0.2788606286048889
38,39,0.27458399534225464
39,40,0.2770758867263794
40,41,0.2649490237236023
41,42,0.27797505259513855
42,43,0.29206526279449463
43,44,0.26244238018989563
44,45,0.2798585295677185
45,46,0.2699812352657318
46,47,0.27264404296875
47,48,0.26395517587661743
48,49,0.2489774525165558
49,50,0.2981818914413452
50,51,0.2792627513408661
51,52,0.2834484577178955
52,53,0.26085135340690613
53,54,0.29354327917099
54,55,0.2820609211921692
55,56,0.2822275161743164
56,57,0.29363054037094116
57,58,0.30940160155296326
58,59,0.29588955640792847
59,60,0.27218905091285706
60,61,0.2822795510292053
61,62,0.28566497564315796
62,63,0.29195713996887207
