from_frame,to_frame,FloLPIPS
0,1,0.30220893025398254
1,2,0.16248732805252075
2,3,0.2261497527360916
3,4,0.18282195925712585
4,5,0.18834909796714783
5,6,0.18053653836250305
6,7,0.19458582997322083
7,8,0.19272679090499878
8,9,0.19427193701267242
9,10,0.21697723865509033
10,11,0.2164488434791565
11,12,0.20617061853408813
12,13,0.18935731053352356
13,14,0.2116982787847519
14,15,0.21524296700954437
15,16,0.19221632182598114
16,17,0.16318687796592712
17,18,0.15037700533866882
18,19,0.2080770879983902
19,20,0.20014551281929016
20,21,0.18557433784008026
21,22,0.21893715858459473
22,23,0.2288093864917755
23,24,0.19622734189033508
24,25,0.15599852800369263
25,26,0.22462400794029236
26,27,0.2219836413860321
27,28,0.18149122595787048
28,29,0.17011502385139465
29,30,0.21380515396595
30,31,0.20524057745933533
31,32,0.12370237708091736
32,33,0.1735571324825287
33,34,0.2097514271736145
34,35,0.2177504152059555
35,36,0.18430379033088684
36,37,0.19471219182014465
37,38,0.21174316108226776
38,39,0.2113334834575653
39,40,0.1954312026500702
40,41,0.18555262684822083
41,42,0.22433443367481232
42,43,0.21503233909606934
43,44,0.1989729404449463
44,45,0.18779532611370087
45,46,0.22408173978328705
46,47,0.21379496157169342
47,48,0.1982375681400299
48,49,0.19840192794799805
49,50,0.2130526900291443
50,51,0.21358855068683624
51,52,0.19489705562591553
52,53,0.19517211616039276
53,54,0.21238259971141815
54,55,0.22729158401489258
55,56,0.1996774673461914
56,57,0.1876746267080307
57,58,0.21512913703918457
58,59,0.21648165583610535
59,60,0.18957795202732086
60,61,0.1770913004875183
61,62,0.19308100640773773
62,63,0.20748375356197357
