from_frame,to_frame,FloLPIPS
0,1,0.17339636385440826
1,2,0.07092912495136261
2,3,0.05954562872648239
3,4,0.060827936977148056
4,5,0.05460089072585106
5,6,0.050953228026628494
6,7,0.05616457015275955
7,8,0.05762903764843941
8,9,0.048516035079956055
9,10,0.0526692159473896
10,11,0.049752913415431976
11,12,0.058781009167432785
12,13,0.05326997488737106
13,14,0.04545433074235916
14,15,0.04483059048652649
15,16,0.04842410981655121
16,17,0.04960320517420769
17,18,0.050597891211509705
18,19,0.05560840666294098
19,20,0.05402969568967819
20,21,0.0550268329679966
21,22,0.0604434609413147
22,23,0.06585587561130524
23,24,0.06060401350259781
24,25,0.06914344429969788
25,26,0.057564590126276016
26,27,0.0635768473148346
27,28,0.06282515823841095
28,29,0.061626069247722626
29,30,0.05178610980510712
30,31,0.05723952129483223
31,32,0.05325279384851456
32,33,0.04637325555086136
33,34,0.05373472720384598
34,35,0.05285254493355751
35,36,0.05461999028921127
36,37,0.05696485564112663
37,38,0.058052290230989456
38,39,0.05847207456827164
39,40,0.05476433038711548
40,41,0.053720489144325256
41,42,0.05627046152949333
42,43,0.05470816045999527
43,44,0.061697669327259064
44,45,0.05228805914521217
45,46,0.0547819659113884
46,47,0.047949500381946564
47,48,0.05807296559214592
48,49,0.06363794952630997
49,50,0.05311653017997742
50,51,0.05524858087301254
51,52,0.05775533616542816
52,53,0.05462545156478882
53,54,0.05779367685317993
54,55,0.06291859596967697
55,56,0.06392865628004074
56,57,0.059129975736141205
57,58,0.05900532007217407
58,59,0.06269299983978271
59,60,0.05335824936628342
60,61,0.060359176248311996
61,62,0.05850169435143471
62,63,0.04366493970155716
