from_frame,to_frame,FloLPIPS
0,1,0.24542255699634552
1,2,0.050889752805233
2,3,0.08221736550331116
3,4,0.09122520685195923
4,5,0.09368407726287842
5,6,0.09723374992609024
6,7,0.11297010630369186
7,8,0.0998312309384346
8,9,0.1204000934958458
9,10,0.10014394670724869
10,11,0.11903945356607437
11,12,0.11636044085025787
12,13,0.11870382726192474
13,14,0.106337770819664
14,15,0.1325894445180893
15,16,0.1119336262345314
16,17,0.12242458015680313
17,18,0.09042765200138092
18,19,0.12042069435119629
19,20,0.11388792097568512
20,21,0.12765398621559143
21,22,0.12274332344532013
22,23,0.12208933383226395
23,24,0.11663530766963959
24,25,0.14910703897476196
25,26,0.09854397177696228
26,27,0.1246187761425972
27,28,0.09690090268850327
28,29,0.10751423239707947
29,30,0.1024325042963028
30,31,0.11809758841991425
31,32,0.11532074213027954
32,33,0.10867909342050552
33,34,0.09415274113416672
34,35,0.12754976749420166
35,36,0.11477102339267731
36,37,0.10306398570537567
37,38,0.0993884950876236
38,39,0.09416734427213669
39,40,0.0898604691028595
40,41,0.08023667335510254
41,42,0.07290370762348175
42,43,0.09049460291862488
43,44,0.09377538412809372
44,45,0.09228628873825073
45,46,0.07845215499401093
46,47,0.10573093593120575
47,48,0.09715079516172409
48,49,0.08283344656229019
49,50,0.08758369088172913
50,51,0.10281040519475937
51,52,0.10784047842025757
52,53,0.08690541982650757
53,54,0.09157972037792206
54,55,0.10981020331382751
55,56,0.1192537248134613
56,57,0.10925580561161041
57,58,0.0895923525094986
58,59,0.11391276121139526
59,60,0.10174787789583206
60,61,0.09781777858734131
61,62,0.09937873482704163
62,63,0.10506108403205872
