from_frame,to_frame,FloLPIPS
0,1,0.24231913685798645
1,2,0.14633166790008545
2,3,0.14202818274497986
3,4,0.13487432897090912
4,5,0.13944700360298157
5,6,0.15033578872680664
6,7,0.14748172461986542
7,8,0.158341184258461
8,9,0.16824278235435486
9,10,0.17104607820510864
10,11,0.19019010663032532
11,12,0.22228440642356873
12,13,0.2072618156671524
13,14,0.22624987363815308
14,15,0.22451910376548767
15,16,0.2408183068037033
16,17,0.2233102023601532
17,18,0.22817474603652954
18,19,0.21095570921897888
19,20,0.22265717387199402
20,21,0.20878097414970398
21,22,0.21498838067054749
22,23,0.22105446457862854
23,24,0.2402149736881256
24,25,0.19219335913658142
25,26,0.1654859185218811
26,27,0.1759507805109024
27,28,0.2184959352016449
28,29,0.08266955614089966
29,30,0.13236349821090698
30,31,0.13447418808937073
31,32,0.14286252856254578
32,33,0.11463038623332977
33,34,0.11137741804122925
34,35,0.11984416842460632
35,36,0.12087560445070267
36,37,0.1052619218826294
37,38,0.10770745575428009
38,39,0.1267106980085373
39,40,0.1204928383231163
40,41,0.10069349408149719
41,42,0.0968039333820343
42,43,0.11210997402667999
43,44,0.11577413976192474
44,45,0.10440145432949066
45,46,0.0995650440454483
46,47,0.10779289156198502
47,48,0.11090087890625
48,49,0.09964973479509354
49,50,0.08994875103235245
50,51,0.10756789147853851
51,52,0.1186394989490509
52,53,0.11398254334926605
53,54,0.10522676259279251
54,55,0.10457862168550491
55,56,0.11586350202560425
56,57,0.11298124492168427
57,58,0.10401071608066559
58,59,0.11188153922557831
59,60,0.11993584781885147
60,61,0.10478143393993378
61,62,0.0791967511177063
62,63,0.10646863281726837
