dataset,video,video_id,qp,frame,w1_shape,block_index,block_y,block_x,pixel_y0,pixel_x0,mode,delta,original_bytes,candidate_bytes,actual_delta_bytes,baseline_RGB_MSE,candidate_RGB_MSE,delta_MSE,baseline_PSNR,candidate_PSNR,mode_map_overhead,raw_map_bits,coded_map_bits,estimated_w1_entropy_bits,actual_w1_RANS_bytes,actual_bytes_saved,delta_MSE_per_actual_saved_bit
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,9,0,9,0,36,1,2,7105,7158,53,0.0009554006392136216,0.0009574058931320906,2.005253918468952e-06,30.198144724865614,30.189039036277585,36,1020,31,10754.8916015625,1364,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,9,0,9,0,36,2,4,7105,7158,53,0.0009554006392136216,0.0009574058931320906,2.005253918468952e-06,30.198144724865614,30.189039036277585,36,1020,31,10754.8603515625,1364,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,10,0,10,0,40,1,2,7105,7158,53,0.0009554006392136216,0.0009571478585712612,1.7472193576395512e-06,30.198144724865614,30.190209679687175,36,1020,31,10755.54296875,1364,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,10,0,10,0,40,2,4,7105,7158,53,0.0009554006392136216,0.0009571478585712612,1.7472193576395512e-06,30.198144724865614,30.190209679687175,36,1020,31,10755.5166015625,1364,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,11,0,11,0,44,1,2,7105,7160,55,0.0009554006392136216,0.0009554327698424459,3.213062882423401e-08,30.198144724865614,30.197998671790195,36,1020,31,10774.169921875,1366,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,11,0,11,0,44,2,4,7105,7160,55,0.0009554006392136216,0.0009554327698424459,3.213062882423401e-08,30.198144724865614,30.197998671790195,36,1020,31,10774.154296875,1366,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,12,0,12,0,48,1,2,7105,7159,54,0.0009554006392136216,0.0009550463291816413,-3.543100319802761e-07,30.198144724865614,30.199755603325798,36,1020,31,10761.349609375,1365,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,12,0,12,0,48,2,4,7105,7159,54,0.0009554006392136216,0.0009550463291816413,-3.543100319802761e-07,30.198144724865614,30.199755603325798,36,1020,31,10761.275390625,1365,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,13,0,13,0,52,1,2,7105,7157,52,0.0009554006392136216,0.0009571797563694417,1.7791171558201313e-06,30.198144724865614,30.190064949625004,36,1020,31,10746.1982421875,1363,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,13,0,13,0,52,2,4,7105,7157,52,0.0009554006392136216,0.0009571797563694417,1.7791171558201313e-06,30.198144724865614,30.190064949625004,36,1020,31,10746.134765625,1363,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,14,0,14,0,56,1,2,7105,7159,54,0.0009554006392136216,0.0009561148472130299,7.142079994082451e-07,30.198144724865614,30.194899377289715,36,1020,31,10766.21484375,1365,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,14,0,14,0,56,2,4,7105,7159,54,0.0009554006392136216,0.0009561148472130299,7.142079994082451e-07,30.198144724865614,30.194899377289715,36,1020,31,10766.158203125,1365,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,15,0,15,0,60,1,2,7105,7159,54,0.0009554006392136216,0.0009557630401104689,3.624008968472481e-07,30.198144724865614,30.19649767900212,36,1020,31,10766.294921875,1365,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,15,0,15,0,60,2,4,7105,7159,54,0.0009554006392136216,0.0009557630401104689,3.624008968472481e-07,30.198144724865614,30.19649767900212,36,1020,31,10766.12109375,1365,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,16,0,16,0,64,1,2,7105,7160,55,0.0009554006392136216,0.000955358671490103,-4.196772351861e-08,30.198144724865614,30.198335500863852,37,1020,33,10764.55078125,1365,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,16,0,16,0,64,2,4,7105,7160,55,0.0009554006392136216,0.000955358671490103,-4.196772351861e-08,30.198144724865614,30.198335500863852,37,1020,33,10764.365234375,1365,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,17,0,17,0,68,1,2,7105,7159,54,0.0009554006392136216,0.0009586220257915556,3.2213865779340267e-06,30.198144724865614,30.1835259665673,37,1020,33,10751.55859375,1364,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,17,0,17,0,68,2,4,7105,7159,54,0.0009554006392136216,0.0009586220257915556,3.2213865779340267e-06,30.198144724865614,30.1835259665673,37,1020,33,10751.5283203125,1364,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,18,0,18,0,72,1,2,7105,7159,54,0.0009554006392136216,0.0009547793306410313,-6.213085725903511e-07,30.198144724865614,30.20096991305111,37,1020,33,10758.3076171875,1364,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,18,0,18,0,72,2,4,7105,7159,54,0.0009554006392136216,0.0009547793306410313,-6.213085725903511e-07,30.198144724865614,30.20096991305111,37,1020,33,10758.2373046875,1364,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,19,0,19,0,76,1,2,7105,7159,54,0.0009554006392136216,0.0009552172850817442,-1.8335413187742233e-07,30.198144724865614,30.198978273917362,37,1020,33,10754.71875,1364,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,19,0,19,0,76,2,4,7105,7159,54,0.0009554006392136216,0.0009552172850817442,-1.8335413187742233e-07,30.198144724865614,30.198978273917362,37,1020,33,10754.58984375,1364,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,20,0,20,0,80,1,2,7105,7160,55,0.0009554006392136216,0.0009558899910189211,4.893518052995205e-07,30.198144724865614,30.195920858018432,37,1020,33,10763.310546875,1365,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,20,0,20,0,80,2,4,7105,7160,55,0.0009554006392136216,0.0009558899910189211,4.893518052995205e-07,30.198144724865614,30.195920858018432,37,1020,33,10763.2578125,1365,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,21,0,21,0,84,1,2,7105,7160,55,0.0009554006392136216,0.000956448377110064,1.0477378964424133e-06,30.198144724865614,30.193384654079964,37,1020,33,10761.31640625,1365,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,21,0,21,0,84,2,4,7105,7160,55,0.0009554006392136216,0.000956448377110064,1.0477378964424133e-06,30.198144724865614,30.193384654079964,37,1020,33,10761.2412109375,1365,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,22,0,22,0,88,1,2,7105,7160,55,0.0009554006392136216,0.0009549363167025149,-4.643225111067295e-07,30.198144724865614,30.20025589910368,37,1020,33,10766.373046875,1365,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,22,0,22,0,88,2,4,7105,7160,55,0.0009554006392136216,0.0009549363167025149,-4.643225111067295e-07,30.198144724865614,30.20025589910368,37,1020,33,10766.2705078125,1365,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,23,0,23,0,92,1,2,7105,7159,54,0.0009554006392136216,0.0009541899198666215,-1.210719347000122e-06,30.198144724865614,30.20365175672111,37,1020,33,10754.8193359375,1364,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,23,0,23,0,92,2,4,7105,7159,54,0.0009554006392136216,0.0009541899198666215,-1.210719347000122e-06,30.198144724865614,30.20365175672111,37,1020,33,10754.75390625,1364,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,24,0,24,0,96,1,2,7105,7160,55,0.0009554006392136216,0.0009550496470183134,-3.5099219530820847e-07,30.198144724865614,30.199740515935677,37,1020,33,10761.671875,1365,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,24,0,24,0,96,2,4,7105,7160,55,0.0009554006392136216,0.0009550496470183134,-3.5099219530820847e-07,30.198144724865614,30.199740515935677,37,1020,33,10761.6181640625,1365,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,25,0,25,0,100,1,2,7105,7159,54,0.0009554006392136216,0.0009565621730871499,1.1615338735282421e-06,30.198144724865614,30.192867971461936,37,1020,33,10756.0361328125,1364,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,25,0,25,0,100,2,4,7105,7159,54,0.0009554006392136216,0.0009565621730871499,1.1615338735282421e-06,30.198144724865614,30.192867971461936,37,1020,33,10755.8642578125,1364,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,26,0,26,0,104,1,2,7105,7159,54,0.0009554006392136216,0.0009553115232847631,-8.91159288585186e-08,30.198144724865614,30.198549836184213,37,1020,33,10752.2421875,1364,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,26,0,26,0,104,2,4,7105,7159,54,0.0009554006392136216,0.0009553115232847631,-8.91159288585186e-08,30.198144724865614,30.198549836184213,37,1020,33,10752.193359375,1364,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,27,0,27,0,108,1,2,7105,7159,54,0.0009554006392136216,0.0009539439342916012,-1.4567049220204353e-06,30.198144724865614,30.204771491358365,37,1020,33,10753.005859375,1364,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,27,0,27,0,108,2,4,7105,7159,54,0.0009554006392136216,0.0009539439342916012,-1.4567049220204353e-06,30.198144724865614,30.204771491358365,37,1020,33,10752.958984375,1364,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,28,0,28,0,112,1,2,7105,7160,55,0.0009554006392136216,0.0009551245020702481,-2.761371433734894e-07,30.198144724865614,30.19940013716937,37,1020,33,10758.763671875,1365,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,28,0,28,0,112,2,4,7105,7160,55,0.0009554006392136216,0.0009551245020702481,-2.761371433734894e-07,30.198144724865614,30.19940013716937,37,1020,33,10758.74609375,1365,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,29,0,29,0,116,1,2,7105,7160,55,0.0009554006392136216,0.0009556746226735413,2.739834599196911e-07,30.198144724865614,30.196899462494585,37,1020,33,10761.1650390625,1365,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,29,0,29,0,116,2,4,7105,7160,55,0.0009554006392136216,0.0009556746226735413,2.739834599196911e-07,30.198144724865614,30.196899462494585,37,1020,33,10761.125,1365,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,30,1,0,4,0,1,2,7105,7159,54,0.0009554006392136216,0.0009586931555531919,3.292516339570284e-06,30.198144724865614,30.183203731983312,37,1020,33,10753.4296875,1364,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,30,1,0,4,0,2,4,7105,7159,54,0.0009554006392136216,0.0009586931555531919,3.292516339570284e-06,30.198144724865614,30.183203731983312,37,1020,33,10753.4140625,1364,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,31,1,1,4,4,1,2,7105,7159,54,0.0009554006392136216,0.0009587558452039957,3.3552059903740883e-06,30.198144724865614,30.182919752910955,37,1020,33,10762.1474609375,1364,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,31,1,1,4,4,2,4,7105,7158,53,0.0009554006392136216,0.0009580034529790282,2.6028137654066086e-06,30.198144724865614,30.18632925569644,37,1020,33,10749.767578125,1363,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,32,1,2,4,8,1,2,7105,7158,53,0.0009554006392136216,0.0009542024927213788,-1.1981464922428131e-06,30.198144724865614,30.20359453241643,37,1020,35,10749.4453125,1363,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,32,1,2,4,8,2,4,7105,7158,53,0.0009554006392136216,0.0009542024927213788,-1.1981464922428131e-06,30.198144724865614,30.20359453241643,37,1020,35,10749.3720703125,1363,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,33,1,3,4,12,1,2,7105,7159,54,0.0009554006392136216,0.0009559598402120173,5.592009983956814e-07,30.198144724865614,30.19560352013295,37,1020,35,10757.73828125,1364,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,33,1,3,4,12,2,4,7105,7159,54,0.0009554006392136216,0.0009559598402120173,5.592009983956814e-07,30.198144724865614,30.19560352013295,37,1020,35,10757.6962890625,1364,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,34,1,4,4,16,1,2,7105,7158,53,0.0009554006392136216,0.0009545775828883052,-8.230563253164291e-07,30.198144724865614,30.20188768735984,37,1020,35,10746.28125,1363,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,34,1,4,4,16,2,4,7105,7158,53,0.0009554006392136216,0.0009545775828883052,-8.230563253164291e-07,30.198144724865614,30.20188768735984,37,1020,35,10746.220703125,1363,False,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,1,1x64x68x120,35,1,5,4,20,1,2,7105,7159,54,0.0009554006392136216,0.0009553840500302613,-1.658918336033821e-08,30.198144724865614,30.19822013462615,37,1020,35,10758.7353515625,1364,False,
