branch,step,global_step,position,qp,R_est_bpp,LPIPS,DISTS,proxy_L1,PSNR,MS_SSIM,frame_objective
clip8,1,20001,1,2,0.008064884692430496,0.07119879126548767,0.14464515447616577,0.0908951610326767,33.157038006319894,0.9638552069664001,0.3562978208065033
clip8,1,20001,2,2,0.004730945453047752,0.07295969128608704,0.14617252349853516,0.09035134315490723,32.93313577732603,0.9629139304161072,0.30189424753189087
clip8,1,20001,3,2,0.0020389959681779146,0.07461534440517426,0.15633118152618408,0.08966086804866791,32.304065676290264,0.9583908915519714,0.26712343096733093
clip8,1,20001,4,2,0.0015131976688280702,0.0806533694267273,0.17921721935272217,0.0886976569890976,31.12020820281025,0.9516088366508484,0.2869400978088379
clip8,1,20001,5,2,0.006417989730834961,0.08071693778038025,0.1600724458694458,0.08767354488372803,31.762558249847352,0.9501713514328003,0.3527151942253113
clip8,1,20001,6,2,0.0037175617180764675,0.08303658664226532,0.17387735843658447,0.0865836963057518,30.73632442303412,0.9465815424919128,0.32210397720336914
clip8,1,20001,7,2,0.0029221903532743454,0.08245387673377991,0.16716879606246948,0.08568760752677917,30.86713316038288,0.944878101348877,0.3010415732860565
clip8,2,20002,1,3,0.014556762762367725,0.11608254909515381,0.1497095823287964,0.05846450477838516,28.859065136245917,0.9220013618469238,0.5182492733001709
clip8,2,20002,2,3,0.00719418516382575,0.11281362175941467,0.15033572912216187,0.05850435793399811,29.110499547578158,0.9259063005447388,0.3882138133049011
clip8,2,20002,3,3,0.0015454444801434875,0.11427389830350876,0.1522808074951172,0.05850699543952942,29.307135943654448,0.9259764552116394,0.29388028383255005
clip8,2,20002,4,3,0.001820598728954792,0.11393909156322479,0.16191864013671875,0.058544453233480453,29.427405160662367,0.9301638603210449,0.3079445958137512
clip8,2,20002,5,3,0.007656602188944817,0.10931607335805893,0.1489543914794922,0.058484673500061035,29.77716756785235,0.9340049028396606,0.3913358449935913
clip8,2,20002,6,3,0.004596068058162928,0.10225092619657516,0.16502773761749268,0.058318883180618286,29.85311211579072,0.9347367286682129,0.3473866283893585
clip8,2,20002,7,3,0.001997069688513875,0.1076158881187439,0.17136776447296143,0.058464955538511276,29.94587629973892,0.9386858940124512,0.3141231834888458
clip8,3,20003,1,1,0.01421879418194294,0.1806233525276184,0.1506667137145996,0.09710061550140381,24.30281575094277,0.8228940367698669,0.5782857537269592
clip8,3,20003,2,1,0.0019874731078743935,0.17865779995918274,0.14669203758239746,0.09706642478704453,24.405217119980236,0.8248409032821655,0.3607093095779419
clip8,3,20003,3,1,0.00017532840138301253,0.17889590561389923,0.15351611375808716,0.09723633527755737,24.45256323997206,0.8263956904411316,0.3364180326461792
clip8,3,20003,4,1,0.0002488529426045716,0.1829492598772049,0.15652132034301758,0.09709136188030243,24.21415515469118,0.8246409296989441,0.34474730491638184
clip8,3,20003,5,1,0.0018596777226775885,0.1811521351337433,0.14793497323989868,0.09735023975372314,24.59773126478884,0.8279333114624023,0.36223819851875305
clip8,3,20003,6,1,0.00021132937399670482,0.18309196829795837,0.148503839969635,0.09736528247594833,24.544345849155587,0.8263079524040222,0.33622604608535767
clip8,3,20003,7,1,0.00011060264660045505,0.18498879671096802,0.14957380294799805,0.0972675085067749,24.483638153782813,0.8244391679763794,0.33744901418685913
clip8,4,20004,1,3,0.013823549263179302,0.0618559792637825,0.12312716245651245,0.10075998306274414,28.227810283263093,0.9411219954490662,0.42517659068107605
clip8,4,20004,2,3,0.0030872852075845003,0.05826188623905182,0.12304562330245972,0.10073864459991455,28.75311415210763,0.9437332153320312,0.2357335239648819
clip8,4,20004,3,3,0.00014839133655186743,0.05881034582853317,0.11821484565734863,0.1007419154047966,28.675365323369352,0.9438811540603638,0.18060021102428436
clip8,4,20004,4,3,0.0002719656331464648,0.05856001749634743,0.1190725564956665,0.1007702574133873,28.674105862402435,0.9433825016021729,0.18334603309631348
clip8,4,20004,5,3,0.0031312943901866674,0.057519763708114624,0.1214745044708252,0.1007906049489975,28.966164736447034,0.945101261138916,0.23418226838111877
clip8,4,20004,6,3,0.001259437296539545,0.05797833204269409,0.12144380807876587,0.10076667368412018,28.78065216400953,0.9441258311271667,0.2022215723991394
