branch,step,beta,qp,video,start,crop_x,crop_y,loss,LPIPS,DISTS,R_est_bpp,proxy_L1,PSNR,MS_SSIM,wrapper_gradient_norm,bridge_gradient_norm,generator_gradient_norm,all_finite
beta_low,1,8.651391137770222,1,clips_long_1920/a7192cd4-e09e-4cf8-bf6a-68713113eed6.mp4,518,1456,625,0.4454008638858795,0.22288767000039417,0.1584208408991496,0.007373575024151553,0.03006565819183986,24.897520153452305,0.8199660181999207,0.31462423200265,2.780726606886197,1.2034359981816167,True
beta_low,2,8.651391137770222,2,clips_long_1920/8301a9d8-109e-4743-8806-d0f0af40b376.mp4,392,672,555,0.39046088606119156,0.20005708436171216,0.1529433329900106,0.004304270036906625,0.022252673283219337,24.494077331780353,0.6361640890439351,0.4521166836702027,2.8624101679861007,1.4297792087729364,True
beta_low,3,8.651391137770222,3,clips_long_1920/63bf7497-ac25-4758-9ec3-e7fcb6d72dd4.mp4,335,843,217,0.36806025356054306,0.14095745980739594,0.17394942045211792,0.006115544044102232,0.024538654213150345,26.951962550544515,0.8248679041862488,0.46544828931382287,1.9016719120539587,1.4018204049769618,True
beta_low,4,8.651391137770222,3,clips_long_1920/8d11168a-c9a2-4d85-beed-0db29c1f66ca.mp4,14094,621,751,0.2776123285293579,0.08967135846614838,0.13275132576624551,0.006347533567653349,0.027462971707185112,26.682607918889595,0.9158307313919067,0.23654112022742282,1.9842556356854133,0.6582013070612827,True
beta_low,5,8.651391137770222,1,clips_long_1920/8c4f5445-bbac-4e77-a1fe-c713c1a52160.mp4,396,508,537,0.3373425006866455,0.14260619382063547,0.15019959211349487,0.0051193537122647586,0.024715605502327286,23.02410819427373,0.8211368123690287,0.3398777350136418,1.5084961949577398,0.619257712214692,True
beta_low,6,8.651391137770222,3,clips_long_1920/d714aca8-24cb-497e-99b9-71d2f40de403.mp4,353,1063,218,0.37686703354120255,0.1638138641913732,0.1444873611132304,0.007892293710028753,0.02864790832002958,20.731773246964785,0.7851547797520955,0.15034820017940456,1.5733466056915555,0.8703613141169811,True
beta_low,7,8.651391137770222,1,clips_long_1920/e9df081c-7275-4512-a9e9-05f36df1275a.mp4,144,785,748,0.43455280363559723,0.21988461414972943,0.16480010747909546,0.005735745115089231,0.02458908222615719,20.432001542153593,0.5766295591990153,0.44534784496748,1.7982699561351434,1.0441411358605233,True
beta_low,8,8.651391137770222,2,clips_long_1920/ab764517-e437-4c31-be56-9435c7495f8f.mp4,114,644,665,0.46457791328430176,0.22504077355066932,0.17743714650472006,0.0071589231908243765,0.016534481197595596,27.299780238866983,0.7678550481796265,0.5762396888183594,2.4688673415418654,1.1009763115604554,True
beta_low,9,8.651391137770222,2,clips_long_1920/5c04bd02-87a0-4e02-a60b-98daa7fe967b.mp4,157,693,156,0.3131866455078125,0.1273284157117208,0.11820060014724731,0.007790484844008461,0.0259096318235,28.733554704974964,0.9299472173055012,0.5482959145383067,2.595419461534697,1.2480897198385996,True
beta_low,10,8.651391137770222,3,clips_long_1920/8781eb18-883c-4c7c-854f-08005b26bafb.mp4,371,990,786,0.2661377638578415,0.07038090874751408,0.12749902407328287,0.007868686535706123,0.018275155996282898,31.385627670423908,0.9428098996480305,0.2502043039999083,0.762171172760233,0.5915190720236096,True
beta_low,11,8.651391137770222,0,clips_long_1920/df762f3b-6ad3-412c-9b9e-b89c0f7f799b.mp4,7,951,710,0.3625712916254997,0.16364042460918427,0.15311765670776367,0.005271324732651313,0.020888864994049072,24.870800075515433,0.8393187721570332,0.20033731611677288,1.232957539792327,0.5429338716345763,True
beta_low,12,8.651391137770222,1,clips_long_1920/0afea32e-818b-4261-ad5b-766a5800b185.mp4,295,239,295,0.14317099377512932,0.048625535021225616,0.0807982087135315,0.0015757366757801112,0.011494036763906479,41.475847687699314,0.9895653525988262,1.4213113512128381,1.3334567399142598,1.4014813261358456,True
beta_low,13,8.651391137770222,1,clips_long_1920/1e50e681-0fe3-4dbc-a74a-b4b35ababd9e.mp4,222,791,65,0.3335283249616623,0.15684711933135986,0.14069084326426187,0.004141820468551789,0.015786492576201756,25.507455332307835,0.8311321338017782,0.1673775662077457,1.3045834532175333,0.7393862908060237,True
beta_low,14,8.651391137770222,2,clips_long_1920/094410ce-620a-4adf-8a64-7006c6577a73.mp4,704,602,250,0.406928151845932,0.1715370168288549,0.17199522256851196,0.007309460643834123,0.01588996065159639,24.5266138154482,0.7888277570406597,0.12760657017828247,1.452893270095266,0.7315047763872379,True
beta_low,15,8.651391137770222,3,clips_long_1920/32a56ed6-a21a-44b7-8486-ff14b9f70fd0.mp4,29,1067,643,0.34322571009397507,0.10854869584242502,0.1583402156829834,0.00879369955509901,0.025906392062703773,35.4758946496695,0.9607267578442893,1.8561003858172338,1.9244948346378987,2.8201553608249292,True
beta_low,16,8.651391137770222,3,clips_long_1920/7d8e5a02-be32-4cc6-b148-a3850e214f80.mp4,216,99,408,0.28476934134960175,0.09823208550612134,0.12647881110509235,0.006926085877542694,0.013815638919671379,31.31788988575851,0.9338013132413228,0.991243143262736,1.7693094837948506,0.8130641782470285,True
beta_low,17,8.651391137770222,2,clips_long_1920/e3ab1747-f780-4269-93cb-ca506a4d6496.mp4,106,69,439,0.3344099074602127,0.10311077535152435,0.15679991245269775,0.008594595671941836,0.014400932006537914,29.412006154119332,0.9113603830337524,0.1624272066170257,0.6006939146966555,0.35225965261389314,True
beta_low,18,8.651391137770222,3,clips_long_1920/813d41fe-59d2-404e-ae72-c8b4f5d2c1d2.mp4,167,1582,79,0.1206425204873085,0.022461869443456333,0.08611770470937093,0.001369969182026883,0.021080531800786652,40.36767985652285,0.9923324584960938,0.6917028519404755,0.7101478786550935,0.6486026669262945,True
beta_low,19,8.651391137770222,2,clips_long_1920/af69e18c-d3d6-4e01-8320-9a500f4c06d0.mp4,455,906,456,0.43834376335144043,0.25164810816446936,0.13662487268447876,0.005770711325264226,0.01461003441363573,28.77712156717159,0.8120575149854026,0.8344618891452966,2.9475477339123617,2.3404393135071873,True
beta_low,20,8.651391137770222,0,clips_long_1920/1f005c08-47a2-4d31-a50f-6e387e69fced.mp4,35,820,115,0.3123461678624153,0.1044085348645846,0.16658109426498413,0.004758636777599653,0.01876993104815483,25.363944218683248,0.9135656356811523,0.4501940647568639,1.1290746593641483,0.6548742773401891,True
beta_low,21,8.651391137770222,0,clips_long_1920/88a60458-dc5f-4e54-b894-3d689c276bd4.mp4,316,1086,265,0.5073909163475037,0.29344725608825684,0.1718600591023763,0.0048377030179835865,0.02307366393506527,18.061601720762717,0.4723480542500814,0.39057146802053694,2.173763149968963,1.4406906759658211,True
beta_low,22,8.651391137770222,3,clips_long_1920/f096afc3-248a-4bee-895d-e37868c73bf5.mp4,163,375,19,0.07260222360491753,0.01418871246278286,0.04806238412857056,0.0011677589500322938,0.024838444466392204,45.526714409709996,0.9964957237243652,1.1001873093708905,0.9813836917242486,1.1864730129054593,True
beta_low,23,8.651391137770222,2,clips_long_1920/5c04bd02-87a0-4e02-a60b-98daa7fe967b.mp4,285,1365,467,0.4095652997493744,0.18993402024110156,0.17020603020985922,0.005671301420079543,0.0360583079357942,18.658770544109082,0.7337671717007955,0.4325087970960615,2.4263814577958156,1.1515237190528569,True
beta_low,24,8.651391137770222,0,clips_long_1920/515c5391-97c3-40db-9f90-e44dd0ee7137.mp4,381,281,360,0.23418086022138596,0.05798079073429108,0.154523233572642,0.0024828583700582385,0.019665110235412914,30.242679047989228,0.9662850896517435,0.5254267735031366,0.6065468073271246,0.6264781337772556,True
beta_low,25,8.651391137770222,3,clips_long_1920/284e05d8-1a1f-4931-b763-8c52137ab281.mp4,167,389,82,0.3548699989914894,0.14334814250469208,0.12782384951909384,0.009654450230300426,0.017358167717854183,28.96825203086521,0.882785975933075,0.6408447999961662,1.8504569909868738,0.9537593363818413,True
beta_low,26,8.651391137770222,1,clips_long_1920/3bc52d95-08ce-4662-b0d4-692dfb11fef2.mp4,157,604,485,0.4445550739765167,0.22719693183898926,0.1770907441775004,0.004626542863358433,0.024134289473295212,23.823281288816034,0.6564802527427673,0.6335725111001539,4.370464641743846,1.923297633572873,True
beta_low,27,8.651391137770222,3,clips_long_1920/ea3e430f-b90d-4f90-ab8c-d81b3ef74fe3.mp4,866,1560,190,0.23781661316752434,0.05671500290433566,0.11715251207351685,0.007369473363117625,0.019290484488010406,30.45148112298408,0.9641658266385396,0.21380957038036588,0.6602133927780162,0.46934305451127495,True
beta_low,28,8.651391137770222,1,clips_long_1920/dfbb317f-9d22-48ae-bfa1-d9d0df24eb0b.mp4,7,823,311,0.38319987058639526,0.16646177570025125,0.17114124695460003,0.005239646229407905,0.026661879693468407,28.10911426901179,0.8353846867879233,0.28963894113884936,2.081638276369769,1.0246658088796359,True
beta_low,29,8.651391137770222,3,clips_long_1920/fde56368-2050-4992-8da3-7d4c787a5c65.mp4,21,540,5,0.25331632047891617,0.060831931730111435,0.11056880156199136,0.009442524363597235,0.022461118797461193,29.86138713463822,0.9318052132924399,0.3302662334728122,0.9984555146877367,0.6816098891071891,True
beta_low,30,8.651391137770222,1,clips_long_1920/5555262d-c617-4348-baab-82968f51d0ee.mp4,293,561,25,0.0687489714473486,0.013169256038963795,0.04747859636942546,0.0009206432926778992,0.013627424836158752,40.00240671251706,0.9927897850672402,0.37439200671851175,0.8411330282166763,0.7288478713816893,True
beta_low,31,8.651391137770222,3,clips_long_1920/263edeeb-ede0-409e-bc41-9723be330c9d.mp4,188,861,271,0.6080437749624252,0.2794856131076813,0.24263862768809003,0.009897836639235416,0.028946517656246822,19.02861735372136,0.5534326235453287,0.2463915617757815,1.3124398145006084,0.8726796688065387,True
beta_low,32,8.651391137770222,2,clips_long_1920/0afea32e-818b-4261-ad5b-766a5800b185.mp4,29,1137,585,0.25354456156492233,0.06502983222405116,0.15060889720916748,0.004357573440453658,0.020676116769512493,35.19106535371995,0.9635592500368754,0.41181790096985665,1.3228542707761375,1.6141090246898593,True
beta_low,33,8.651391137770222,0,clips_long_1920/8ce33744-fe42-49bc-a589-cf1f53d466b5.mp4,97,1547,523,0.495724618434906,0.21961724261442822,0.22613205512364704,0.005751070430657516,0.022053501258293785,21.616172994672873,0.7976507544517517,0.23366974838350288,2.677832875816798,0.959706404548387,True
beta_low,34,8.651391137770222,0,clips_long_1920/71769ca7-8bb0-4a23-8eb1-7cc58e7c6ac3.mp4,211,1639,456,0.6085098683834076,0.33323691288630164,0.23665014902750653,0.00444447838041621,0.017186777666211128,25.58555574419634,0.6402393579483032,0.7746427715513478,4.966619854196394,2.533851635879545,True
beta_low,35,8.651391137770222,1,clips_long_1920/0d25d1f1-4f25-4165-9947-c28c603a44c8.mp4,19560,1514,339,0.29688597470521927,0.08179771900177002,0.19529759883880615,0.0022626656864304096,0.021544888615608215,25.347085192024473,0.9330504536628723,0.3409731692268533,1.2001026882408012,0.9311783149397942,True
beta_low,36,8.651391137770222,2,clips_long_1920/f272caa3-4fa7-4fde-b5d6-fe80a8612d34.mp4,375,576,659,0.36002470552921295,0.13124986489613852,0.1523961822191874,0.008804166534294685,0.02103538562854131,24.741772753321783,0.8753984173138936,0.28179659873321217,0.9357648140019498,0.5137781611143855,True
beta_low,37,8.651391137770222,0,clips_long_1920/f9e0484b-6bd1-42c9-8e81-dd6f44fb656f.mp4,207,668,104,0.4077816903591156,0.1836331139008204,0.18591471513112384,0.004394039705706139,0.021928544466694195,20.560014090450377,0.8276640375455222,0.2948754026201841,1.6830631447873827,0.7578609388639304,True
beta_low,38,8.651391137770222,0,clips_long_1920/87e6e886-0f93-4640-80c8-8d5752c4a5bd.mp4,140,1265,667,0.13440711796283722,0.031304054583112396,0.07875833908716837,0.0027851291621724767,0.024948159853617348,32.12944052214128,0.9806964794794717,0.1559845019659904,0.6581979493603836,0.4210467306705578,True
beta_low,39,8.651391137770222,1,clips_long_1920/e9df081c-7275-4512-a9e9-05f36df1275a.mp4,439,1106,10,0.07917711138725281,0.008126155783732733,0.06118530035018921,0.0011132701959771414,0.02343163453042507,37.62539006499917,0.9984548687934875,0.6993913111355841,1.07933849407868,1.5740115266059778,True
beta_low,40,8.651391137770222,0,clips_long_1920/fde56368-2050-4992-8da3-7d4c787a5c65.mp4,246,513,801,0.396161288022995,0.18642869095007578,0.1860615611076355,0.0027079079300165176,0.024384360139568646,27.227686735192602,0.840406874815623,0.5754400216026122,2.6238301435072797,1.2334649473344257,True
