video,frame,gradient_l2,gradient_nonzero,finite
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,0.0011155182162679302,True,True
c227e33d-910e-4e39-a325-0fe1d1116436,1,9.974992599340886e-05,True,True
