video,frame,candidate,mse_old,mse_repeat,mse_abs_error,lpips_old,lpips_repeat,lpips_abs_error
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,Z_ORIGINAL,0.023577595796089666,0.023577595796089666,0.0,0.23075713217258453,0.23075713217258453,0.0
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,O1_s000,0.023577595796089666,0.023577595796089666,0.0,0.23075713217258453,0.23075713217258453,0.0
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,O1_s025,0.023577595796089666,0.023577595796089666,0.0,0.23075713217258453,0.23075713217258453,0.0
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,O1_s050,0.018243667517531082,0.018243667517531082,0.0,0.3744375705718994,0.3744375705718994,0.0
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,O1_s100,0.016996164469051014,0.016996164469051014,0.0,0.38104256987571716,0.38104256987571716,0.0
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,O1_s150,0.016648581975637435,0.016648581975637435,0.0,0.38363197445869446,0.38363197445869446,0.0
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,O2_s000,0.023577595796089666,0.023577595796089666,0.0,0.23075713217258453,0.23075713217258453,0.0
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,O2_s025,0.023577595796089666,0.023577595796089666,0.0,0.23075713217258453,0.23075713217258453,0.0
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,O2_s050,0.01830663691436308,0.01830663691436308,0.0,0.3682136535644531,0.3682136535644531,0.0
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,O2_s100,0.01701139090456249,0.01701139090456249,0.0,0.37310394644737244,0.37310394644737244,0.0
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,O2_s150,0.01665961776866555,0.01665961776866555,0.0,0.3853074312210083,0.3853074312210083,0.0
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,Z_ORIGINAL,0.02414470016951885,0.02414470016951885,0.0,0.22643356025218964,0.22643356025218964,0.0
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,O1_s000,0.02414470016951885,0.02414470016951885,0.0,0.22643356025218964,0.22643356025218964,0.0
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,O1_s025,0.02414470016951885,0.02414470016951885,0.0,0.22643356025218964,0.22643356025218964,0.0
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,O1_s050,0.018714769289807916,0.018714769289807916,0.0,0.3703373670578003,0.3703373670578003,0.0
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,O1_s100,0.017255502984552265,0.017255502984552265,0.0,0.37822863459587097,0.37822863459587097,0.0
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,O1_s150,0.016776748185615996,0.016776748185615996,0.0,0.3856227695941925,0.3856227695941925,0.0
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,O2_s000,0.023887855572734245,0.023887855572734245,0.0,0.22657246887683868,0.22657246887683868,0.0
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,O2_s025,0.023887855572734245,0.023887855572734245,0.0,0.22657246887683868,0.22657246887683868,0.0
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,O2_s050,0.01820375764438462,0.01820375764438462,0.0,0.3517088294029236,0.3517088294029236,0.0
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,O2_s100,0.01709296939431728,0.01709296939431728,0.0,0.36804455518722534,0.36804455518722534,0.0
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,O2_s150,0.01677609866509912,0.01677609866509912,0.0,0.36693301796913147,0.36693301796913147,0.0
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,Z_ORIGINAL,0.023966150225914484,0.023966150225914484,0.0,0.22311259806156158,0.22311259806156158,0.0
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,O1_s000,0.02355078118591387,0.02355078118591387,0.0,0.2234172523021698,0.2234172523021698,0.0
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,O1_s025,0.02355078118591387,0.02355078118591387,0.0,0.2234172523021698,0.2234172523021698,0.0
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,O1_s050,0.01807609232674627,0.01807609232674627,0.0,0.33067113161087036,0.33067113161087036,0.0
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,O1_s100,0.01717206918065731,0.01717206918065731,0.0,0.35327786207199097,0.35327786207199097,0.0
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,O1_s150,0.016727226544340577,0.016727226544340577,0.0,0.36078453063964844,0.36078453063964844,0.0
