split,video,frame,type,zero_enhancement_exact_BASE_ORIGINAL,base_original_hash,new_zero_hash,independent_original_hash,valid_hw,padding_excluded,max_abs_diff,new_zero_vs_BASE_ORIGINAL_max_abs_diff,BASE_ORIGINAL_vs_cached_base_max_abs_diff,cached_base_exact_BASE_ORIGINAL
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,4,P,True,5febcd6a4141956ac98437058ef85943f775d8f19b4f9a27159a84911d8c55f3,5febcd6a4141956ac98437058ef85943f775d8f19b4f9a27159a84911d8c55f3,7e8028852e46f466eb134b82c219a43255c279934c26d57d645f2ff9e9e95117,"[1080, 1920]",True,,0.0,0.005029410123825073,False
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,5,P,True,c8c7a561fff04882a46871dc60a2e10aa9f0f9a1d26f1ed9bcf306191773ba5c,c8c7a561fff04882a46871dc60a2e10aa9f0f9a1d26f1ed9bcf306191773ba5c,91046b2e1efe0b5a1ea39bc717ef0f3b5b968dc309e7459b27bc0b8ad4c53bed,"[1080, 1920]",True,,0.0,0.004288703203201294,False
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,6,P,True,721d1eaef4afa326d036225a60b64caa29dabb23a744826ba21968fa4e43e7b4,721d1eaef4afa326d036225a60b64caa29dabb23a744826ba21968fa4e43e7b4,b6cc0e14fe4824be887e1d28a12cf48d03668a6fe2a5af2fe3af8b1bbf6810dd,"[1080, 1920]",True,,0.0,0.00421828031539917,False
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,7,P,True,dd3cca9d4a9438f0055021ed411f65e55c1d18dd55f45d1c0e5d9bf4a3201e57,dd3cca9d4a9438f0055021ed411f65e55c1d18dd55f45d1c0e5d9bf4a3201e57,942e255e48e03967c9fe1a74d8f769a5626c79e2e8309ea0f05cb8da3060cbeb,"[1080, 1920]",True,,0.0,0.005670100450515747,False
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,8,P,True,09066986e429e74c85d01240907cd59008015d0001925aa98ca7f35c561965a0,09066986e429e74c85d01240907cd59008015d0001925aa98ca7f35c561965a0,42a3ec2c1908df60d595d26189a98601e92fbc6213159c0b9021a615b35e75b1,"[1080, 1920]",True,,0.0,0.0034171342849731445,False
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,9,P,True,a09425791499fc54c80a86c642f98872db991d29833ee31f6c4641050dec6a09,a09425791499fc54c80a86c642f98872db991d29833ee31f6c4641050dec6a09,1d3d60e3ea863ce63dcd0e6504f79cd16c0fd53fb0a2fdff0e0b177436a8f6c4,"[1080, 1920]",True,,0.0,0.004798382520675659,False
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,10,P,True,c56f4d7ec187c2c91090b97063012b327db00651eb8a5055b6ecf56858b2472b,c56f4d7ec187c2c91090b97063012b327db00651eb8a5055b6ecf56858b2472b,92a724dd9c4212ad83420c994fbce2f792fe502eced25aa5e391f38e67261d66,"[1080, 1920]",True,,0.0,0.0053397417068481445,False
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,11,P,True,7502b9936a3dcd6c1dc9ca940d62027c852174778c954884d285e87c0de66464,7502b9936a3dcd6c1dc9ca940d62027c852174778c954884d285e87c0de66464,ed8132e0ded03cd34baf76a653f0f89b950371e9943e329d363943203597cea1,"[1080, 1920]",True,,0.0,0.005241125822067261,False
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,12,P,True,5bfc8b1e2f9a7572a12f6c717c54257d7ba3b1c4b5e27f34fa0dbdc15737ef1c,5bfc8b1e2f9a7572a12f6c717c54257d7ba3b1c4b5e27f34fa0dbdc15737ef1c,34c7c368d08525253e36701383956b5c72492f7fc5194a9eed5320cb390f2d7c,"[1080, 1920]",True,,0.0,0.007464736700057983,False
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,13,P,True,b5ce33dead49810fb3b9551a986fad81958d53a32cceb131f45fd2e4405874e6,b5ce33dead49810fb3b9551a986fad81958d53a32cceb131f45fd2e4405874e6,18ad544eed727064fa6bcf3bdbc47ca7d5157cc80712b2bf21f0942d56f5fcff,"[1080, 1920]",True,,0.0,0.006414979696273804,False
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,14,P,True,798ee92e01bee8a48cfd86c4dc87336ef22d4a427ed29075d4fe7314fa57570d,798ee92e01bee8a48cfd86c4dc87336ef22d4a427ed29075d4fe7314fa57570d,a512627de4f2fc5fca0c6628a52b41bf489ecfc1a88e8a5330ee66793cd3aee6,"[1080, 1920]",True,,0.0,0.0065025389194488525,False
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,15,P,True,8f86ad77269b1795c73936209400f19946a13cf7425b149d8674a8256b3ac3cf,8f86ad77269b1795c73936209400f19946a13cf7425b149d8674a8256b3ac3cf,c8e45e5ded9a33caf02c749d595fa3f36c676651f77cd3e2eba48fcf72a6055d,"[1080, 1920]",True,,0.0,0.004942357540130615,False
