split,video,alpha,scope,comparison_type,M2_base_bytes,M2_enhancement_bytes,M2_total_bytes,M2_budget_bytes,M2_stream_sent,M2_selected_label_nonzero_frames,M2_actual_nonzero_frames,M2_Z_count,M2_E_count,M2_O1_count,M2_O2_count,M2_psnr,M2_ms_ssim,M2_lpips,M2_psnr_minus_ZERO,M2_ms_ssim_minus_ZERO,M2_lpips_minus_ZERO,M4_base_bytes,M4_enhancement_bytes,M4_total_bytes,M4_budget_bytes,M4_stream_sent,M4_selected_label_nonzero_frames,M4_actual_nonzero_frames,M4_Z_count,M4_E_count,M4_O1_count,M4_O2_count,M4_psnr,M4_ms_ssim,M4_lpips,M4_psnr_minus_ZERO,M4_ms_ssim_minus_ZERO,M4_lpips_minus_ZERO,M4_minus_M2_enhancement_bytes,M4_minus_M2_total_bytes,M4_minus_M2_actual_nonzero_frames,M4_minus_M2_psnr,M4_minus_M2_ms_ssim,M4_minus_M2_lpips,M4_minus_M2_psnr_minus_ZERO,M4_minus_M2_ms_ssim_minus_ZERO,M4_minus_M2_lpips_minus_ZERO
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,0.1,P,"same budget upper bound, not same actual rate",13098.0,1281.0,14379.0,1309.0,True,2.0,2.0,13.0,2.0,0.0,0.0,29.679837753951244,0.9035209701515202,0.16971326470375062,0.10561592236006945,0.0017623883772338589,-0.005849187572797121,13098.0,1236.0,14334.0,1309.0,True,2.0,2.0,13.0,1.0,1.0,0.0,29.681420025713486,0.9033807077335873,0.17015593151251476,0.10719819412231146,0.0016221259593008908,-0.005406520764032974,-45.0,-45.0,0.0,0.0015822717622420157,-0.00014026241793296812,0.0004426668087641472,0.0015822717622420157,-0.00014026241793296812,0.0004426668087641472
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,0.1,IP,"same budget upper bound, not same actual rate",13098.0,1281.0,14379.0,1309.0,True,2.0,2.0,13.0,2.0,0.0,0.0,29.47258172038483,0.8979909403548912,0.17331257835030556,0.09901492721256488,0.0016522391036567496,-0.005483613349497318,13098.0,1236.0,14334.0,1309.0,True,2.0,2.0,13.0,1.0,1.0,0.0,29.474065100161933,0.8978594443380791,0.17372757848352194,0.10049830698966744,0.0015207430868445782,-0.005068613216280937,-45.0,-45.0,0.0,0.0014833797771025559,-0.0001314960168121715,0.0004150001332163811,0.0014833797771025559,-0.0001314960168121715,0.0004150001332163811
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,0.25,P,"same budget upper bound, not same actual rate",13098.0,3105.0,16203.0,3274.0,True,5.0,5.0,10.0,5.0,0.0,0.0,29.81767328443976,0.9059114612761996,0.1610457867383957,0.2434514528485856,0.004152879501913231,-0.014516665538152035,13098.0,3227.0,16325.0,3274.0,True,6.0,6.0,9.0,2.0,4.0,0.0,29.855446691092073,0.9061207657740664,0.16036218106746675,0.2812248595008988,0.004362183999780056,-0.01520027120908099,122.0,122.0,1.0,0.03777340665231321,0.0002093044978668246,-0.0006836056709289551,0.03777340665231321,0.0002093044978668246,-0.0006836056709289551
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,0.25,IP,"same budget upper bound, not same actual rate",13098.0,3105.0,16203.0,3274.0,True,5.0,5.0,10.0,5.0,0.0,0.0,29.601802530217814,0.9002320257842782,0.16518681775778532,0.2282357370455479,0.003893324533043696,-0.013609373942017555,13098.0,3227.0,16325.0,3274.0,True,6.0,6.0,9.0,2.0,4.0,0.0,29.637215098954357,0.9004282487510283,0.16454593744128942,0.2636483057820911,0.004089547499793844,-0.01425025425851345,122.0,122.0,1.0,0.03541256873654319,0.00019622296675014805,-0.0006408803164958954,0.03541256873654319,0.00019622296675014805,-0.0006408803164958954
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,0.5,P,"same budget upper bound, not same actual rate",13098.0,6104.0,19202.0,6549.0,True,10.0,10.0,5.0,10.0,0.0,0.0,30.006789144533844,0.9094053179961838,0.14713596900304157,0.4325673129426697,0.007646736221897488,-0.028426483273506165,13098.0,6504.0,19602.0,6549.0,True,12.0,12.0,3.0,6.0,6.0,0.0,30.07357304578026,0.9098858865319949,0.14550040066242217,0.4993512141890868,0.008127304757708509,-0.030062051614125562,400.0,400.0,2.0,0.06678390124641709,0.0004805685358110212,-0.0016355683406193977,0.06678390124641709,0.0004805685358110212,-0.0016355683406193977
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,0.5,IP,"same budget upper bound, not same actual rate",13098.0,6104.0,19202.0,6549.0,True,10.0,10.0,5.0,10.0,0.0,0.0,29.779098649056017,0.9035075164592634,0.15214636363089085,0.4055318558837513,0.0071688152080289225,-0.02664982806891203,13098.0,6504.0,19602.0,6549.0,True,12.0,12.0,3.0,6.0,6.0,0.0,29.841708556474533,0.9039580494615862,0.15061301831156015,0.46814176330226687,0.007619348210351706,-0.02818317338824272,400.0,400.0,2.0,0.06260990741851558,0.0004505330023227838,-0.0015333453193306923,0.06260990741851558,0.0004505330023227838,-0.0015333453193306923
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.1,P,"same budget upper bound, not same actual rate",11620.0,0.0,11620.0,1162.0,False,0.0,0.0,15.0,0.0,0.0,0.0,18.329888267675436,0.7847807763103111,0.3785805066426595,0.0,0.0,0.0,11620.0,734.0,12354.0,1162.0,True,1.0,1.0,14.0,0.0,1.0,0.0,18.34694590773652,0.7854787192311072,0.37807117104530336,0.01705764006108268,0.0006979429207961685,-0.0005093355973561642,734.0,734.0,1.0,0.01705764006108268,0.0006979429207961685,-0.0005093355973561642,0.01705764006108268,0.0006979429207961685,-0.0005093355973561642
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.1,IP,"same budget upper bound, not same actual rate",11620.0,0.0,11620.0,1162.0,False,0.0,0.0,15.0,0.0,0.0,0.0,18.148826288093332,0.7782865542775683,0.37195534631609917,0.0,0.0,0.0,11620.0,734.0,12354.0,1162.0,True,1.0,1.0,14.0,0.0,1.0,0.0,18.164817825650594,0.7789408757658147,0.37147784419357777,0.015991537557262347,0.000654321488246401,-0.00047750212252140045,734.0,734.0,1.0,0.015991537557262347,0.000654321488246401,-0.00047750212252140045,0.015991537557262347,0.000654321488246401,-0.00047750212252140045
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.25,P,"same budget upper bound, not same actual rate",11620.0,1633.0,13253.0,2905.0,True,1.0,1.0,14.0,1.0,0.0,0.0,18.369257539760536,0.7870203598286138,0.37439634203910827,0.03936927208509999,0.002239583518302779,-0.004184164603551255,11620.0,2897.0,14517.0,2905.0,True,5.0,5.0,10.0,0.0,0.0,5.0,18.40872889839615,0.7879117546991594,0.3763659358024597,0.07884063072071257,0.003130978388848349,-0.0022145708401998254,1264.0,1264.0,4.0,0.039471358635612575,0.0008913948705455699,0.0019695937633514293,0.039471358635612575,0.0008913948705455699,0.0019695937633514293
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.25,IP,"same budget upper bound, not same actual rate",11620.0,1633.0,13253.0,2905.0,True,1.0,1.0,14.0,1.0,0.0,0.0,18.18573498067311,0.7803861638259773,0.3680326920002699,0.0369086925797788,0.0020996095484089317,-0.003922654315829277,11620.0,2897.0,14517.0,2905.0,True,5.0,5.0,10.0,0.0,0.0,5.0,18.222739379394,0.7812218465171137,0.36987918615341187,0.07391309130066759,0.0029352922395453618,-0.0020761601626873016,1264.0,1264.0,4.0,0.03700439872088879,0.0008356826911364301,0.0018464941531419754,0.03700439872088879,0.0008356826911364301,0.0018464941531419754
