split,video,frame,sample,candidate,family,step,lambda,checkpoint,integer_symbol_sha256,packet_bytes,nonzero_symbols,residual_linf,mse,psnr,ms_ssim,lpips,d,init_source,frame_share_bytes,elapsed_seconds,selection_objective,selected_by_lambda
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,O2_s150,O2,150,0.18864966852870935,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_7_original_anchor/results_v1/optimizations/Train2/O2/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001/step_150.pt,9fefae18689f5cf3d845ec013daec8ac1c2391cf024233c3e33a2be2933a31e4,789.0,1443.0,1.0921179056167603,0.01665961776866555,17.783349670867146,0.7701248082543865,0.3853074312210083,0.017044925199886558,zero,795.3333333333334,39.859550066292286,0.017623780792877172,True
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0002,Z_ORIGINAL,Z,,,,ea57129a181083808880401faeb2d2ff1c145e81226b9d9321f80cc1da296164,1,0,0.0,0.02414470016951885,16.171781833277052,0.7795393541265261,0.22643356025218964,0.02437113372977104,,,,,
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0002,O1_s000,O1,0,0.09432483426435467,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_7_original_anchor/results_v1/optimizations/Train2/O1/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0002/step_000.pt,ea57129a181083808880401faeb2d2ff1c145e81226b9d9321f80cc1da296164,1.0,0.0,0.0,0.02414470016951885,16.171781833277052,0.7795393541265261,0.22643356025218964,0.02437113372977104,zero,7.333333333333333,0.2706315219402313,0.02437380238506144,False
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0002,O1_s025,O1,25,0.09432483426435467,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_7_original_anchor/results_v1/optimizations/Train2/O1/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0002/step_025.pt,ea57129a181083808880401faeb2d2ff1c145e81226b9d9321f80cc1da296164,1.0,0.0,0.0,0.02414470016951885,16.171781833277052,0.7795393541265261,0.22643356025218964,0.02437113372977104,zero,7.333333333333333,4.652476921677589,0.02437380238506144,False
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0002,O1_s050,O1,50,0.09432483426435467,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_7_original_anchor/results_v1/optimizations/Train2/O1/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0002/step_050.pt,6ea534cfb100fac50435450e6a2fbe2a8af15bbb46751b9d316aad2e1f7f7eb6,709.0,1339.0,0.9191370606422424,0.018714769289807916,17.27815522371677,0.7673754588064418,0.3703373670578003,0.019085106656865716,zero,715.3333333333334,12.309728138148785,0.01934542185019301,False
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0002,O1_s100,O1,100,0.09432483426435467,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_7_original_anchor/results_v1/optimizations/Train2/O1/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0002/step_100.pt,4f6a4fe1bfe60b543120a60f7798945c5c26ca94e0f1234361bcd4ab75c50b05,738.0,1443.0,1.0862841606140137,0.017255502984552265,17.630723768400824,0.7706658143151982,0.37822863459587097,0.017633731619148135,zero,744.3333333333334,26.309640765190125,0.017904600131123834,False
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0002,O1_s150,O1,150,0.09432483426435467,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_7_original_anchor/results_v1/optimizations/Train2/O1/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0002/step_150.pt,97f9f0efd86b41a2d5544947ec2359240a64a39b5b6e5181f52ce4ee00f4191c,806.0,1384.0,1.1746177673339844,0.016776748185615996,17.75292214061614,0.7725405928337769,0.3856227695941925,0.01716237095521019,zero,812.3333333333334,40.37755478173494,0.017457985179878698,True
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0002,O2_s000,O2,0,0.18864966852870935,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_7_original_anchor/results_v1/optimizations/Train2/O2/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0002/step_000.pt,67e6f32a2987931db985029e82792cef5d0e5562b60290d522a79d690b62ee04,572.0,955.0,0.8057307600975037,0.023887855572734245,16.218228353790202,0.7834670332238272,0.22657246887683868,0.024114428041611083,legacy,578.3333333333334,0.24252204596996307,0.024535347762415238,False
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0002,O2_s025,O2,25,0.18864966852870935,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_7_original_anchor/results_v1/optimizations/Train2/O2/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0002/step_025.pt,67e6f32a2987931db985029e82792cef5d0e5562b60290d522a79d690b62ee04,572.0,955.0,0.8057307600975037,0.023887855572734245,16.218228353790202,0.7834670332238272,0.22657246887683868,0.024114428041611083,legacy,578.3333333333334,4.617631137371063,0.024535347762415238,False
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0002,O2_s050,O2,50,0.18864966852870935,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_7_original_anchor/results_v1/optimizations/Train2/O2/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0002/step_050.pt,0a386240d956d8b1857cc38a04a2fed39798c9fff0e2b0be9cf3d952bd5bbc39,1221.0,1885.0,1.5674070119857788,0.01820375764438462,17.398389551040683,0.7728268806522549,0.3517088294029236,0.018555466473787544,legacy,1227.3333333333333,12.159374296665192,0.019448738180992672,False
