split,candidate,lambda,sample,video,frame,step,init_source,nonzero_symbols,packet_bytes,frame_share_bytes,elapsed_seconds,integer_symbol_sha256,residual_linf,mse,psnr,ms_ssim,lpips,d,selection_objective,checkpoint,selected_by_lambda
Train2,O1,0.09432483426435467,c227e33d-910e-4e39-a325-0fe1d1116436_f0003,c227e33d-910e-4e39-a325-0fe1d1116436,3.0,0.0,zero,0.0,1.0,7.333333333333333,0.25730273127555847,ea57129a181083808880401faeb2d2ff1c145e81226b9d9321f80cc1da296164,0.0,0.0016394829019756223,27.852931081903215,0.8966705165691721,0.14308136701583862,0.001782564268991461,0.0017852329242818619,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_7_original_anchor/results_v1/optimizations/Train2/O1/c227e33d-910e-4e39-a325-0fe1d1116436_f0003/step_000.pt,False
Train2,O1,0.09432483426435467,c227e33d-910e-4e39-a325-0fe1d1116436_f0003,c227e33d-910e-4e39-a325-0fe1d1116436,3.0,25.0,zero,0.0,1.0,7.333333333333333,4.692295633256435,ea57129a181083808880401faeb2d2ff1c145e81226b9d9321f80cc1da296164,0.0,0.0016394829019756223,27.852931081903215,0.8966705165691721,0.14308136701583862,0.001782564268991461,0.0017852329242818619,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_7_original_anchor/results_v1/optimizations/Train2/O1/c227e33d-910e-4e39-a325-0fe1d1116436_f0003/step_025.pt,False
Train2,O1,0.09432483426435467,c227e33d-910e-4e39-a325-0fe1d1116436_f0003,c227e33d-910e-4e39-a325-0fe1d1116436,3.0,50.0,zero,816.0,545.0,551.3333333333334,11.861818633973598,7e3a7047cb1462f19c729f68b330e172beecd340e8fe7edfd7c64af384c8575d,0.2315453439950943,0.0016454086296376902,27.83726229289335,0.8942126037920671,0.16200631856918335,0.0018074149482068735,0.0020080493050397474,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_7_original_anchor/results_v1/optimizations/Train2/O1/c227e33d-910e-4e39-a325-0fe1d1116436_f0003/step_050.pt,False
Train2,O1,0.09432483426435467,c227e33d-910e-4e39-a325-0fe1d1116436_f0003,c227e33d-910e-4e39-a325-0fe1d1116436,3.0,100.0,zero,698.0,503.0,509.3333333333333,25.365344770252705,14d66d23646dc86945494c7da092c3b063028ac6d0be5eacb4535b7d93a4f3da,0.4169488549232483,0.0012638759364032943,28.98295554835151,0.9008791954210217,0.15213526785373688,0.0014160112042570312,0.0016013614444266994,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_7_original_anchor/results_v1/optimizations/Train2/O1/c227e33d-910e-4e39-a325-0fe1d1116436_f0003/step_100.pt,False
Train2,O1,0.09432483426435467,c227e33d-910e-4e39-a325-0fe1d1116436_f0003,c227e33d-910e-4e39-a325-0fe1d1116436,3.0,150.0,zero,779.0,526.0,532.3333333333334,39.25218126922846,0ae23cae11ff1108e0cc93d837dfff1c572d32d9efe2957062c4a7d1c3931756,0.6231014728546143,0.0011510745857008418,29.388965346596688,0.9022333717888785,0.14977774024009705,0.0013008523259409389,0.0014945724395214102,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_7_original_anchor/results_v1/optimizations/Train2/O1/c227e33d-910e-4e39-a325-0fe1d1116436_f0003/step_150.pt,True
Train2,O1,0.09432483426435467,c227e33d-910e-4e39-a325-0fe1d1116436_f0004,c227e33d-910e-4e39-a325-0fe1d1116436,4.0,0.0,zero,0.0,1.0,7.333333333333333,0.2748543247580528,ea57129a181083808880401faeb2d2ff1c145e81226b9d9321f80cc1da296164,0.0,0.0016214318749399955,27.901012936509968,0.8979924237462683,0.14099891483783722,0.0017624307897778327,0.0017650994450682336,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_7_original_anchor/results_v1/optimizations/Train2/O1/c227e33d-910e-4e39-a325-0fe1d1116436_f0004/step_000.pt,False
Train2,O1,0.09432483426435467,c227e33d-910e-4e39-a325-0fe1d1116436_f0004,c227e33d-910e-4e39-a325-0fe1d1116436,4.0,25.0,zero,0.0,1.0,7.333333333333333,4.725131347775459,ea57129a181083808880401faeb2d2ff1c145e81226b9d9321f80cc1da296164,0.0,0.0016214318749399955,27.901012936509968,0.8979924237462683,0.14099891483783722,0.0017624307897778327,0.0017650994450682336,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_7_original_anchor/results_v1/optimizations/Train2/O1/c227e33d-910e-4e39-a325-0fe1d1116436_f0004/step_025.pt,False
Train2,O1,0.09432483426435467,c227e33d-910e-4e39-a325-0fe1d1116436_f0004,c227e33d-910e-4e39-a325-0fe1d1116436,4.0,50.0,zero,826.0,548.0,554.3333333333334,12.503952473402023,3df09a0a713a2eb9fc423f7601dee7c228f672eccf32a8426c94add17aa6c78d,0.3340228199958801,0.001613338837305016,27.922744114592668,0.8946307969946586,0.16538579761981964,0.0017787246349248358,0.00198045071437651,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_7_original_anchor/results_v1/optimizations/Train2/O1/c227e33d-910e-4e39-a325-0fe1d1116436_f0004/step_050.pt,False
Train2,O1,0.09432483426435467,c227e33d-910e-4e39-a325-0fe1d1116436_f0004,c227e33d-910e-4e39-a325-0fe1d1116436,4.0,100.0,zero,709.0,504.0,510.3333333333333,26.595715209841728,61310693245eead7c33a93b9254a7f6fd51e26e3150d9d017e6e6134826a090c,0.5405914783477783,0.0012228762853881893,29.126174769710126,0.9023845765333247,0.1518934965133667,0.001374769781901556,0.0015604839296108242,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_7_original_anchor/results_v1/optimizations/Train2/O1/c227e33d-910e-4e39-a325-0fe1d1116436_f0004/step_100.pt,False
Train2,O1,0.09432483426435467,c227e33d-910e-4e39-a325-0fe1d1116436_f0004,c227e33d-910e-4e39-a325-0fe1d1116436,4.0,150.0,zero,763.0,520.0,526.3333333333334,40.621031261980534,ca72b567ffb9e96b6f12f7d2fe2f44738f95439577e29be20a0a90cbc7cd16d1,0.6589245200157166,0.0011515999740065958,29.386983535966582,0.9032395956221807,0.15034358203411102,0.0013019435560407068,0.0014934802243835772,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_7_original_anchor/results_v1/optimizations/Train2/O1/c227e33d-910e-4e39-a325-0fe1d1116436_f0004/step_150.pt,True
