candidate,lambda,video,frame,type,nonzero_enhancement_frame,old_packet_bits,new_packet_bits,new_mode,mse,psnr,ms_ssim,lpips,L_image,psnr_minus_ZERO,ms_ssim_minus_ZERO,lpips_minus_ZERO,psnr_minus_ENCODER_QUANTIZED,ms_ssim_minus_ENCODER_QUANTIZED,lpips_minus_ENCODER_QUANTIZED,psnr_minus_ORIGINAL_QP0,ms_ssim_minus_ORIGINAL_QP0,lpips_minus_ORIGINAL_QP0
adaptive_lambda1,0.09432483426435467,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0,I,False,8,8,I,0.028622682989285473,15.432896594361738,0.6808732237864273,0.2725779414176941,0.028895260930703166,,,,,,,,,
adaptive_lambda1,0.09432483426435467,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,P,True,5736,5736,DENSE,0.013676316429776535,18.640308594609902,0.7987955651696687,0.3564838171005249,0.01403280024687706,0.25953450976538406,0.014450309859877497,-0.02125835418701172,-0.26397077192689267,-0.019091688123566763,0.04428589344024658,2.365320486362375,0.022560018207701593,0.12572447955608368
adaptive_lambda1,0.09432483426435467,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,P,True,5016,5016,DENSE,0.013674755858889952,18.640804185655288,0.8014646297243416,0.35993731021881104,0.014034693169108764,0.24287872143353795,0.011313455243280646,-0.012754082679748535,-0.23320373339393186,-0.019139313102941036,0.050391435623168945,2.467314034136617,0.021927715419959748,0.13349387049674988
adaptive_lambda1,0.09432483426435467,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,P,True,5144,5144,DENSE,0.013529232742229731,18.687268320250055,0.8033284120039149,0.36154913902282715,0.013890781881252558,0.25209263885611577,0.010758793175217884,-0.011732786893844604,-0.22944632569646473,-0.018876986870318246,0.05088233947753906,2.482236696407199,0.02247294333652272,0.1384185552597046
adaptive_lambda1,0.09432483426435467,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,4,P,True,5408,5408,DENSE,0.013903959373560495,18.56861509872989,0.802191172663274,0.36892086267471313,0.014272880236235208,0.26261785876869936,0.012009288006404328,-0.013563573360443115,-0.2308716027157942,-0.01820380398100052,0.04999661445617676,2.4556600276257257,0.02416386581546126,0.14493334293365479
adaptive_lambda1,0.09432483426435467,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5,P,True,4992,4992,DENSE,0.013526461188175826,18.688158092760947,0.802062024532541,0.36264950037002563,0.013889110688545852,0.2453451459346141,0.010044415714743904,-0.009707123041152954,-0.27572692100319784,-0.02042360757023709,0.053328096866607666,2.490574309578431,0.02336438925795825,0.14023640751838684
adaptive_lambda1,0.09432483426435467,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,6,P,True,4992,4992,DENSE,0.013723778988332339,18.625262845622775,0.8007551601219466,0.3652193248271942,0.014088998313159533,0.25115864549428935,0.009938689378478305,-0.010392189025878906,-0.30062475342185024,-0.021611125166465017,0.05274757742881775,2.4764241446339206,0.024125062077027692,0.1414884775876999
adaptive_lambda1,0.09432483426435467,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,7,P,True,4888,4888,DENSE,0.013386870034860663,18.73320952897423,0.8001867327293178,0.36193951964378357,0.013748809554504447,0.2537158993376103,0.009677024432667936,-0.009232401847839355,-0.3319074191846525,-0.02254543129718145,0.0535796582698822,2.5358024862818915,0.024917818469327724,0.13797760009765625
adaptive_lambda1,0.09432483426435467,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,P,True,4840,4840,DENSE,0.014121692543702267,18.501132481611013,0.796317071336133,0.37797611951828003,0.014499668663220546,0.24287716698284711,0.009861712631045627,-0.007784754037857056,-0.34766191429361726,-0.0237320401434975,0.05497771501541138,2.4572413050110917,0.025039367403634438,0.15048545598983765
adaptive_lambda1,0.09432483426435467,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,9,P,True,4856,4856,DENSE,0.013480292916010368,18.703006708255618,0.795520462127676,0.36776384711265564,0.013848056763123024,0.24591204465042793,0.00827420091651887,-0.0038080215454101562,-0.337607916481268,-0.023957717771547204,0.05723264813423157,2.537091191863265,0.02450506763035687,0.13991209864616394
