qp,point_count,mean_bitrate_change_percent,mean_LPIPS_change,mean_DISTS_change,mean_PSNR_change,mean_SSIM_change,mean_MS_SSIM_change,rate_lower_count,LPIPS_nonworse_count,DISTS_nonworse_count,LPIPS_and_DISTS_nonworse_count,triple_nonworse_count
0,8,-4.550236778110893,-0.014754408126464114,-0.010497536743059754,-0.06250127772723069,-0.000111360102891922,-0.006437055882997811,8,8,7,7,7
1,8,-4.614769331974822,-0.014925894516636617,-0.010403221589513123,-0.05711356491417652,3.916979767382145e-05,-0.005223145009949803,8,8,7,7,7
2,8,-5.910331544139245,-0.012399507701047696,-0.010446729836985469,-0.08850242673527786,-0.0001721449661999941,-0.005357454996556044,8,8,7,7,7
3,8,-6.498537325484299,-0.011513928533531725,-0.009662290685810149,-0.1191124604376883,-0.0002991459332406521,-0.004982377402484417,8,7,7,7,7
all,32,-5.393468744927315,-0.013398434719420038,-0.010252444713842124,-0.08180743245359334,-0.00013587030116468668,-0.005500008322997019,32,31,28,28,28
