step,mean_real_kbps,mean_rate_change_percent_vs_original,mean_LPIPS,mean_LPIPS_change_vs_original,mean_DISTS,mean_DISTS_change_vs_original,rate_lower_count,LPIPS_nonworse_count,DISTS_nonworse_count,LPIPS_and_DISTS_nonworse_count,eligible,within_rate_tie_0_5_percent,selected
20000,212.86639797702298,-5.288057363640886,0.1738046532458005,-0.017028711445163935,0.10153881584604581,-0.006219415615002319,10,12,10,10,True,True,True
30000,212.72343031968032,-5.351668833979916,0.1755157377726088,-0.015317626918355642,0.10954638027275602,0.0017881488117078986,10,10,5,4,False,False,False
40000,214.3380588161838,-4.633262345247136,0.1733566995341486,-0.01747666515681584,0.10329514586677153,-0.004463085594276592,10,11,8,7,True,False,False
50000,213.23616008991007,-5.1235368552014044,0.17449191994577026,-0.016341444745194167,0.1029293464186291,-0.004828885042419032,11,10,9,7,True,True,False
