video_tag,method,qp,real_bytes,bitstream_path,bitstream_sha256,real_rans
fresh_ulong_00,original,0,47024,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_00/original_qp0.bin,5cc416a794a5e1045149867084a2d698d060296238df212bbe2cc05171c6961f,True
fresh_ulong_00,original,1,57653,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_00/original_qp1.bin,fc99a3ab6fe7472249a201022d1d522e575a4aa3f13271cfc5cf37505355cca6,True
fresh_ulong_00,original,2,76829,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_00/original_qp2.bin,8803aa44de557839d7f6f3261007e8c5e0919f7bf1a25e1f86abac81ae8c9e83,True
fresh_ulong_00,original,3,96549,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_00/original_qp3.bin,fe8dd2743db63b635b729536ecd5c81795c802d91ab11c161be16d2344a08dcb,True
fresh_ulong_00,beta_low,0,43541,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_00/beta_low_qp0.bin,1c9a7daad0933d12618c623f1e1b0d97911012926d2e0aaac8bbbfc3301abc21,True
fresh_ulong_00,beta_low,1,54841,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_00/beta_low_qp1.bin,661d56271a2a63990224baed748517f7497295cc9ea657ad820c33f9cd5d64d6,True
fresh_ulong_00,beta_low,2,70972,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_00/beta_low_qp2.bin,02c1472e2c2e734adc15e1b875465774a2c7160fa90183a0d040cdc600afd9ce,True
fresh_ulong_00,beta_low,3,88562,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_00/beta_low_qp3.bin,400bedffe876f055205cf901b6403f8822ea887bd39a9b6f54e37c5ada4893c4,True
fresh_ulong_00,v3_beta_low,0,46668,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/bitstreams/final/fresh_ulong_00/v3_beta_low_qp0.bin,1a51db53c8be5dcaec8a5a5500d23d385a97d90269cc8fda6a9ee777480b3364,True
fresh_ulong_00,v3_beta_low,1,57329,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/bitstreams/final/fresh_ulong_00/v3_beta_low_qp1.bin,4f1fbea9fcee793c64d2aead5701f960a7eb98c03cec74767aeb8b3ce9f0cd20,True
fresh_ulong_00,v3_beta_low,2,75419,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/bitstreams/final/fresh_ulong_00/v3_beta_low_qp2.bin,9968662e0dda2554075078da4521b8dd4a156e05d66420b256bbcfb356e2d01e,True
fresh_ulong_00,v3_beta_low,3,93699,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/bitstreams/final/fresh_ulong_00/v3_beta_low_qp3.bin,564ca4c38bf969b951176f323733bd0a08249b6eae37b753adc66dd0487aed0e,True
fresh_ulong_01,original,0,41938,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_01/original_qp0.bin,7f739f71db1a1ee125aa4731ee337c022cbb99fe12dfaa13f5b963b99765e835,True
fresh_ulong_01,original,1,52078,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_01/original_qp1.bin,932734fe8a30e69316f35209b55ab123a58e5f55a0a3e5567bbbc63a7173ad02,True
fresh_ulong_01,original,2,64056,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_01/original_qp2.bin,aecf25a645ae859999c9339f55b2b2dc923d6530be3a40c81f106d257f2b76da,True
fresh_ulong_01,original,3,78986,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_01/original_qp3.bin,699f95510983015cc3b7bbb1ea4601d1a9a953dcd901daad6ad324131fa05c0d,True
fresh_ulong_01,beta_low,0,39032,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_01/beta_low_qp0.bin,e543c55a9f3486520dd79ddefdc644157179dd8aadc53be9b8ac911c198c7366,True
fresh_ulong_01,beta_low,1,48977,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_01/beta_low_qp1.bin,a244fe99d5d75512104deb3b84782b35840f7500b0b767f0c1609595886376f9,True
fresh_ulong_01,beta_low,2,58554,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_01/beta_low_qp2.bin,cdc789b65513a0720ef3e0667a3390a46418b7fcc78930ae8a88db734aa09364,True
fresh_ulong_01,beta_low,3,72520,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_01/beta_low_qp3.bin,1440bf6e6925075c853818cf6d8f1b3e5515d5fc69dad2d75c503911da6a98bc,True
fresh_ulong_01,v3_beta_low,0,39679,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/bitstreams/final/fresh_ulong_01/v3_beta_low_qp0.bin,385407a40bf481d4e7e02c758c8e20fab114b552f54559d6944b7df2b1fdc6cc,True
fresh_ulong_01,v3_beta_low,1,50025,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/bitstreams/final/fresh_ulong_01/v3_beta_low_qp1.bin,f0000604a4ad033b4226ae77a113ad6610cdf333ca36943e850d074509682188,True
fresh_ulong_01,v3_beta_low,2,59838,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/bitstreams/final/fresh_ulong_01/v3_beta_low_qp2.bin,381ed7dcfafda76cd11b51c58e02b3033f58ee4716edf5f86150b8541e788be3,True
fresh_ulong_01,v3_beta_low,3,74631,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/bitstreams/final/fresh_ulong_01/v3_beta_low_qp3.bin,81b0cb4ef944a3befb5e45bdd59ebe60e0b135bc3b507744835d9c8588a5416b,True
fresh_ulong_10,original,0,27630,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_10/original_qp0.bin,622f3e7de4baff153464ece8afe4e23d32236f3be6b4dd272f2a22258874eff3,True
fresh_ulong_10,original,1,35312,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_10/original_qp1.bin,6b3c2df67aabc382b1e31c2361aeb9766abd69f77fdef30a288bca23ef127aa1,True
fresh_ulong_10,original,2,45636,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_10/original_qp2.bin,0be9cb4006150e7e8da5a5a095b9284ac3f63de88d5670d2371765f02918360e,True
fresh_ulong_10,original,3,60467,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_10/original_qp3.bin,82b908f356f29f8f863419425c34dd515975b41a82dd596afdd27679a2f7e911,True
fresh_ulong_10,beta_low,0,25289,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_10/beta_low_qp0.bin,db44c5ac1c433701b2a27f521cdffc822f853070c9dd6e589a7a57d3f8cb5e07,True
fresh_ulong_10,beta_low,1,31979,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_10/beta_low_qp1.bin,f47af16b784599dc611d3de35e9675d5282bc48d720567b8a06995ae8042a3d4,True
fresh_ulong_10,beta_low,2,40463,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_10/beta_low_qp2.bin,6d5af09eabb6f4c12237ebe013537568ddaa480faa22d28a44a8e40daf0cf7c6,True
fresh_ulong_10,beta_low,3,50857,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_10/beta_low_qp3.bin,4f170ba8879e5caffe6607d44702a200fc72d86fed2f0a1fd5c1272a7725b458,True
fresh_ulong_10,v3_beta_low,0,26920,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/bitstreams/final/fresh_ulong_10/v3_beta_low_qp0.bin,272ae0b5f0c288c2074c3946be9fb459f6e01d4fc14adda2da7d5a061c6bf10d,True
