candidate,reference,video_tag,metric,reference_qp,reference_kbps,reference_metric,candidate_qp,candidate_kbps,candidate_metric,rate_saving_percent
beta_low,original,fresh_ulong_00,LPIPS,0,176.34,0.16652561782393605,0,163.27875,0.15872842667158693,7.406856073494383
beta_low,original,fresh_ulong_00,DISTS,0,176.34,0.09301046747714281,0,163.27875,0.09163769986480474,7.406856073494383
beta_low,original,fresh_ulong_00,LPIPS,1,216.19875,0.15376342937815934,1,205.65375,0.14141389937140048,4.87745650703345
beta_low,original,fresh_ulong_00,DISTS,1,216.19875,0.08793372195214033,1,205.65375,0.08623160980641842,4.87745650703345
beta_low,original,fresh_ulong_00,LPIPS,2,288.10875,0.1305051976814866,2,266.145,0.1223095862660557,7.623423446875533
beta_low,original,fresh_ulong_00,DISTS,2,288.10875,0.07781535759568214,2,266.145,0.07596672512590885,7.623423446875533
beta_low,original,fresh_ulong_00,LPIPS,3,362.05875,0.11635798751376569,3,332.1075,0.1087576214922592,8.272483402210263
beta_low,original,fresh_ulong_00,DISTS,3,362.05875,0.07021369971334934,3,332.1075,0.06920010503381491,8.272483402210263
beta_low,original,fresh_ulong_01,LPIPS,0,157.1103896103896,0.15226008952595294,0,146.2237762237762,0.14251601230353117,6.929276551099239
beta_low,original,fresh_ulong_01,DISTS,0,157.1103896103896,0.104271843098104,0,146.2237762237762,0.09376867860555649,6.929276551099239
beta_low,original,fresh_ulong_01,LPIPS,1,195.0974025974026,0.13170657213777304,1,183.48026973026973,0.12438105780165642,5.954529743845772
beta_low,original,fresh_ulong_01,DISTS,1,195.0974025974026,0.09059106092900038,1,183.48026973026973,0.08579319808632135,5.954529743845772
beta_low,original,fresh_ulong_01,LPIPS,2,239.97002997002997,0.11544713017065078,2,219.35814185814183,0.11120030120946467,8.589359310603228
beta_low,original,fresh_ulong_01,DISTS,2,239.97002997002997,0.0836072014644742,2,219.35814185814183,0.07893601711839437,8.589359310603228
beta_low,original,fresh_ulong_01,LPIPS,3,295.9015984015984,0.10236039548180997,3,271.6783216783217,0.09866603300906718,8.186260856354277
beta_low,original,fresh_ulong_10,LPIPS,0,103.50899100899102,0.08790032682009041,0,94.73901098901099,0.08741293218918145,8.472674629026422
beta_low,original,fresh_ulong_10,DISTS,0,103.50899100899102,0.08626880310475826,1,119.80144855144854,0.08369950205087662,-15.740137531668452
beta_low,original,fresh_ulong_10,LPIPS,1,132.28771228771228,0.07801714935339987,1,119.80144855144854,0.07778610300738364,9.438717716357047
beta_low,original,fresh_ulong_10,DISTS,1,132.28771228771228,0.07741482742130756,2,151.58466533466535,0.07684867084026337,-14.587109198006365
beta_low,original,fresh_ulong_10,LPIPS,2,170.96403596403596,0.07108415098628029,2,151.58466533466535,0.07014764891937375,11.335349285651663
beta_low,original,fresh_ulong_100,LPIPS,0,79.3425,0.29269819892942905,0,73.7625,0.2573277484625578,7.032800831836661
beta_low,original,fresh_ulong_100,DISTS,0,79.3425,0.16495357640087605,2,125.235,0.14763030409812927,-57.84100576614046
beta_low,original,fresh_ulong_100,LPIPS,1,104.03625,0.2718278067186475,0,73.7625,0.2573277484625578,29.09923223876293
beta_low,original,fresh_ulong_100,DISTS,1,104.03625,0.14852433372288942,2,125.235,0.14763030409812927,-20.37631114154923
beta_low,original,fresh_ulong_100,LPIPS,2,135.69375,0.2521602513734251,1,97.08375,0.23517868178896606,28.45377919027221
beta_low,original,fresh_ulong_100,LPIPS,3,178.53375,0.24006535904482007,1,97.08375,0.23517868178896606,45.621626163120425
beta_low,original,fresh_ulong_101,LPIPS,0,130.61625,0.14503708214033395,0,105.28875,0.12546950369141996,19.39077258763746
beta_low,original,fresh_ulong_101,DISTS,0,130.61625,0.14316138438880444,0,105.28875,0.13318665511906147,19.39077258763746
beta_low,original,fresh_ulong_101,LPIPS,1,187.965,0.12968529714271426,0,105.28875,0.12546950369141996,43.98491740483601
beta_low,original,fresh_ulong_101,DISTS,1,187.965,0.13265275675803423,1,150.24375,0.12262323405593634,20.068230787646634
beta_low,original,fresh_ulong_101,LPIPS,2,268.7025,0.11332689819391817,2,212.21625,0.10194158449303359,21.021855025539395
beta_low,original,fresh_ulong_101,DISTS,2,268.7025,0.12257856503129005,2,212.21625,0.11337796784937382,21.021855025539395
beta_low,original,fresh_ulong_101,LPIPS,3,370.47,0.10008981416467577,3,295.33875,0.09194315492641181,20.2799821847923
beta_low,original,fresh_ulong_101,DISTS,3,370.47,0.11417116690427065,2,212.21625,0.11337796784937382,42.7170216211839
beta_low,original,fresh_ulong_102,LPIPS,0,71.71875,0.2845525681041181,0,67.05375,0.2568240512628108,6.504575163398707
beta_low,original,fresh_ulong_102,DISTS,0,71.71875,0.15179892908781767,0,67.05375,0.13132139295339584,6.504575163398707
beta_low,original,fresh_ulong_102,LPIPS,1,93.0825,0.26449672039598227,0,67.05375,0.2568240512628108,27.96309725243735
beta_low,original,fresh_ulong_102,DISTS,1,93.0825,0.132149588316679,0,67.05375,0.13132139295339584,27.96309725243735
beta_low,original,fresh_ulong_102,LPIPS,2,120.00375,0.2455117697827518,1,87.64875,0.23007198981940746,26.961657448204733
beta_low,original,fresh_ulong_102,DISTS,2,120.00375,0.12347044423222542,1,87.64875,0.11990516632795334,26.961657448204733
beta_low,original,fresh_ulong_102,LPIPS,3,155.41125,0.22789993113838136,2,111.0225,0.2151296129450202,28.562121468040445
beta_low,original,fresh_ulong_102,DISTS,3,155.41125,0.12158727552741766,1,87.64875,0.11990516632795334,43.60205583572617
beta_low,original,fresh_ulong_103,LPIPS,0,167.85375,0.1013468625023961,0,153.18375,0.09527879161760211,8.73975112262907
beta_low,original,fresh_ulong_103,DISTS,0,167.85375,0.08589303214102983,1,191.20875,0.08508140314370394,-13.913898259645684
beta_low,original,fresh_ulong_103,LPIPS,1,209.77125,0.09009590174537152,1,191.20875,0.08486978558357805,8.848924721571716
beta_low,original,fresh_ulong_103,DISTS,1,209.77125,0.07973845582455397,2,240.6675,0.07847941759973764,-14.728543592127119
beta_low,original,fresh_ulong_103,LPIPS,2,267.9075,0.0804876679321751,2,240.6675,0.07638444734038785,10.167688474566795
beta_low,original,fresh_ulong_103,LPIPS,3,337.8,0.07214005698915571,3,302.025,0.06921418767888099,10.590586145648317
