candidate,reference,video_tag,metric,reference_qp,reference_kbps,reference_metric,candidate_qp,candidate_kbps,candidate_metric,metric_difference,rate_saving_percent
beta_low,original,fresh_ulong_00,LPIPS,0,176.34,0.16652561782393605,0,163.27875,0.15872842667158693,-0.007797191152349114,7.406856073494383
beta_low,original,fresh_ulong_00,DISTS,0,176.34,0.09301046747714281,0,163.27875,0.09163769986480474,-0.001372767612338066,7.406856073494383
beta_low,original,fresh_ulong_00,LPIPS,1,216.19875,0.15376342937815934,0,163.27875,0.15872842667158693,0.0049649972934275866,24.477477321214845
beta_low,original,fresh_ulong_00,DISTS,1,216.19875,0.08793372195214033,1,205.65375,0.08623160980641842,-0.0017021121457219124,4.87745650703345
beta_low,original,fresh_ulong_00,LPIPS,2,288.10875,0.1305051976814866,2,266.145,0.1223095862660557,-0.008195611415430903,7.623423446875533
beta_low,original,fresh_ulong_00,DISTS,2,288.10875,0.07781535759568214,2,266.145,0.07596672512590885,-0.0018486324697732925,7.623423446875533
beta_low,original,fresh_ulong_00,LPIPS,3,362.05875,0.11635798751376569,2,266.145,0.1223095862660557,0.0059515987522900105,26.491211716330564
beta_low,original,fresh_ulong_00,DISTS,3,362.05875,0.07021369971334934,3,332.1075,0.06920010503381491,-0.0010135946795344353,8.272483402210263
beta_low,original,fresh_ulong_01,LPIPS,0,157.1103896103896,0.15226008952595294,0,146.2237762237762,0.14251601230353117,-0.009744077222421765,6.929276551099239
beta_low,original,fresh_ulong_01,DISTS,0,157.1103896103896,0.104271843098104,0,146.2237762237762,0.09376867860555649,-0.010503164492547512,6.929276551099239
beta_low,original,fresh_ulong_01,LPIPS,1,195.0974025974026,0.13170657213777304,1,183.48026973026973,0.12438105780165642,-0.007325514336116612,5.954529743845772
beta_low,original,fresh_ulong_01,DISTS,1,195.0974025974026,0.09059106092900038,0,146.2237762237762,0.09376867860555649,0.0031776176765561104,25.05088521064558
beta_low,original,fresh_ulong_01,LPIPS,2,239.97002997002997,0.11544713017065078,2,219.35814185814183,0.11120030120946467,-0.004246828961186111,8.589359310603228
