sample,video,frame,group,split,stage,initialization,step,lambda,quantized,code_domain,code_l2,code_rms,residual_l2,gradient_l2,R_est_bpp,estimated_symbol_bits,elapsed_seconds,symbol_nonzero_fraction,diagnostic_container_bits,actual_frame_packet_bits,actual_frame_share_bits,R_actual_bpp,zero_grid_skip,roundtrip_exact,diagnostic_stream,mse,psnr,ms_ssim,lpips,L_image,selection_objective,psnr_minus_ZERO,ms_ssim_minus_ZERO,lpips_minus_ZERO,psnr_minus_ENCODER_CONTINUOUS,ms_ssim_minus_ENCODER_CONTINUOUS,lpips_minus_ENCODER_CONTINUOUS,psnr_minus_ENCODER_QUANTIZED,ms_ssim_minus_ENCODER_QUANTIZED,lpips_minus_ENCODER_QUANTIZED,selected,nondominated_psnr_lpips
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,network_train6,Train2,B6q_lambda4,ZERO_START,0,0.7545986741148374,True,z = u/delta,0.0,0.0,0.0,9.30111649085476e-05,0.0010046811075881124,2083.30674469471,0.44863566756248474,0.0,816,8,54.4,2.6234567901234566e-05,True,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_3_code_optimization_diagnosis/results_v1/optimizations/B6q_lambda4/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001/step_000.orc,0.014518528168263446,18.380774084844518,0.7843452553097912,0.3777421712875366,0.014896270339550982,0.01491606690970523,0.0,0.0,0.0,-0.5474024993127102,-0.03462836908027034,0.06683674454689026,-0.5235052816922767,-0.03354199798344426,0.0655442476272583,True,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,network_train6,Train2,B6q_lambda4,ZERO_START,25,0.7545986741148374,True,z = u/delta,0.0,0.0,0.0,9.301116652187715e-05,0.0010046811075881124,2083.30674469471,2.3941523730754852,0.0,816,8,54.4,2.6234567901234566e-05,True,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_3_code_optimization_diagnosis/results_v1/optimizations/B6q_lambda4/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001/step_025.orc,0.014518528168263446,18.380774084844518,0.7843452553097912,0.3777421712875366,0.014896270339550982,0.01491606690970523,0.0,0.0,0.0,-0.5474024993127102,-0.03462836908027034,0.06683674454689026,-0.5235052816922767,-0.03354199798344426,0.0655442476272583,False,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,network_train6,Train2,B6q_lambda4,ZERO_START,50,0.7545986741148374,True,z = u/delta,242.30250755469189,3.793392900539775,26.063369508754732,6.82212013336392e-05,0.001803356222808361,3739.4394636154175,7.556696102023125,0.17598040401935577,4656,3848,3894.4,0.0018780864197530864,False,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_3_code_optimization_diagnosis/results_v1/optimizations/B6q_lambda4/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001/step_050.orc,0.013974105864992632,18.54675970942276,0.7937508007769253,0.35580384731292725,0.014329909712305558,0.015747111234524318,0.16598562457824073,0.009405545467134124,-0.021938323974609375,-0.3814168747344695,-0.025222823613136214,0.044898420572280884,-0.357519657114036,-0.024136452516310136,0.043605923652648926,False,True
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,network_train6,Train2,B6q_lambda4,ZERO_START,100,0.7545986741148374,True,z = u/delta,212.26162558978714,3.323084650238647,21.446323976785777,6.413332070546105e-05,0.0016206693835556507,3360.6200337409973,19.187852315604687,0.1350490301847458,4280,3472,3518.4,0.0016967592592592594,False,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_3_code_optimization_diagnosis/results_v1/optimizations/B6q_lambda4/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001/step_100.orc,0.014024569296811798,18.53110467318873,0.7938933200174937,0.35794204473495483,0.014382511341546753,0.015662883628875864,0.15033058834421098,0.00954806470770253,-0.019800126552581787,-0.39707191096849925,-0.025080304372567808,0.04703661799430847,-0.37317469334806574,-0.02399393327574173,0.045744121074676514,False,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,network_train6,Train2,B6q_lambda4,ZERO_START,150,0.7545986741148374,True,z = u/delta,224.43265264947686,3.5136294700444566,26.121922118064997,7.066607450689912e-05,0.0016975433100014925,3520.025807619095,30.795230343937874,0.14950981736183167,4440,3632,3678.4,0.0017739197530864197,False,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_3_code_optimization_diagnosis/results_v1/optimizations/B6q_lambda4/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001/step_150.orc,0.013998207902639757,18.539275605940915,0.7935232569020338,0.3608524799346924,0.01435906038257445,0.01569765787623958,0.15850152109639737,0.00917800159224269,-0.01688969135284424,-0.38890097821631286,-0.025450367488027648,0.04994705319404602,-0.36500376059587936,-0.02436399639120157,0.04865455627441406,False,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,network_train6,Train2,B6q_lambda4,ZERO_START,0,0.7545986741148374,True,z = u/delta,0.0,0.0,0.0,0.00011581175816521195,0.0010046811075881124,2083.30674469471,0.45855309814214706,0.0,816,8,54.4,2.6234567901234566e-05,True,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_3_code_optimization_diagnosis/results_v1/optimizations/B6q_lambda4/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008/step_000.orc,0.014933942283403598,18.258255314628165,0.7864553587050874,0.3857608735561371,0.015319703156959736,0.015339499727113983,0.0,0.0,0.0,-0.6179713148808368,-0.034848638577891444,0.06409516930580139,-0.5905390812764644,-0.03359375277454313,0.06276246905326843,True,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,network_train6,Train2,B6q_lambda4,ZERO_START,25,0.7545986741148374,True,z = u/delta,0.0,0.0,0.0,0.00011581176993482874,0.0010046811075881124,2083.30674469471,2.4139673560857773,0.0,816,8,54.4,2.6234567901234566e-05,True,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_3_code_optimization_diagnosis/results_v1/optimizations/B6q_lambda4/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008/step_025.orc,0.014933942283403598,18.258255314628165,0.7864553587050874,0.3857608735561371,0.015319703156959736,0.015339499727113983,0.0,0.0,0.0,-0.6179713148808368,-0.034848638577891444,0.06409516930580139,-0.5905390812764644,-0.03359375277454313,0.06276246905326843,False,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,network_train6,Train2,B6q_lambda4,ZERO_START,50,0.7545986741148374,True,z = u/delta,244.4862138091714,3.8275801480685163,23.36396983725343,0.00011729640446466538,0.0018690188881009817,3875.5975663661957,7.604425564408302,0.17916667461395264,4792,3984,4030.4,0.001943672839506173,False,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_3_code_optimization_diagnosis/results_v1/optimizations/B6q_lambda4/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008/step_050.orc,0.014417600770346546,18.411070044495773,0.7922694205870088,0.38121286034584045,0.014798813630692386,0.016265506578296767,0.15281472986760747,0.005814061881921351,-0.004548013210296631,-0.4651565850132293,-0.029034576695970093,0.05954715609550476,-0.4377243514088569,-0.027779690892621778,0.0582144558429718,False,True
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,network_train6,Train2,B6q_lambda4,ZERO_START,100,0.7545986741148374,True,z = u/delta,206.60029532820658,3.2344530869972172,23.82621036493925,7.924952128535691e-05,0.001611663494259119,3341.9454216957092,19.198817901313305,0.12794119119644165,4256,3448,3494.4,0.0016851851851851852,False,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_3_code_optimization_diagnosis/results_v1/optimizations/B6q_lambda4/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008/step_100.orc,0.01438454855593333,18.421037634395276,0.7921342365703689,0.38327649235725403,0.014767825048290583,0.01603946355466929,0.16278231976711055,0.005678877865281429,-0.0024843811988830566,-0.45518899511372624,-0.029169760712610016,0.061610788106918335,-0.4277567615093538,-0.0279148749092617,0.060278087854385376,False,True
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,network_train6,Train2,B6q_lambda4,ZERO_START,150,0.7545986741148374,True,z = u/delta,207.193123793031,3.2437341766252117,22.580064718567694,7.763894445848518e-05,0.0016161800595000386,3351.31097137928,30.827821493148804,0.12867647409439087,4264,3456,3502.4,0.0016890432098765433,False,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_3_code_optimization_diagnosis/results_v1/optimizations/B6q_lambda4/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008/step_150.orc,0.014385738177534755,18.420678481841716,0.7921294617659257,0.3823009729385376,0.014768039150473292,0.0160425889171688,0.1624231672135501,0.005674103060838265,-0.0034599006175994873,-0.4555481476672867,-0.02917453551705318,0.060635268688201904,-0.42811591406291427,-0.027919649713704864,0.059302568435668945,False,True
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0015,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,15,network_train6,Train2,B6q_lambda4,ZERO_START,0,0.7545986741148374,True,z = u/delta,0.0,0.0,0.0,0.00013509935792638557,0.0010046811075881124,2083.30674469471,0.44170159846544266,0.0,816,8,54.4,2.6234567901234566e-05,True,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_3_code_optimization_diagnosis/results_v1/optimizations/B6q_lambda4/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0015/step_000.orc,0.01522176602678956,18.175349578679636,0.7709346461417427,0.38231155276298523,0.015604077579552544,0.015623874149706792,0.0,0.0,0.0,-0.5991311173577394,-0.034332893120329055,0.06317293643951416,-0.5780394240085727,-0.03326684636621435,0.06229326128959656,True,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0015,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,15,network_train6,Train2,B6q_lambda4,ZERO_START,25,0.7545986741148374,True,z = u/delta,0.0,0.0,0.0,0.00013509936503407397,0.0010046811075881124,2083.30674469471,2.424439772963524,0.0,816,8,54.4,2.6234567901234566e-05,True,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_3_code_optimization_diagnosis/results_v1/optimizations/B6q_lambda4/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0015/step_025.orc,0.01522176602678956,18.175349578679636,0.7709346461417427,0.38231155276298523,0.015604077579552544,0.015623874149706792,0.0,0.0,0.0,-0.5991311173577394,-0.034332893120329055,0.06317293643951416,-0.5780394240085727,-0.03326684636621435,0.06229326128959656,False,False
