sample,video,frame,group,split,stage,initialization,step,lambda,quantized,code_domain,code_l2,code_rms,residual_l2,gradient_l2,R_est_bpp,estimated_symbol_bits,elapsed_seconds,symbol_nonzero_fraction,mse,psnr,ms_ssim,lpips,L_image,selection_objective,psnr_minus_ZERO,ms_ssim_minus_ZERO,lpips_minus_ZERO,psnr_minus_ENCODER_CONTINUOUS,ms_ssim_minus_ENCODER_CONTINUOUS,lpips_minus_ENCODER_CONTINUOUS,psnr_minus_ENCODER_QUANTIZED,ms_ssim_minus_ENCODER_QUANTIZED,lpips_minus_ENCODER_QUANTIZED,selected,nondominated_psnr_lpips,diagnostic_container_bits,actual_frame_packet_bits,actual_frame_share_bits,R_actual_bpp,zero_grid_skip,roundtrip_exact,diagnostic_stream
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,c227e33d-910e-4e39-a325-0fe1d1116436,1.0,network_train6,Train2,A6_ENCODER_START,ENCODER_START,0.0,0.0,False,physical prequantizer u,273.4180009899876,4.280524845996842,20.922300574328624,7.211059801298984e-07,0.0,0.0,0.35702338069677353,,0.0009547134813931551,30.201269447721483,0.9105388104443658,0.13684600591659546,0.0010915594873097505,0.0010915594873097505,0.9864776219152809,0.015681296389797206,-0.04713061451911926,0.0,0.0,0.0,0.08416104783757206,0.0013735061308528529,-0.0030094534158706665,False,False,,,,,,,
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,c227e33d-910e-4e39-a325-0fe1d1116436,1.0,network_train6,Train2,A6_ENCODER_START,ENCODER_START,25.0,0.0,False,physical prequantizer u,313.79658931073,4.9126761671512424,21.78450985683986,3.5138255346494423e-07,0.0,0.0,6.9808313846588135,,0.0009202879939264255,30.360762437405985,0.9110956599609151,0.13674995303153992,0.0010570379469579654,0.0010570379469579654,1.1459706115997825,0.016238145906346535,-0.047226667404174805,0.15949298968450165,0.0005568495165493292,-9.605288505554199e-05,0.2436540375220737,0.0019303556474021821,-0.0031055063009262085,False,False,,,,,,,
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,c227e33d-910e-4e39-a325-0fe1d1116436,1.0,network_train6,Train2,A6_ENCODER_START,ENCODER_START,50.0,0.0,False,physical prequantizer u,350.19655860200584,5.482539791275003,22.55149664058653,2.597225014983906e-07,0.0,0.0,13.597813330590725,,0.0009062747183094613,30.42740135037223,0.9118673271794321,0.13583435118198395,0.0010421090694914452,0.0010421090694914452,1.2126095245660267,0.017009813124863493,-0.048142269253730774,0.2261319026507458,0.0013285167350662874,-0.0010116547346115112,0.31029295048831784,0.0027020228659191403,-0.004021108150482178,False,False,,,,,,,
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,c227e33d-910e-4e39-a325-0fe1d1116436,1.0,network_train6,Train2,A6_ENCODER_START,ENCODER_START,100.0,0.0,False,physical prequantizer u,408.77597762986,6.39963617009745,23.694765090491888,1.756569692939749e-07,0.0,0.0,25.19129890948534,,0.000890983210313448,30.501304797307167,0.9127813219395499,0.1346295326948166,0.0010256127430082647,0.0010256127430082647,1.286512971500965,0.01792380788498127,-0.04934708774089813,0.30003534958568423,0.002242511495184063,-0.0022164732217788696,0.3841963974232563,0.003616017626036916,-0.005225926637649536,False,False,,,,,,,
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,c227e33d-910e-4e39-a325-0fe1d1116436,1.0,network_train6,Train2,A6_ENCODER_START,ENCODER_START,150.0,0.0,False,physical prequantizer u,454.99605861493217,7.123239606316825,24.603421512545175,1.3911071983099938e-07,0.0,0.0,36.798003666102886,,0.0008820272615537435,30.545179915582146,0.9133310301483074,0.13392603397369385,0.0010159532955274374,0.0010159532955274374,1.3303880897759441,0.018473516093738818,-0.050050586462020874,0.34391046786066326,0.002792219703941612,-0.0029199719429016113,0.4280715156982353,0.004165725834794465,-0.005929425358772278,True,True,,,,,,,
c227e33d-910e-4e39-a325-0fe1d1116436_f0008,c227e33d-910e-4e39-a325-0fe1d1116436,8.0,network_train6,Train2,A6_ENCODER_START,ENCODER_START,0.0,0.0,False,physical prequantizer u,271.6466459528989,4.252793207187818,20.398600778712968,6.738945769080779e-07,0.0,0.0,0.345829039812088,,0.0009251186782237421,30.338025505133114,0.9154482003775009,0.13487353920936584,0.001059992217433108,0.001059992217433108,0.7117764649071923,0.012341437464498006,-0.04498998820781708,0.0,0.0,0.0,0.07660678348344874,0.001007854348769821,-0.0013684481382369995,False,False,,,,,,,
c227e33d-910e-4e39-a325-0fe1d1116436_f0008,c227e33d-910e-4e39-a325-0fe1d1116436,8.0,network_train6,Train2,A6_ENCODER_START,ENCODER_START,25.0,0.0,False,physical prequantizer u,303.48414218057127,4.751228544815324,20.959119331855355,3.2874134989823804e-07,0.0,0.0,6.976288966834545,,0.0008948804878410695,30.482349612615955,0.9158644301146989,0.13489830493927002,0.0010297787927803395,0.0010297787927803395,0.8561005723900337,0.012757667201696021,-0.0449652224779129,0.1443241074828414,0.00041622973719801504,2.4765729904174805e-05,0.22093089096629015,0.001424084085967836,-0.0013436824083328247,False,False,,,,,,,
c227e33d-910e-4e39-a325-0fe1d1116436_f0008,c227e33d-910e-4e39-a325-0fe1d1116436,8.0,network_train6,Train2,A6_ENCODER_START,ENCODER_START,50.0,0.0,False,physical prequantizer u,335.81856750749824,5.257443609265338,21.58164892537534,2.5176921481043884e-07,0.0,0.0,13.622381128370762,,0.0008816820977614959,30.54687977311761,0.9165108906861316,0.13439926505088806,0.001016081362812384,0.001016081362812384,0.9206307328916878,0.013404127773128716,-0.04546426236629486,0.20885426798449558,0.0010626903086307093,-0.0004742741584777832,0.2854610514679443,0.0020705446574005304,-0.0018427222967147827,False,False,,,,,,,
c227e33d-910e-4e39-a325-0fe1d1116436_f0008,c227e33d-910e-4e39-a325-0fe1d1116436,8.0,network_train6,Train2,A6_ENCODER_START,ENCODER_START,100.0,0.0,False,physical prequantizer u,391.80330241226335,6.133918632448501,22.62316588707758,1.7790141021113797e-07,0.0,0.0,25.216441340744495,,0.0008667689336433619,30.620966628679604,0.9173226584585782,0.13348564505577087,0.0010002545786991328,0.0010002545786991328,0.9947175884536819,0.014215895545575341,-0.04637788236141205,0.2829411235464896,0.0018744580810773348,-0.0013878941535949707,0.35954790702993833,0.002882312429847156,-0.00275634229183197,False,False,,,,,,,
c227e33d-910e-4e39-a325-0fe1d1116436_f0008,c227e33d-910e-4e39-a325-0fe1d1116436,8.0,network_train6,Train2,A6_ENCODER_START,ENCODER_START,150.0,0.0,False,physical prequantizer u,438.2934769309384,6.8617505469580555,23.528968242188316,1.3795198350944472e-07,0.0,0.0,36.83751840144396,,0.000857730319895862,30.666492377820568,0.917854562082359,0.13280805945396423,0.0009905383793498263,0.0009905383793498263,1.0402433375946458,0.014747799169356202,-0.04705546796321869,0.32846687268745356,0.0024063617048581953,-0.0020654797554016113,0.4050736561709023,0.0034142160536280164,-0.003433927893638611,True,True,,,,,,,
