method,video,entropy_encode_seconds,base_decode_seconds,entropy_decode_seconds,synthesis_seconds,independent_RGB_exact,no_enhancement_file_sent
B_Train2_ZERO_NO_STREAM,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0,3.241611637175083,7.957220077514648e-06,2.858744703233242,True,True
B_Train2_ZERO_NO_STREAM,c227e33d-910e-4e39-a325-0fe1d1116436,0.0,3.1765972152352333,3.0249357223510742e-06,2.824620760977268,True,True
B_Train2_lambda1,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.07313033193349838,3.207227475941181,0.09625586867332458,1.5604516565799713,True,False
B_Train2_lambda1,c227e33d-910e-4e39-a325-0fe1d1116436,0.0753808543086052,3.2045327723026276,0.09948424994945526,1.5536804869771004,True,False
B_Train2_lambda3,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.061804041266441345,3.4194515347480774,0.0930105596780777,1.568275898694992,True,False
B_Train2_lambda3,c227e33d-910e-4e39-a325-0fe1d1116436,0.002275332808494568,3.068768471479416,0.002022065222263336,2.8286311253905296,True,False
B_Train2_lambda5,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.002197258174419403,3.135969005525112,0.0021440163254737854,2.8407621681690216,True,False
B_Train2_lambda5,c227e33d-910e-4e39-a325-0fe1d1116436,0.0019339248538017273,3.069025494158268,0.0017649978399276733,2.8195101022720337,True,False
