sample,video,frame,group,split,stage,initialization,step,lambda,quantized,code_domain,code_l2,code_rms,residual_l2,gradient_l2,R_est_bpp,estimated_symbol_bits,elapsed_seconds,symbol_nonzero_fraction,mse,psnr,ms_ssim,lpips,L_image,selection_objective,psnr_minus_ZERO,ms_ssim_minus_ZERO,lpips_minus_ZERO,psnr_minus_ENCODER_CONTINUOUS,ms_ssim_minus_ENCODER_CONTINUOUS,lpips_minus_ENCODER_CONTINUOUS,psnr_minus_ENCODER_QUANTIZED,ms_ssim_minus_ENCODER_QUANTIZED,lpips_minus_ENCODER_QUANTIZED,selected,nondominated_psnr_lpips,diagnostic_container_bits,actual_frame_packet_bits,actual_frame_share_bits,R_actual_bpp,zero_grid_skip,roundtrip_exact,diagnostic_stream
026aa77c-d036-41b7-a998-83c1911fe2bf_f0011,026aa77c-d036-41b7-a998-83c1911fe2bf,11.0,Val6_90P,Val6,Aext_ENCODER_START,ENCODER_START,150.0,0.0,False,physical prequantizer u,475.9271867176478,7.450929127760214,32.88034543189693,1.7866278258357414e-07,0.0,0.0,36.67385175079107,,0.0002801221809859893,35.52652500964297,0.9714592665583129,0.05778240039944649,0.0003379045813854358,0.0003379045813854358,2.2561497303585583,0.004931207374866076,-0.014028605073690414,1.450473793907726,0.0037647396993445437,-0.006840098649263382,1.4746752405338484,0.004157451945862478,-0.007060330361127853,True,True,,,,,,,
026aa77c-d036-41b7-a998-83c1911fe2bf_f0012,026aa77c-d036-41b7-a998-83c1911fe2bf,12.0,Val6_90P,Val6,Aext_ENCODER_START,ENCODER_START,150.0,0.0,False,physical prequantizer u,481.2189294353536,7.533774573560222,32.66834508512475,1.809768277007631e-07,0.0,0.0,36.67158357053995,,0.00027035563853962754,35.68064568344284,0.9720427862310506,0.0580098032951355,0.00032836544183476306,0.00032836544183476306,2.2468301627361313,0.004842090026336954,-0.014298252761363983,1.4892524551787503,0.003435755576951749,-0.007097691297531128,1.540482275639114,0.003823562915114209,-0.007605403661727905,True,True,,,,,,,
026aa77c-d036-41b7-a998-83c1911fe2bf_f0013,026aa77c-d036-41b7-a998-83c1911fe2bf,13.0,Val6_90P,Val6,Aext_ENCODER_START,ENCODER_START,150.0,0.0,False,physical prequantizer u,472.22050391051846,7.392898757430912,32.3770182416675,1.7958855869200894e-07,0.0,0.0,36.63946621865034,,0.0002623900034214948,35.81052714805457,0.9726968264752575,0.05667992681264877,0.00031906993023414357,0.00031906993023414357,2.2219028295276644,0.004756887926451903,-0.013921104371547699,1.4546234564540939,0.0035560676892949505,-0.006893523037433624,1.485208715079331,0.003956985444629857,-0.007217340171337128,True,True,,,,,,,
026aa77c-d036-41b7-a998-83c1911fe2bf_f0014,026aa77c-d036-41b7-a998-83c1911fe2bf,14.0,Val6_90P,Val6,Aext_ENCODER_START,ENCODER_START,150.0,0.0,False,physical prequantizer u,488.951371368544,7.654830647759454,33.24934009038566,1.799230067766493e-07,0.0,0.0,36.68511347472668,,0.0002819659923599519,35.49803268350982,0.9705133223373882,0.0598420575261116,0.00034180804988606346,0.00034180804988606346,2.357828454992692,0.005478423682641509,-0.016381070017814636,1.4656465403474428,0.003660093612143367,-0.007318474352359772,1.5128609868039717,0.003981569993520728,-0.00763876736164093,True,True,,,,,,,
026aa77c-d036-41b7-a998-83c1911fe2bf_f0015,026aa77c-d036-41b7-a998-83c1911fe2bf,15.0,Val6_90P,Val6,Aext_ENCODER_START,ENCODER_START,150.0,0.0,False,physical prequantizer u,486.5500956437072,7.617237218047306,32.88743154149879,1.7975267826390418e-07,0.0,0.0,36.57061289250851,,0.00028261763668022393,35.48800739607416,0.970441618180154,0.058160047978162766,0.0003407776846583867,0.0003407776846583867,2.1760622521901,0.005483846044544771,-0.015199031680822372,1.5147738161410302,0.0037714784158096037,-0.007140737026929855,1.5327063449741942,0.004089753081619407,-0.0074361227452754974,True,True,,,,,,,
2996c286-14c5-4157-95ba-f2a73fae0187_f0001,2996c286-14c5-4157-95ba-f2a73fae0187,1.0,Val6_90P,Val6,Aext_ENCODER_START,ENCODER_START,0.0,0.0,False,physical prequantizer u,492.3552689203344,7.7081207310418645,26.808431819138896,3.807845497430341e-06,0.0,0.0,0.3340469151735306,,0.015070715904674303,18.218661168914178,0.4917522440414052,0.538979709148407,0.01560969561382271,0.01560969561382271,0.012819498972081789,0.019505617521125618,-0.034781694412231445,0.0,0.0,0.0,0.0020872401559017817,0.0006556889009609601,-0.00044548511505126953,False,True,,,,,,,
2996c286-14c5-4157-95ba-f2a73fae0187_f0001,2996c286-14c5-4157-95ba-f2a73fae0187,1.0,Val6_90P,Val6,Aext_ENCODER_START,ENCODER_START,25.0,0.0,False,physical prequantizer u,530.2189806191218,8.300900131452504,27.595902175822935,2.2737310501842044e-06,0.0,0.0,6.858426511287689,,0.014709825948193499,18.32392465966306,0.4911106813897795,0.539171576499939,0.015248997524693438,0.015248997524693438,0.1180829897209641,0.01886405486949988,-0.03458982706069946,0.1052634907488823,-0.0006415626516257378,0.00019186735153198242,0.10735073090478409,1.412624933522233e-05,-0.0002536177635192871,False,True,,,,,,,
2996c286-14c5-4157-95ba-f2a73fae0187_f0001,2996c286-14c5-4157-95ba-f2a73fae0187,1.0,Val6_90P,Val6,Aext_ENCODER_START,ENCODER_START,50.0,0.0,False,physical prequantizer u,570.0374700576125,8.924282764470012,28.75719143077729,1.6477559541799725e-06,0.0,0.0,13.422327041625977,,0.014524458096321923,18.379000620472635,0.4906234246396279,0.5427403450012207,0.015067198441323143,0.015067198441323143,0.17315895053053865,0.01837679811934828,-0.031021058559417725,0.16033945155845686,-0.0011288194017773368,0.0037606358528137207,0.16242669171435864,-0.00047313050081637664,0.003315150737762451,False,True,,,,,,,
2996c286-14c5-4157-95ba-f2a73fae0187_f0001,2996c286-14c5-4157-95ba-f2a73fae0187,1.0,Val6_90P,Val6,Aext_ENCODER_START,ENCODER_START,100.0,0.0,False,physical prequantizer u,643.6699170825061,10.077043437945735,31.15420922574656,1.092368913521069e-06,0.0,0.0,24.986206084489822,,0.014313484264557422,18.44254635095527,0.4921556393400315,0.549812912940979,0.0148632971774984,0.0148632971774984,0.23670468101317255,0.01990901281975188,-0.023948490619659424,0.22388518204109076,0.00040339529862626344,0.010833203792572021,0.22597242219699254,0.0010590841995872236,0.010387718677520752,False,True,,,,,,,
2996c286-14c5-4157-95ba-f2a73fae0187_f0001,2996c286-14c5-4157-95ba-f2a73fae0187,1.0,Val6_90P,Val6,Aext_ENCODER_START,ENCODER_START,150.0,0.0,False,physical prequantizer u,719.683016727627,11.267074673906999,33.553827817206475,9.308317552868561e-07,0.0,0.0,36.599511206150055,,0.014177467865605932,18.48401328404922,0.49415667727875806,0.5549386739730835,0.014732406539579015,0.014732406539579015,0.2781716141071229,0.02191005075847846,-0.01882272958755493,0.2653521151350411,0.002404433237352843,0.015958964824676514,0.26743935529094287,0.0030601221383138033,0.015513479709625244,True,True,,,,,,,
2996c286-14c5-4157-95ba-f2a73fae0187_f0002,2996c286-14c5-4157-95ba-f2a73fae0187,2.0,Val6_90P,Val6,Aext_ENCODER_START,ENCODER_START,25.0,0.0,False,physical prequantizer u,556.6233102254299,8.714275946184728,27.828112182806347,2.581861887541845e-06,0.0,0.0,6.787781126797199,,0.014409236610958486,18.413590271270486,0.49530026267643845,0.5263442993164062,0.014935580910274892,0.014935580910274892,0.25437680840297716,0.015142681700794691,-0.03141433000564575,0.13449374500337186,-0.00028333000755109694,-0.0007000565528869629,0.14192644733256188,-0.00021210446777258918,-0.002893805503845215,False,True,,,,,,,
2996c286-14c5-4157-95ba-f2a73fae0187_f0002,2996c286-14c5-4157-95ba-f2a73fae0187,2.0,Val6_90P,Val6,Aext_ENCODER_START,ENCODER_START,50.0,0.0,False,physical prequantizer u,604.444965788541,9.462953005022914,30.118476382344287,2.0304677537167386e-06,0.0,0.0,13.335058212280273,,0.014175335605801535,18.48466650246532,0.494577606168495,0.5319533348083496,0.014707288940609884,0.014707288940609884,0.3254530395978108,0.014420025192851238,-0.025805294513702393,0.2055699761982055,-0.0010059865154945502,0.0049089789390563965,0.21300267852739552,-0.0009347609757160424,0.0027152299880981445,False,True,,,,,,,
2996c286-14c5-4157-95ba-f2a73fae0187_f0002,2996c286-14c5-4157-95ba-f2a73fae0187,2.0,Val6_90P,Val6,Aext_ENCODER_START,ENCODER_START,100.0,0.0,False,physical prequantizer u,684.0155000071721,10.708678039581136,35.42732164754948,1.1952326262768885e-06,0.0,0.0,24.904012851417065,,0.013913696282261986,18.56557480953739,0.49516022751000727,0.5439247488975525,0.014457621031159539,0.014457621031159539,0.40636134666988255,0.015002646534363506,-0.013833880424499512,0.28647828327027725,-0.0004233651739822819,0.016880393028259277,0.29391098559946727,-0.00035213963420377414,0.014686644077301025,False,True,,,,,,,
2996c286-14c5-4157-95ba-f2a73fae0187_f0002,2996c286-14c5-4157-95ba-f2a73fae0187,2.0,Val6_90P,Val6,Aext_ENCODER_START,ENCODER_START,150.0,0.0,False,physical prequantizer u,759.1994489956166,11.885728418487904,38.099536732587744,9.276022535486376e-07,0.0,0.0,36.524370200932026,,0.013764143235282092,18.612508165822792,0.4974436786990432,0.5492680072784424,0.014313411242560534,0.014313411242560534,0.45329470295528296,0.01728609772339945,-0.00849062204360962,0.33341163955567765,0.0018600860150536636,0.02222365140914917,0.3408443418848677,0.0019313115548321713,0.020029902458190918,True,True,,,,,,,
2996c286-14c5-4157-95ba-f2a73fae0187_f0003,2996c286-14c5-4157-95ba-f2a73fae0187,3.0,Val6_90P,Val6,Aext_ENCODER_START,ENCODER_START,25.0,0.0,False,physical prequantizer u,546.1815746453267,8.55080423465101,27.855720259394058,2.286726661260701e-06,0.0,0.0,6.851625755429268,,0.014156093290015615,18.490565839827074,0.5016996906782262,0.5314783453941345,0.01468757163540975,0.01468757163540975,0.14883434772711368,0.015681281208915043,-0.02660590410232544,0.11592017347363992,-0.0005130463345013325,-0.0007998943328857422,0.12267895702468579,9.147828536892888e-06,-0.0009965300559997559,False,True,,,,,,,
2996c286-14c5-4157-95ba-f2a73fae0187_f0003,2996c286-14c5-4157-95ba-f2a73fae0187,3.0,Val6_90P,Val6,Aext_ENCODER_START,ENCODER_START,50.0,0.0,False,physical prequantizer u,585.03801061429,9.159125336369998,28.886556655696378,1.71776542568746e-06,0.0,0.0,13.385842129588127,,0.013955653372911797,18.552498259895607,0.5011562647236482,0.535742998123169,0.014491396371034967,0.014491396371034967,0.21076676779564707,0.01513785525433703,-0.022341251373291016,0.1778525935421733,-0.0010564722890793465,0.0034647583961486816,0.18461137709321918,-0.0005342781260411211,0.003268122673034668,False,True,,,,,,,
