sample,video,frame,group,split,stage,initialization,step,lambda,quantized,code_domain,code_l2,code_rms,residual_l2,gradient_l2,R_est_bpp,estimated_symbol_bits,elapsed_seconds,symbol_nonzero_fraction,mse,psnr,ms_ssim,lpips,L_image,selection_objective,psnr_minus_ZERO,ms_ssim_minus_ZERO,lpips_minus_ZERO,psnr_minus_ENCODER_CONTINUOUS,ms_ssim_minus_ENCODER_CONTINUOUS,lpips_minus_ENCODER_CONTINUOUS,psnr_minus_ENCODER_QUANTIZED,ms_ssim_minus_ENCODER_QUANTIZED,lpips_minus_ENCODER_QUANTIZED,selected,nondominated_psnr_lpips
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,network_train6,Train2,A6_ENCODER_START,ENCODER_START,0,0.0,False,physical prequantizer u,587.2460336616795,9.193693278058777,32.466309771698874,2.5937457341719976e-06,0.0,0.0,0.43722882121801376,,0.012799185741517814,18.928176584157228,0.8189736243900615,0.31090542674064636,0.01311009116825846,0.01311009116825846,0.5474024993127102,0.03462836908027034,-0.06683674454689026,0.0,0.0,0.0,0.02389721762043351,0.0010863710968260776,-0.001292496919631958,False,True
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,network_train6,Train2,A6_ENCODER_START,ENCODER_START,25,0.0,False,physical prequantizer u,654.6340801925102,10.24869406971834,33.864086082125134,1.2624664066647585e-06,0.0,0.0,6.7775972336530685,,0.01261996614325774,18.989418102120162,0.8204884095202852,0.31360530853271484,0.012933571451790455,0.012933571451790455,0.608644017275644,0.03614315421049408,-0.06413686275482178,0.061241517962933756,0.0015147851302237392,0.0026998817920684814,0.08513873558336726,0.0026011562270498167,0.0014073848724365234,False,True
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,network_train6,Train2,A6_ENCODER_START,ENCODER_START,50,0.0,False,physical prequantizer u,714.7037096802272,11.18912059826067,35.13569482052483,8.910197354932407e-07,0.0,0.0,13.096301563084126,,0.012540117717420151,19.016983866483617,0.8215126613052242,0.3143063187599182,0.012854424036180069,0.012854424036180069,0.6362097816390992,0.037167405995433,-0.06343585252761841,0.08880728232638901,0.0025390369151626624,0.0034008920192718506,0.11270449994682252,0.00362540801198874,0.0021083950996398926,False,True
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,network_train6,Train2,A6_ENCODER_START,ENCODER_START,100,0.0,False,physical prequantizer u,804.9354262226087,12.601752916389396,36.89119840949188,5.57594530630217e-07,0.0,0.0,24.2641529366374,,0.01245821477356345,19.045441863716984,0.8227665241298437,0.31545427441596985,0.01277366904797942,0.01277366904797942,0.6646677788724666,0.03842126882005259,-0.06228789687156677,0.11726527955975641,0.0037928997397822517,0.004548847675323486,0.14116249718018992,0.004879270836608329,0.0032563507556915283,False,True
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,network_train6,Train2,A6_ENCODER_START,ENCODER_START,150,0.0,False,physical prequantizer u,871.0966816373955,13.637547548125104,38.19149379310172,3.9570094635853366e-07,0.0,0.0,35.486089676618576,,0.012416550842785385,19.05999028795656,0.823483776237755,0.31586605310440063,0.012732416895889786,0.012732416895889786,0.6792162031120412,0.03913852092796388,-0.061876118183135986,0.131813703799331,0.004510151847693544,0.0049606263637542725,0.1557109214197645,0.005596522944519622,0.0036681294441223145,True,True
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,network_train6,Train2,A6_ENCODER_START,ENCODER_START,0,0.0,False,physical prequantizer u,619.7934521737944,9.703242880168798,33.239923203190955,2.666058769182165e-06,0.0,0.0,0.34272537380456924,,0.012953207930032367,18.876226629509002,0.8213039972829789,0.3216657042503357,0.013274873634282702,0.013274873634282702,0.6179713148808368,0.034848638577891444,-0.06409516930580139,0.0,0.0,0.0,0.027432233604372414,0.0012548858033483157,-0.001332700252532959,False,True
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,network_train6,Train2,A6_ENCODER_START,ENCODER_START,25,0.0,False,physical prequantizer u,689.1829402479916,10.789577454619437,34.64106995848521,1.3099029927641124e-06,0.0,0.0,6.6958338767290115,,0.012769901810891653,18.93812442059363,0.8227931285997926,0.3237472176551819,0.013093649028546834,0.013093649028546834,0.6798691059654658,0.03633776989470516,-0.0620136559009552,0.061897791084629006,0.0014891313168137188,0.0020815134048461914,0.08933002468900142,0.0027440171201620345,0.0007488131523132324,False,True
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,network_train6,Train2,A6_ENCODER_START,ENCODER_START,50,0.0,False,physical prequantizer u,749.6830391911618,11.736743243901142,35.810473895831315,8.982477526004643e-07,0.0,0.0,13.046165332198143,,0.012690837860423501,18.965097044500954,0.8237587327045541,0.32450249791145325,0.013015340358334954,0.013015340358334954,0.7068417298727887,0.037303373999466705,-0.06125837564468384,0.08887041499195192,0.0024547354215752604,0.0028367936611175537,0.11630264859632433,0.003709621224923576,0.0015040934085845947,False,True
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,network_train6,Train2,A6_ENCODER_START,ENCODER_START,100,0.0,False,physical prequantizer u,837.1073551827501,13.105424001537052,37.474210801745116,5.383690696889421e-07,0.0,0.0,24.31094651669264,,0.012615296648641564,18.991025325936256,0.8248721401523729,0.3248791992664337,0.012940175847907997,0.012940175847907997,0.7327700113080908,0.03841678144728544,-0.06088167428970337,0.11479869642725404,0.0035681428693939976,0.0032134950160980225,0.14223093003162646,0.004823028672742313,0.0018807947635650635,False,True
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,network_train6,Train2,A6_ENCODER_START,ENCODER_START,150,0.0,False,physical prequantizer u,899.4632736345537,14.081643772223154,38.6538800550436,3.7490596283343254e-07,0.0,0.0,35.60459590703249,,0.012578813586963349,19.003603189013383,0.8254459959111897,0.3250162601470947,0.012903829847110443,0.012903829847110443,0.7453478743852173,0.0389906372061023,-0.06074461340904236,0.12737655950438054,0.004141998628210852,0.003350555896759033,0.15480879310875295,0.005396884431559168,0.0020178556442260742,True,True
