sample,video,frame,group,split,stage,initialization,step,lambda,quantized,code_domain,code_l2,code_rms,residual_l2,gradient_l2,R_est_bpp,estimated_symbol_bits,elapsed_seconds,symbol_nonzero_fraction,mse,psnr,ms_ssim,lpips,L_image,selection_objective,psnr_minus_ZERO,ms_ssim_minus_ZERO,lpips_minus_ZERO,psnr_minus_ENCODER_CONTINUOUS,ms_ssim_minus_ENCODER_CONTINUOUS,lpips_minus_ENCODER_CONTINUOUS,psnr_minus_ENCODER_QUANTIZED,ms_ssim_minus_ENCODER_QUANTIZED,lpips_minus_ENCODER_QUANTIZED,selected,nondominated_psnr_lpips,diagnostic_container_bits,actual_frame_packet_bits,actual_frame_share_bits,R_actual_bpp,zero_grid_skip,roundtrip_exact,diagnostic_stream
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,c227e33d-910e-4e39-a325-0fe1d1116436,1.0,network_train6,Train2,A6_ENCODER_START,ENCODER_START,150.0,0.0,False,physical prequantizer u,454.99605861493217,7.123239606316825,24.603421512545175,1.3911071983099938e-07,0.0,0.0,36.798003666102886,,0.0008820272615537435,30.545179915582146,0.9133310301483074,0.13392603397369385,0.0010159532955274374,0.0010159532955274374,1.3303880897759441,0.018473516093738818,-0.050050586462020874,0.34391046786066326,0.002792219703941612,-0.0029199719429016113,0.4280715156982353,0.004165725834794465,-0.005929425358772278,True,True,,,,,,,
c227e33d-910e-4e39-a325-0fe1d1116436_f0008,c227e33d-910e-4e39-a325-0fe1d1116436,8.0,network_train6,Train2,A6_ENCODER_START,ENCODER_START,150.0,0.0,False,physical prequantizer u,438.2934769309384,6.8617505469580555,23.528968242188316,1.3795198350944472e-07,0.0,0.0,36.83751840144396,,0.000857730319895862,30.666492377820568,0.917854562082359,0.13280805945396423,0.0009905383793498263,0.0009905383793498263,1.0402433375946458,0.014747799169356202,-0.04705546796321869,0.32846687268745356,0.0024063617048581953,-0.0020654797554016113,0.4050736561709023,0.0034142160536280164,-0.003433927893638611,True,True,,,,,,,
c227e33d-910e-4e39-a325-0fe1d1116436_f0015,c227e33d-910e-4e39-a325-0fe1d1116436,15.0,network_train6,Train2,A6_ENCODER_START,ENCODER_START,150.0,0.0,False,physical prequantizer u,469.20799544939234,7.345736108044495,24.285302805634625,1.567884245292475e-07,0.0,0.0,36.872174963355064,,0.0008879547438660118,30.51609168219279,0.9145514682057506,0.13485735654830933,0.001022812100414321,0.001022812100414321,1.2105859914756216,0.01687609908411114,-0.04651114344596863,0.38224317973985933,0.00303184769959286,-0.0014499574899673462,0.45171862303732624,0.0041163601006279915,-0.002758607268333435,True,True,,,,,,,
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1.0,network_train6,Train2,A6_ENCODER_START,ENCODER_START,150.0,0.0,False,physical prequantizer u,871.0966816373955,13.637547548125104,38.19149379310172,3.9570094635853366e-07,0.0,0.0,35.486089676618576,,0.012416550842785385,19.05999028795656,0.823483776237755,0.31586605310440063,0.012732416895889786,0.012732416895889786,0.6792162031120412,0.03913852092796388,-0.061876118183135986,0.131813703799331,0.004510151847693544,0.0049606263637542725,0.1557109214197645,0.005596522944519622,0.0036681294441223145,True,True,,,,,,,
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8.0,network_train6,Train2,A6_ENCODER_START,ENCODER_START,150.0,0.0,False,physical prequantizer u,899.4632736345537,14.081643772223154,38.6538800550436,3.7490596283343254e-07,0.0,0.0,35.60459590703249,,0.012578813586963349,19.003603189013383,0.8254459959111897,0.3250162601470947,0.012903829847110443,0.012903829847110443,0.7453478743852173,0.0389906372061023,-0.06074461340904236,0.12737655950438054,0.004141998628210852,0.003350555896759033,0.15480879310875295,0.005396884431559168,0.0020178556442260742,True,True,,,,,,,
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0015,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,15.0,network_train6,Train2,A6_ENCODER_START,ENCODER_START,150.0,0.0,False,physical prequantizer u,928.2139067308913,14.531752392948237,39.044663601555165,4.982671895963721e-07,0.0,0.0,35.86177970468998,,0.012782616979905667,18.933802241445463,0.8101013639291704,0.3241235613822937,0.013106740541287961,0.013106740541287961,0.7584526627658263,0.03916671778742775,-0.05818799138069153,0.15932154540808696,0.004833824667098696,0.004984945058822632,0.18041323875725368,0.0058998714212133985,0.004105269908905029,True,True,,,,,,,
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,c227e33d-910e-4e39-a325-0fe1d1116436,1.0,network_train6,Train2,A6_ZERO_START,ZERO_START,150.0,0.0,False,physical prequantizer u,274.57611290988706,4.298655791397749,23.36869412982129,2.990581985524255e-07,0.0,0.0,37.459058068692684,,0.0009164953518604158,30.37869733283861,0.9106619880608613,0.14248040318489075,0.0010589757550453066,0.0010589757550453066,1.163905507032407,0.0158044740062927,-0.041496217250823975,0.17742788511712604,0.00012317761649549563,0.005634397268295288,0.2615889329546981,0.0014966837473483485,0.0026249438524246216,True,True,,,,,,,
c227e33d-910e-4e39-a325-0fe1d1116436_f0008,c227e33d-910e-4e39-a325-0fe1d1116436,8.0,network_train6,Train2,A6_ZERO_START,ZERO_START,150.0,0.0,False,physical prequantizer u,272.15101429869264,4.26068939993258,21.625128315878605,2.7289517733141497e-07,0.0,0.0,37.36843705177307,,0.0008838091500396984,30.53641506517582,0.9154100970772586,0.14339569211006165,0.00102720484214976,0.00102720484214976,0.9101660249498984,0.012303334164255775,-0.03646783530712128,0.19838956004270614,-3.810330024223152e-05,0.0085221529006958,0.2749963435261549,0.0009697510485275895,0.007153704762458801,True,True,,,,,,,
c227e33d-910e-4e39-a325-0fe1d1116436_f0015,c227e33d-910e-4e39-a325-0fe1d1116436,15.0,network_train6,Train2,A6_ZERO_START,ZERO_START,150.0,0.0,False,physical prequantizer u,283.41360255185515,4.437012058548095,23.270343408468083,3.1149154438952905e-07,0.0,0.0,37.367734491825104,,0.0009244270252301343,30.341273665932356,0.9116271620342893,0.14715322852134705,0.0010715802537514813,0.0010715802537514813,1.0357679752151867,0.013951792912649807,-0.03421527147293091,0.2074251634794244,0.00010754152813152729,0.010845914483070374,0.2769006067768913,0.0011920539291666588,0.009537264704704285,True,True,,,,,,,
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1.0,network_train6,Train2,A6_ZERO_START,ZERO_START,150.0,0.0,False,physical prequantizer u,483.20990710564564,7.5649445380638465,33.283898752480496,1.6483413911572625e-06,0.0,0.0,38.812693402171135,,0.013013491120254995,18.85606179927829,0.8111486852254058,0.34279659390449524,0.01335628771415949,0.01335628771415949,0.4752877144337724,0.026803429915614685,-0.03494557738304138,-0.07211478487893785,-0.007824939164655653,0.03189116716384888,-0.048217567258504346,-0.006738568067829576,0.03059867024421692,True,True,,,,,,,
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8.0,network_train6,Train2,A6_ZERO_START,ZERO_START,150.0,0.0,False,physical prequantizer u,473.8904612565732,7.419042953810301,32.948781825812,1.8421702848787244e-06,0.0,0.0,38.64195577055216,,0.013341993494635492,18.74779275439139,0.810049662832561,0.35953229665756226,0.013701525791293055,0.013701525791293055,0.4895374397632253,0.023594304127473542,-0.02622857689857483,-0.1284338751176115,-0.011254334450417902,0.03786659240722656,-0.1010016415132391,-0.009999448647069586,0.036533892154693604,True,True,,,,,,,
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0015,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,15.0,network_train6,Train2,A6_ZERO_START,ZERO_START,150.0,0.0,False,physical prequantizer u,468.9497056163715,7.3416924238550445,34.334949931733675,1.915165508634515e-06,0.0,0.0,36.781279906630516,,0.013588397308861072,18.668317633531295,0.7934474112956131,0.3623768389225006,0.013950774147783573,0.013950774147783573,0.4929680548516586,0.022512765153870462,-0.01993471384048462,-0.10616306250608076,-0.011820127966458593,0.04323822259902954,-0.08507136915691405,-0.010754081212343891,0.04235854744911194,True,True,,,,,,,
026aa77c-d036-41b7-a998-83c1911fe2bf_f0001,026aa77c-d036-41b7-a998-83c1911fe2bf,1.0,Val6_90P,Val6,Aext_ENCODER_START,ENCODER_START,150.0,0.0,False,physical prequantizer u,499.75089383932595,7.8239037303425425,31.97809875032622,1.9663233685942817e-07,0.0,0.0,36.40521267801523,,0.00030623295316388135,35.139480774940715,0.9699184336802643,0.058869875967502594,0.00036510282913138395,0.00036510282913138395,2.5824614625409694,0.0040547100798628,-0.015220090746879578,1.5250194794303695,0.0036375939659956114,-0.006672754883766174,1.5501153533138208,0.0036604555321895216,-0.006583519279956818,True,True,,,,,,,
026aa77c-d036-41b7-a998-83c1911fe2bf_f0002,026aa77c-d036-41b7-a998-83c1911fe2bf,2.0,Val6_90P,Val6,Aext_ENCODER_START,ENCODER_START,150.0,0.0,False,physical prequantizer u,474.7799297802633,7.432968123702561,31.655982268521868,1.7692647822889071e-07,0.0,0.0,36.58801702409983,,0.0002835834208348258,35.47319162947433,0.9713484144467107,0.05537257343530655,0.00033895599427013237,0.00033895599427013237,2.1671808447965617,0.0038340644812560054,-0.015129901468753815,1.498724393418918,0.002871377531037167,-0.006400406360626221,1.5246140771591143,0.0031680936544729033,-0.006836630403995514,True,True,,,,,,,
