sample,video,frame,method,mse,psnr,ms_ssim,lpips,L_image,psnr_minus_ZERO,split,group,type,lambda,diagnostic,zero_no_stream_fallback,symbol_nonzero_fraction,nonzero_enhancement_frame,u_l2,residual_l2,actual_packet_bits,selected_step,ms_ssim_minus_ZERO,lpips_minus_ZERO,psnr_minus_ENCODER_CONTINUOUS,ms_ssim_minus_ENCODER_CONTINUOUS,lpips_minus_ENCODER_CONTINUOUS,psnr_minus_ENCODER_QUANTIZED,ms_ssim_minus_ENCODER_QUANTIZED,lpips_minus_ENCODER_QUANTIZED,psnr_minus_TEACHER,ms_ssim_minus_TEACHER,lpips_minus_TEACHER,psnr_minus_ORIGINAL_QP0,ms_ssim_minus_ORIGINAL_QP0,lpips_minus_ORIGINAL_QP0
30884276-8cb2-485e-b0ca-a22605c1801f_f0001,30884276-8cb2-485e-b0ca-a22605c1801f,1,ZERO,0.003712117618840553,24.303782715684356,0.7517759794031956,0.47289079427719116,0.0041850084131177445,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f_f0001,30884276-8cb2-485e-b0ca-a22605c1801f,1,TEACHER,0.002348456412189965,26.292174959964004,0.8109834253115503,0.34666943550109863,0.0026951258476910636,1.9883922442796482,,,,,,,,,,,,,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f_f0001,30884276-8cb2-485e-b0ca-a22605c1801f,1,ENCODER_CONTINUOUS,0.003707096506745366,24.309661078465027,0.7571472163511456,0.4056324362754822,0.004112728943020848,0.005878362780670443,,,,,,,,,,,,,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f_f0001,30884276-8cb2-485e-b0ca-a22605c1801f,1,ENCODER_QUANTIZED,0.0036891469211449593,24.330740485487592,0.756806826234499,0.40783846378326416,0.004096985384928224,0.02695776980323572,,,,,,,,,,,,,,,,,,,,,,,,,,
,30884276-8cb2-485e-b0ca-a22605c1801f,1.0,A_Val6_selected,0.0030469099797312224,25.1614037672039,0.7674677913212028,0.4291822910308838,0.0034760922707621064,0.8576210515195442,Val6,Val6_90P,P,,True,False,,True,534.8982336440872,31.83782958984375,,150.0,0.01569181191800717,-0.04370850324630737,0.8517426887388737,0.010320574970057228,0.02354985475540161,0.8306632817163084,0.010660965086703778,0.02134382724761963,-1.130771192760104,-0.043515633990347524,0.08251285552978516,2.8688884476934007,0.0427723663950097,0.13548514246940613
,30884276-8cb2-485e-b0ca-a22605c1801f,1.0,A_Val6_step150,0.0030469099797312224,25.1614037672039,0.7674677913212028,0.4291822910308838,0.0034760922707621064,0.8576210515195442,Val6,Val6_90P,P,,True,False,,True,534.8982336440872,31.83782958984375,,,0.01569181191800717,-0.04370850324630737,0.8517426887388737,0.010320574970057228,0.02354985475540161,0.8306632817163084,0.010660965086703778,0.02134382724761963,-1.130771192760104,-0.043515633990347524,0.08251285552978516,2.8688884476934007,0.0427723663950097,0.13548514246940613
30884276-8cb2-485e-b0ca-a22605c1801f_f0002,30884276-8cb2-485e-b0ca-a22605c1801f,2,ZERO,0.003447400538873715,24.625082548233003,0.7608536360728322,0.4618459641933441,0.003909246503067059,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f_f0002,30884276-8cb2-485e-b0ca-a22605c1801f,2,TEACHER,0.0022715086286754552,26.436856091117285,0.8195265857157339,0.33266481757164,0.0026041734462470953,1.811773542884282,,,,,,,,,,,,,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f_f0002,30884276-8cb2-485e-b0ca-a22605c1801f,2,ENCODER_CONTINUOUS,0.0036372755445941724,24.39223797387988,0.7631532561180796,0.39592039585113525,0.004033195940445307,-0.23284457435312333,,,,,,,,,,,,,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f_f0002,30884276-8cb2-485e-b0ca-a22605c1801f,2,ENCODER_QUANTIZED,0.003613158049603803,24.42113040765351,0.7631079299970849,0.39927229285240173,0.004012430342456205,-0.20395214057949218,,,,,,,,,,,,,,,,,,,,,,,,,,
,30884276-8cb2-485e-b0ca-a22605c1801f,2.0,A_Val6_selected,0.002963278835086609,25.282274808716537,0.7740351742259387,0.4221450686454773,0.0033854239037320864,0.6571922604835336,Val6,Val6_90P,P,,True,False,,True,519.938387483268,31.13670539855957,,150.0,0.01318153815310652,-0.03970089554786682,0.890036834836657,0.010881918107859101,0.02622467279434204,0.8611444010630258,0.010927244228853827,0.02287277579307556,-1.1545812824007484,-0.045491411489795186,0.08948025107383728,3.3237147055266405,0.050297277969828635,0.13749733567237854
,30884276-8cb2-485e-b0ca-a22605c1801f,2.0,A_Val6_step150,0.002963278835086609,25.282274808716537,0.7740351742259387,0.4221450686454773,0.0033854239037320864,0.6571922604835336,Val6,Val6_90P,P,,True,False,,True,519.938387483268,31.13670539855957,,,0.01318153815310652,-0.03970089554786682,0.890036834836657,0.010881918107859101,0.02622467279434204,0.8611444010630258,0.010927244228853827,0.02287277579307556,-1.1545812824007484,-0.045491411489795186,0.08948025107383728,3.3237147055266405,0.050297277969828635,0.13749733567237854
30884276-8cb2-485e-b0ca-a22605c1801f_f0003,30884276-8cb2-485e-b0ca-a22605c1801f,3,ZERO,0.0033329531050917947,24.771707968534635,0.7671720620586687,0.44808429479599,0.0037810373998877845,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f_f0003,30884276-8cb2-485e-b0ca-a22605c1801f,3,TEACHER,0.002215769485303129,26.544754228552236,0.8214833041914157,0.3267655074596405,0.0025425349927627695,1.7730462600176011,,,,,,,,,,,,,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f_f0003,30884276-8cb2-485e-b0ca-a22605c1801f,3,ENCODER_CONTINUOUS,0.003559910912236413,24.48560870231688,0.768835149569263,0.38702040910720825,0.003946931321343621,-0.2860992662177537,,,,,,,,,,,,,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f_f0003,30884276-8cb2-485e-b0ca-a22605c1801f,3,ENCODER_QUANTIZED,0.003529903950606705,24.52237111691218,0.7686492066936429,0.39048486948013306,0.003920388820086838,-0.24933685162245567,,,,,,,,,,,,,,,,,,,,,,,,,,
,30884276-8cb2-485e-b0ca-a22605c1801f,3.0,A_Val6_selected,0.0028686192131988446,25.423270971294166,0.778953257803186,0.41281992197036743,0.003281439135169212,0.6515630027595307,Val6,Val6_90P,P,,True,False,,True,514.6766001463523,31.30852508544922,,150.0,0.011781195744517303,-0.03526437282562256,0.9376622689772844,0.010118108233923007,0.02579951286315918,0.9008998543819864,0.010304051109543133,0.022335052490234375,-1.1214832572580704,-0.04253004638822966,0.08605441451072693,3.386035015058198,0.048934781853900766,0.12194451689720154
,30884276-8cb2-485e-b0ca-a22605c1801f,3.0,A_Val6_step150,0.0028686192131988446,25.423270971294166,0.778953257803186,0.41281992197036743,0.003281439135169212,0.6515630027595307,Val6,Val6_90P,P,,True,False,,True,514.6766001463523,31.30852508544922,,,0.011781195744517303,-0.03526437282562256,0.9376622689772844,0.010118108233923007,0.02579951286315918,0.9008998543819864,0.010304051109543133,0.022335052490234375,-1.1214832572580704,-0.04253004638822966,0.08605441451072693,3.386035015058198,0.048934781853900766,0.12194451689720154
30884276-8cb2-485e-b0ca-a22605c1801f_f0004,30884276-8cb2-485e-b0ca-a22605c1801f,4,ZERO,0.003236513933692065,24.89922518937245,0.7685537365490686,0.44398075342178345,0.0036804946871138483,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f_f0004,30884276-8cb2-485e-b0ca-a22605c1801f,4,TEACHER,0.0021706491061100385,26.63410376267737,0.8244660561093137,0.321017861366272,0.0024916669674763105,1.7348785733049183,,,,,,,,,,,,,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f_f0004,30884276-8cb2-485e-b0ca-a22605c1801f,4,ENCODER_CONTINUOUS,0.0034779568301857174,24.586758129395406,0.7699121279940434,0.38250717520713806,0.0038604640053928555,-0.3124670599770454,,,,,,,,,,,,,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f_f0004,30884276-8cb2-485e-b0ca-a22605c1801f,4,ENCODER_QUANTIZED,0.003466715391625591,24.60081811334705,0.7695438284206283,0.3842553496360779,0.003850970741261669,-0.29840707602540206,,,,,,,,,,,,,,,,,,,,,,,,,,
,30884276-8cb2-485e-b0ca-a22605c1801f,4.0,A_Val6_selected,0.002835969064738363,25.472985108256072,0.7799354511734844,0.4075635075569153,0.0032435325722952784,0.5737599188836207,Val6,Val6_90P,P,,True,False,,True,504.3751334715706,30.373411178588867,,150.0,0.01138171462441584,-0.036417245864868164,0.886226978860666,0.01002332317944099,0.02505633234977722,0.8721669949090227,0.0103916227528561,0.023308157920837402,-1.1611186544212977,-0.04453060493582928,0.08654564619064331,3.4954290995259534,0.05332150538324765,0.12423640489578247
,30884276-8cb2-485e-b0ca-a22605c1801f,4.0,A_Val6_step150,0.002835969064738363,25.472985108256072,0.7799354511734844,0.4075635075569153,0.0032435325722952784,0.5737599188836207,Val6,Val6_90P,P,,True,False,,True,504.3751334715706,30.373411178588867,,,0.01138171462441584,-0.036417245864868164,0.886226978860666,0.01002332317944099,0.02505633234977722,0.8721669949090227,0.0103916227528561,0.023308157920837402,-1.1611186544212977,-0.04453060493582928,0.08654564619064331,3.4954290995259534,0.05332150538324765,0.12423640489578247
30884276-8cb2-485e-b0ca-a22605c1801f_f0005,30884276-8cb2-485e-b0ca-a22605c1801f,5,ZERO,0.0032234970846857836,24.916727182263976,0.7698563422779762,0.4411349296569824,0.0036646320143427663,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f_f0005,30884276-8cb2-485e-b0ca-a22605c1801f,5,TEACHER,0.0021709846478934172,26.633432476458786,0.8228421116487407,0.3224618136882782,0.0024934464615816955,1.71670529419481,,,,,,,,,,,,,,,,,,,,,,,,,,
